axis	feature	weight	transform
CD8_ClassI	cross_core_norm	0.24436134008895263	square
CD8_ClassI	cross_finetuned_norm	0.1538553423615579	sigmoid
CD8_ClassI	cross_bma_norm	0.14616641570680483	square
CD8_ClassI	tcr_norm	0.12412299830537113	sqrt
CD8_ClassI	foreignness_norm	0.0944924642755863	identity
CD8_ClassI	hla_A	0.06867511847907593	sigmoid
CD8_ClassI	hla_B	0.06843097654401507	sqrt
CD8_ClassI	bigmhc_im_norm	0.02386827603398634	sqrt
CD8_ClassI	seq_cytotoxic_prior	0.021025211995338515	identity
CD8_ClassI	hla_C	0.017146554028578162	sigmoid
CD8_ClassI	cross_stress_norm	0.014250050749641049	square
CD8_ClassI	md_norm	0.012936535419285944	square
CD8_ClassI	bigmhc_el_norm	0.010668716011806377	sqrt
CD4_ClassII_helper	slp_processability_proxy	0.7070357000373554	square
CD4_ClassII_helper	seq_helper_prior	0.2307577603722695	square
CD4_ClassII_helper	helper_promiscuity_proxy	0.016851154635668976	sigmoid
CD4_ClassII_helper	seq_diversity	0.01580715250240156	sqrt
CD4_ClassII_helper	charged_balance	0.015388487744755246	square
CD4_ClassII_helper	hydrophobic	0.013446246665044563	sqrt
CD4_ClassII_helper	aromatic	0.0007134980425047415	identity
Deployment_public_fallback	bigmhc_el_norm	0.26373665935405083	identity
Deployment_public_fallback	bigmhc_im_norm	0.2569703183587009	sigmoid
Deployment_public_fallback	hla_C	0.22880232037864454	sqrt
Deployment_public_fallback	hla_A	0.08701932027992068	square
Deployment_public_fallback	seq_helper_prior	0.030697680522963615	square
Deployment_public_fallback	hydrophobic	0.030357258362552507	sigmoid
Deployment_public_fallback	hla_B	0.023735663734182937	identity
Deployment_public_fallback	aromatic	0.02295367295996163	square
Deployment_public_fallback	helper_promiscuity_proxy	0.01959551905707699	square
Deployment_public_fallback	seq_diversity	0.015107109164037258	sqrt
Deployment_public_fallback	seq_cytotoxic_prior	0.013050153101831698	square
Deployment_public_fallback	charged_balance	0.006188495485531499	sqrt
Deployment_public_fallback	slp_processability_proxy	0.0017858292405449592	square
