operator	pulls	positive_reward	mean_positive_reward
synergy_shift	1455	0.7336434099112183	0.000504222274853071
gate_shift	1452	0.7234180266107678	0.0004982217814123746
transform_flip	1425	0.6242919536241236	0.00043809961657833234
cd4_reweight	1414	0.5833984384915858	0.00041258729737735913
axis_shift	1397	0.5233114666378805	0.00037459661176655727
cd8_reweight	1389	0.49463543225895357	0.0003561090225046462
public_reweight	1368	0.42064453989304995	0.0003074886987522295
