generation	best_fitness	mean_fitness	train_ap	train_auc	low_medium_ap	source_balanced_ap	deployment_public_ap	deployment_low_medium_ap	top96_precision	som_niche_score	novelty_disagreement	axis_balance	complexity	fitness
0	0.7098988061448183	0.605729851355069	0.894562145928039	0.8601700371592205	0.6907428590921301	0.6173169576068551	0.7245055939435148	0.35081882237177164	0.9895833333333334	0.5291666666666667	0.894415888543678	0.6338517207761891	0.6696275337417184	0.7098988061448183
1	0.7098988061448183	0.6366963149021743	0.894562145928039	0.8601700371592205	0.6907428590921301	0.6173169576068551	0.7245055939435148	0.35081882237177164	0.9895833333333334	0.5291666666666667	0.894415888543678	0.6338517207761891	0.6696275337417184	0.7098988061448183
2	0.7098988061448183	0.6573282701642554	0.894562145928039	0.8601700371592205	0.6907428590921301	0.6173169576068551	0.7245055939435148	0.35081882237177164	0.9895833333333334	0.5291666666666667	0.894415888543678	0.6338517207761891	0.6696275337417184	0.7098988061448183
3	0.7129495712918061	0.6691736353574339	0.8946356437045109	0.8632198832489177	0.7003855422593792	0.6292596405302464	0.7140406599541032	0.3795219446487673	0.9895833333333334	0.5190104166666667	0.8208360561017078	0.7345713684101784	0.6934411082646369	0.7129495712918061
4	0.7131468975708901	0.6803613321384626	0.8982178331665103	0.8771315963748298	0.5821164312958694	0.6350116641694193	0.7132821649444286	0.39024581317526125	0.9791666666666666	0.4645833333333333	0.9788154405359341	0.856991354730391	0.60261747152632	0.7131468975708901
5	0.7235063772885019	0.6905553741631809	0.8966812030438648	0.877981628873818	0.6814569544094592	0.6258393295515046	0.6549910842230833	0.4742068078677232	0.9791666666666666	0.5255208333333333	0.9138442736077619	0.8514447442442634	0.6550034365400181	0.7235063772885019
6	0.7259117397198067	0.6985942545523982	0.9022038510150272	0.8802220661998259	0.6824820188094995	0.6187855839012908	0.7261312671591008	0.4237876016108755	0.9791666666666666	0.5458333333333333	0.9217028277528837	0.8410173633019361	0.72622210925529	0.7259117397198067
7	0.7299467233302057	0.7076905298581133	0.9098023807847749	0.9026019119216101	0.7009830724340473	0.6550386007011544	0.6954473853259707	0.4850714999945541	0.9895833333333334	0.5088541666666667	0.812263870063417	0.6280828542132746	0.5820565606856848	0.7299467233302057
8	0.7321640015099321	0.7143360377722018	0.901877895102474	0.8786354410664574	0.6786172683693198	0.6251429626145993	0.7237310346455391	0.4201065910991848	0.9895833333333334	0.5291666666666667	0.8508816841208816	0.897867516429954	0.5666784205671026	0.7321640015099321
9	0.7379480588232855	0.7202211879672937	0.8920931877196239	0.8659332421726493	0.685639759113128	0.6371087217120508	0.7296327891786719	0.4601425220238025	0.9895833333333334	0.5190104166666667	0.899104507708908	0.968273575914029	0.6366641920922596	0.7379480588232855
10	0.7435389172197798	0.7256723360043674	0.913128565762952	0.8970065672483782	0.6937459711667961	0.6481164611030648	0.7285171342727356	0.4585079585871693	1.0	0.553125	0.871997868109857	0.770458426668112	0.5711081777546368	0.7435389172197798
11	0.7435389172197798	0.7293242833265556	0.913128565762952	0.8970065672483782	0.6937459711667961	0.6481164611030648	0.7285171342727356	0.4585079585871693	1.0	0.553125	0.871997868109857	0.770458426668112	0.5711081777546368	0.7435389172197798
12	0.7461651064552877	0.7334177414922797	0.9108312092286526	0.8814568744557952	0.6814062016667195	0.6439353398734938	0.7565167713633398	0.38160896797739263	1.0	0.54296875	0.9323753326497392	0.987571721916663	0.5889051599264418	0.7461651064552877
13	0.748714511497879	0.736313934125588	0.9114766515530003	0.8815641824358298	0.704232487320855	0.6325646034010098	0.7438568262213258	0.4244584161347897	0.9895833333333334	0.5291666666666667	0.8572885830458356	0.9846902472158353	0.5012679431775	0.748714511497879
14	0.753998409650858	0.7391762335277187	0.9060957992398267	0.8757319937209502	0.6899479838321703	0.6414755113983774	0.7308925306078954	0.49121050108296593	1.0	0.52265625	0.9882960270727457	0.9673364107003537	0.5867686749216843	0.753998409650858
15	0.753998409650858	0.7400414417889313	0.9060957992398267	0.8757319937209502	0.6899479838321703	0.6414755113983774	0.7308925306078954	0.49121050108296593	1.0	0.52265625	0.9882960270727457	0.9673364107003537	0.5867686749216843	0.753998409650858
