parameter	value
cd8_mix	0.8688501328530956
cd4_mix	0.13114986714690435
full_mode_mix	0.8651907943656603
public_fallback_mix_in_full_mode	0.13480920563433973
low_presentation_gate	0.06674380779080308
low_presentation_penalty	0.12460091370587653
high_leakage_penalty	0.04100412007138409
medium_leakage_penalty	0.07712751123209086
complexity_penalty	0.0
synergy_presentation_x_tcr	0.2294189528229917
synergy_foreignness_x_helper	0.08689448571969514
synergy_stress_x_md	0.5247950619548764
synergy_cytotoxic_x_helper	0.1252310589305202
synergy_claimsafe_x_helper	0.033660440571916674
