target	residual_target_adjustment	model	n	pooled_rho	pooled_p	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_1
DM1_low_RAI_score	sample_mean_only	HE_tile_features	15489	0.6230837566643105	0.0	0.689428636427151	0.0	0.6509648179173644	4
DM1_low_RAI_score	sample_mean_only	Coord_only	15489	0.31867809151017895	0.0	0.31089667860802844	0.0	0.44225342590511807	3
DM1_low_RAI_score	sample_mean_only	QC_only	15489	0.6303272443847051	0.0	0.7229745769208904	0.0	0.6420914670470346	4
DM1_low_RAI_score	sample_mean_only	Coord_QC	15489	0.6171891030740719	0.0	0.700317382270178	0.0	0.7088669125589243	4
DM1_low_RAI_score	coord_only	HE_tile_features	15489	0.49036248700156	0.0	0.5344903912317749	0.0	0.45664097366137935	4
DM1_low_RAI_score	coord_only	Coord_only	15489	-0.018863292086456204	0.018892424405099056	-0.027094586881267303	0.0007451651456135065	-0.005378202145212535	0
DM1_low_RAI_score	coord_only	QC_only	15489	0.5407700110527921	0.0	0.6340932421723166	0.0	0.5275078460992085	4
DM1_low_RAI_score	coord_only	Coord_QC	15489	0.5450136316264302	0.0	0.6313966281909079	0.0	0.49310180987286045	4
DM1_low_RAI_score	qc_only	HE_tile_features	15489	0.3012108551177409	0.0	0.32945507259017326	0.0	0.27067888193066664	4
DM1_low_RAI_score	qc_only	Coord_only	15489	0.2038197540060019	6.405139467066738e-145	0.19968133247216818	4.670620180976594e-139	0.3416053338604171	3
DM1_low_RAI_score	qc_only	QC_only	15489	-0.0213913803955705	0.007759715624658655	-0.01145865492866408	0.15386359294125082	-0.05738011711243854	0
DM1_low_RAI_score	qc_only	Coord_QC	15489	0.21121317327103414	1.0168960431587743e-155	0.20888728719623412	2.816542210354149e-152	0.375471764955759	3
DM1_low_RAI_score	coord_qc	HE_tile_features	15489	0.21620785860053024	2.979575674764272e-163	0.2322668209810756	8.685163507716306e-189	0.19468203920934166	4
DM1_low_RAI_score	coord_qc	Coord_only	15489	-0.00530109280456339	0.5094477190291001	0.004968708842540162	0.5363554378366897	0.004099916431087376	0
DM1_low_RAI_score	coord_qc	QC_only	15489	-0.042838954073990985	9.632059510291579e-08	-0.04774195260596519	2.7708906249087313e-09	-0.01955983875590915	0
DM1_low_RAI_score	coord_qc	Coord_QC	15489	-0.03052147928553284	0.00014520878325708213	-0.02799703783849345	0.0004925641428333773	-0.011750467802309483	0
RAI8_lineage_score	sample_mean_only	HE_tile_features	15489	0.6230837566643105	0.0	0.689428636427151	0.0	0.6509648179173644	4
RAI8_lineage_score	sample_mean_only	Coord_only	15489	0.31867809151017895	0.0	0.31089667860802844	0.0	0.44225342590511807	3
RAI8_lineage_score	sample_mean_only	QC_only	15489	0.6303272443847051	0.0	0.7229745769208904	0.0	0.6420914670470346	4
RAI8_lineage_score	sample_mean_only	Coord_QC	15489	0.6171891030740719	0.0	0.700317382270178	0.0	0.7088669125589243	4
RAI8_lineage_score	coord_only	HE_tile_features	15489	0.49036248700156	0.0	0.5344903912317749	0.0	0.45664097366137935	4
RAI8_lineage_score	coord_only	Coord_only	15489	-0.018863292086456204	0.018892424405099056	-0.027094586881267303	0.0007451651456135065	-0.005378202145212535	0
RAI8_lineage_score	coord_only	QC_only	15489	0.5407700110527921	0.0	0.6340932421723166	0.0	0.5275078460992085	4
RAI8_lineage_score	coord_only	Coord_QC	15489	0.5450136316264302	0.0	0.6313966281909079	0.0	0.49310180987286045	4
RAI8_lineage_score	qc_only	HE_tile_features	15489	0.3012108551177409	0.0	0.32945507259017326	0.0	0.27067888193066664	4
RAI8_lineage_score	qc_only	Coord_only	15489	0.2038197540060019	6.405139467066738e-145	0.19968133247216818	4.670620180976594e-139	0.3416053338604171	3
RAI8_lineage_score	qc_only	QC_only	15489	-0.0213913803955705	0.007759715624658655	-0.01145865492866408	0.15386359294125082	-0.05738011711243854	0
RAI8_lineage_score	qc_only	Coord_QC	15489	0.21121317327103414	1.0168960431587743e-155	0.20888728719623412	2.816542210354149e-152	0.375471764955759	3
RAI8_lineage_score	coord_qc	HE_tile_features	15489	0.21620785860053024	2.979575674764272e-163	0.2322668209810756	8.685163507716306e-189	0.19468203920934166	4
RAI8_lineage_score	coord_qc	Coord_only	15489	-0.00530109280456339	0.5094477190291001	0.004968708842540162	0.5363554378366897	0.004099916431087376	0
RAI8_lineage_score	coord_qc	QC_only	15489	-0.042838954073990985	9.632059510291579e-08	-0.04774195260596519	2.7708906249087313e-09	-0.01955983875590915	0
RAI8_lineage_score	coord_qc	Coord_QC	15489	-0.03052147928553284	0.00014520878325708213	-0.02799703783849345	0.0004925641428333773	-0.011750467802309483	0
MAPK_output_score	sample_mean_only	HE_tile_features	15489	0.2852903054766198	7.169818826807176e-288	0.32564123692108177	0.0	0.3198321481222784	3
MAPK_output_score	sample_mean_only	Coord_only	15489	-0.22544035309568383	1.0970736320166354e-177	-0.20746374804568615	3.436923656945296e-150	-0.21604509142115294	0
MAPK_output_score	sample_mean_only	QC_only	15489	0.38848848295306576	0.0	0.5125881948879975	0.0	0.49667992607907535	4
MAPK_output_score	sample_mean_only	Coord_QC	15489	0.34262305827633555	0.0	0.4504349815240265	0.0	0.4633761266586644	4
MAPK_output_score	coord_only	HE_tile_features	15489	0.2584137942453849	9.418160872691345e-235	0.2946227026145941	9.335009690959954e-308	0.2580628958588899	3
MAPK_output_score	coord_only	Coord_only	15489	0.012999181059511684	0.1057168303390925	0.025236584906076595	0.0016833688337746977	0.021567767320847045	0
MAPK_output_score	coord_only	QC_only	15489	0.3581555119193241	0.0	0.4738540452122522	0.0	0.4277087988555718	4
MAPK_output_score	coord_only	Coord_QC	15489	0.36358124280267845	0.0	0.4619142949700821	0.0	0.4329684666307756	4
MAPK_output_score	qc_only	HE_tile_features	15489	-0.01208962433697219	0.13244097712993325	0.03297188541573029	4.0555067405551464e-05	0.028853066961323726	1
MAPK_output_score	qc_only	Coord_only	15489	-0.05745114405054276	8.342667461625729e-13	-0.05976738597374636	9.739080643968137e-14	-0.08597666198925853	0
MAPK_output_score	qc_only	QC_only	15489	-0.0006046714507053883	0.9400172313087234	-0.04817438713928367	1.991079853537951e-09	0.004759366569571782	0
MAPK_output_score	qc_only	Coord_QC	15489	-0.053668210320627165	2.3323081192985012e-11	-0.054357108894196496	1.2926169894047683e-11	-0.07081310348355654	0
MAPK_output_score	coord_qc	HE_tile_features	15489	0.04070931908745649	4.0167431338152534e-07	0.060654999774918957	4.183654359299841e-14	0.04238348741752779	1
MAPK_output_score	coord_qc	Coord_only	15489	0.019464634844303733	0.015414065225688063	0.018366392603019605	0.02226629942153504	0.02423991057014155	1
MAPK_output_score	coord_qc	QC_only	15489	-0.010210840321993403	0.20382871682356524	-0.027314172727164077	0.000674499308575065	-0.0039818522037941475	0
MAPK_output_score	coord_qc	Coord_QC	15489	0.0008847400638589233	0.9123290430788196	-0.009349496033633713	0.244618068562635	-0.014207019181701816	0
HLA_II_AP_score	sample_mean_only	HE_tile_features	15489	0.14170073711586043	2.766244800196314e-70	0.18421402550689556	2.7425854603907487e-118	0.18381136639792764	2
HLA_II_AP_score	sample_mean_only	Coord_only	15489	0.36861582330807063	0.0	0.372844152053274	0.0	0.4097401226818669	4
HLA_II_AP_score	sample_mean_only	QC_only	15489	0.4589444115269003	0.0	0.6147293641987235	0.0	0.6048207587291266	4
HLA_II_AP_score	sample_mean_only	Coord_QC	15489	0.5583216333226854	0.0	0.6568291776683662	0.0	0.6772300454646525	4
HLA_II_AP_score	coord_only	HE_tile_features	15489	0.010301906124355322	0.19982429209309185	0.025936967636554908	0.0012454444024046147	0.11098912420518106	2
HLA_II_AP_score	coord_only	Coord_only	15489	0.03188836552850862	7.206908008772698e-05	0.02764790976406579	0.0005789359607399761	-0.008371013633210815	0
HLA_II_AP_score	coord_only	QC_only	15489	0.44250561636033586	0.0	0.5836007036828706	0.0	0.5439596263051083	4
HLA_II_AP_score	coord_only	Coord_QC	15489	0.4477241279248455	0.0	0.5722218235572619	0.0	0.5757232925714488	4
HLA_II_AP_score	qc_only	HE_tile_features	15489	0.2390725228297876	3.191871344266469e-200	0.24713643703093213	2.9915616853323037e-214	0.2750673650352815	4
HLA_II_AP_score	qc_only	Coord_only	15489	0.24123116026094427	6.309973481004587e-204	0.2463936912288203	6.164349764714208e-213	0.31149539678825194	3
HLA_II_AP_score	qc_only	QC_only	15489	0.023760452447115853	0.003103647029679146	-0.014138408092419544	0.0784860300046965	-0.008236741533901394	0
HLA_II_AP_score	qc_only	Coord_QC	15489	0.22377118882536126	5.000304409871724e-175	0.23970800153657149	2.6151504639407384e-201	0.3040766730689405	3
HLA_II_AP_score	coord_qc	HE_tile_features	15489	0.1860896260520274	1.0354895591815887e-120	0.18607773931836544	1.0729617511496666e-120	0.22387441884864218	3
HLA_II_AP_score	coord_qc	Coord_only	15489	-0.024026175718702802	0.0027864566930358966	-0.030413463914734446	0.00015329370877942644	-0.016016989233344554	0
HLA_II_AP_score	coord_qc	QC_only	15489	0.013749023412537333	0.08706729031594022	0.016122561213477223	0.04480305949539796	0.02616549533405415	0
HLA_II_AP_score	coord_qc	Coord_QC	15489	0.000861102873847272	0.9146622334415616	-0.00834902271423945	0.29879994957003086	0.003398180438118458	0
CD36_SPP1_macrophage_score	sample_mean_only	HE_tile_features	15489	0.20535697058897956	3.9408467746340854e-147	0.31712129748435225	0.0	0.27840524541900413	3
CD36_SPP1_macrophage_score	sample_mean_only	Coord_only	15489	0.23568672728451143	1.7329686139265563e-194	0.24444123730329084	1.6700258053564864e-209	0.2390592781614246	4
CD36_SPP1_macrophage_score	sample_mean_only	QC_only	15489	0.5267754897301475	0.0	0.6498091462124695	0.0	0.5715051338814823	4
CD36_SPP1_macrophage_score	sample_mean_only	Coord_QC	15489	0.5927939802363523	0.0	0.679735473797576	0.0	0.6297453637757358	4
CD36_SPP1_macrophage_score	coord_only	HE_tile_features	15489	0.17322196254513633	1.300448175013792e-104	0.2537447283143313	3.873838905033352e-226	0.2113862735579891	3
CD36_SPP1_macrophage_score	coord_only	Coord_only	15489	0.008909094023705651	0.26755438746849586	-0.006211061441591662	0.4395569744341039	-0.014765568027917118	0
CD36_SPP1_macrophage_score	coord_only	QC_only	15489	0.5221146707783325	0.0	0.6311372017743214	0.0	0.5402877119829899	4
CD36_SPP1_macrophage_score	coord_only	Coord_QC	15489	0.5145363974506529	0.0	0.6146069132901032	0.0	0.5580554576496628	4
CD36_SPP1_macrophage_score	qc_only	HE_tile_features	15489	0.10401467767845891	1.6033953401076246e-38	0.11790467926139851	4.521004717337704e-49	0.12766775332995933	3
CD36_SPP1_macrophage_score	qc_only	Coord_only	15489	0.13932305253650218	5.5148914777635265e-68	0.14194693687684268	1.590273698986545e-70	0.18374407973605406	3
CD36_SPP1_macrophage_score	qc_only	QC_only	15489	0.018398460185718894	0.022033731834257487	0.009513355786905712	0.23644705565704974	0.018427682764685527	0
CD36_SPP1_macrophage_score	qc_only	Coord_QC	15489	0.13490825977865337	8.033589386395468e-64	0.13638557200729606	3.36605039620359e-65	0.17426123641694558	3
CD36_SPP1_macrophage_score	coord_qc	HE_tile_features	15489	0.06915329284526377	6.928488706838472e-18	0.08473775570554302	4.3679604279581274e-26	0.08348828293978133	1
CD36_SPP1_macrophage_score	coord_qc	Coord_only	15489	-0.003661144901537857	0.6486691198763028	-0.007249840979748175	0.3669418044656116	0.004086691945777957	0
CD36_SPP1_macrophage_score	coord_qc	QC_only	15489	0.010180859214805037	0.20515976531072028	0.03549042130352598	9.962352816402864e-06	0.025137838622181406	0
CD36_SPP1_macrophage_score	coord_qc	Coord_QC	15489	0.002562092123489944	0.7498482384987813	0.016127677153848347	0.044735231882123645	0.029404427058257368	0
Tumor_ZCCHC12_score	sample_mean_only	HE_tile_features	15489	0.31466535688096253	0.0	0.30346333939453063	0.0	0.2922371588056313	4
Tumor_ZCCHC12_score	sample_mean_only	Coord_only	15489	-0.0800054370724461	2.016176863923912e-23	-0.09375147031723052	1.3899955333367187e-31	-0.13501715466804573	0
Tumor_ZCCHC12_score	sample_mean_only	QC_only	15489	0.38633942497395257	0.0	0.5336260776321642	0.0	0.45864678546756654	4
Tumor_ZCCHC12_score	sample_mean_only	Coord_QC	15489	0.4043366068487408	0.0	0.5066290846449324	0.0	0.48171782428790255	4
Tumor_ZCCHC12_score	coord_only	HE_tile_features	15489	0.3516902636212863	0.0	0.34488377630825245	0.0	0.3133074201533502	4
Tumor_ZCCHC12_score	coord_only	Coord_only	15489	0.003382770086181214	0.6737775441379048	0.006036326232646218	0.45253467470777786	0.032246534673068324	0
Tumor_ZCCHC12_score	coord_only	QC_only	15489	0.39767308065474416	0.0	0.5111066491791498	0.0	0.46351258553420027	4
Tumor_ZCCHC12_score	coord_only	Coord_QC	15489	0.38978917182693174	0.0	0.48595694770411596	0.0	0.41838744975706904	4
Tumor_ZCCHC12_score	qc_only	HE_tile_features	15489	-0.040096081524876225	5.983319055548601e-07	0.03186135484094628	7.309324683125436e-05	0.03128177895755899	0
Tumor_ZCCHC12_score	qc_only	Coord_only	15489	0.1412440406779728	7.70406621780417e-70	0.11331134234205262	1.9605279741841916e-45	0.12176371734351815	2
Tumor_ZCCHC12_score	qc_only	QC_only	15489	0.009979810571783205	0.21424906065890933	-0.04901998883872966	1.0347830427217318e-09	-0.0039828036399920585	0
Tumor_ZCCHC12_score	qc_only	Coord_QC	15489	0.13475346905814534	1.1178347981468686e-63	0.11581689455719042	2.1214624267198875e-47	0.13690419286575972	2
Tumor_ZCCHC12_score	coord_qc	HE_tile_features	15489	0.0734133644370759	5.786074420645229e-20	0.09820601251933862	1.6625229717329189e-34	0.09411926641530721	2
Tumor_ZCCHC12_score	coord_qc	Coord_only	15489	-0.02975330426935857	0.00021267632886090324	-0.054857882426015414	8.378504125419183e-12	-0.0773722410637471	0
Tumor_ZCCHC12_score	coord_qc	QC_only	15489	-0.015956537987047437	0.04705175200654349	-0.04531100117176145	1.6846303803098068e-08	-0.02193233364721086	0
Tumor_ZCCHC12_score	coord_qc	Coord_QC	15489	-0.024783449163468474	0.002037957203274007	-0.046357307744073	7.832340355505508e-09	-0.04449684656547119	0
