file	source	n	role	utility
selected_trainsets/01_NEPdb_include_core_source_calibration.tsv	NEPdb	572	include_core_source_calibration	0.8874495600217511
selected_trainsets/02_CEDAR_include_positive_prior_downweighted.tsv	CEDAR	909	include_positive_prior_downweighted	0.7759062981048074
selected_trainsets/03_TESLA_mmc4_include_low_prevalence_false_positive_control.tsv	TESLA_mmc4	605	include_low_prevalence_false_positive_control	0.7740798411836717
selected_trainsets/04_ITSNdb_main_include_domain_anchor_reference_sensitive.tsv	ITSNdb_main	119	include_domain_anchor_reference_sensitive	0.6075181603909786
selected_trainsets/05_TESLA_mmc7_validation_include_abstention_stress_only.tsv	TESLA_mmc7_validation	310	include_abstention_stress_only	0.509909388887159
selected_trainsets/06_ITSNdb_Val_include_domain_anchor_reference_sensitive.tsv	ITSNdb_Val	111	include_domain_anchor_reference_sensitive	0.3825225823306498
