lineage	hallmark	n	n_genes	spearman_r	p	fdr
adrenocortical cancer	KRAS Signaling Up	79	193	0.7227848101265822	5.4542404896537746e-14	3.408900306033609e-13
adrenocortical cancer	Coagulation	79	136	0.712487828627069	1.7875129321108434e-13	9.930627400615796e-13
adrenocortical cancer	Apical Junction	79	194	0.6323515092502435	4.082393711373565e-10	2.0411968556867825e-09
adrenocortical cancer	TNF-alpha Signaling via NF-kB	79	197	0.6108325219084713	2.2607776654904076e-09	1.027626211586549e-08
adrenocortical cancer	Angiogenesis	79	36	0.5871957156767282	1.2853776973596088e-08	5.355740405665037e-08
adrenocortical cancer	Apical Surface	79	43	0.5853456669912366	1.464121746166433e-08	5.631237485255511e-08
adrenocortical cancer	Epithelial Mesenchymal Transition	79	194	0.5713242453748784	3.827352103243225e-08	1.3287740271788754e-07
adrenocortical cancer	Interferon Alpha Response	79	92	0.570715676728335	3.986322081536626e-08	1.3287740271788754e-07
adrenocortical cancer	PI3K/AKT/mTOR  Signaling	79	104	0.5635832521908472	6.383724637289291e-08	1.9949139491529035e-07
adrenocortical cancer	Myogenesis	79	198	0.4921616358325219	4.090055126522834e-06	1.2029573901537746e-05
adrenocortical cancer	UV Response Dn	79	137	0.48673320350535537	5.407000512579127e-06	1.5019445868275353e-05
adrenocortical cancer	p53 Pathway	79	190	0.4847614410905551	5.9769491075983625e-06	1.572881344104832e-05
adrenocortical cancer	Notch Signaling	79	32	0.44676241480038953	3.670969041118092e-05	9.17742260279523e-05
adrenocortical cancer	Hypoxia	79	190	0.42943037974683546	7.841476925774648e-05	0.00018670183156606305
adrenocortical cancer	KRAS Signaling Dn	79	188	0.4135589094449854	0.00015169372083594437	0.0003447584564453281
adrenocortical cancer	TGF-beta Signaling	79	54	0.40715676728334954	0.00019615083046738502	0.00042641484884214134
adrenocortical cancer	Cholesterol Homeostasis	79	72	-0.39130963972736127	0.0003625929468815024	0.0007554019726697968
adrenocortical cancer	Estrogen Response Early	79	192	0.37614410905550144	0.0006347077692234811	0.0012694155384469622
adrenocortical cancer	heme Metabolism	79	190	0.30988315481986367	0.0054498916677669824	0.01048056089955189
