lineage	hallmark	n	n_genes	spearman_r	p	fdr
breast invasive carcinoma	Bile Acid Metabolism	1218	112	-0.04166027447465131	0.1462027610531416	0.1555348521841932
breast invasive carcinoma	Fatty Acid Metabolism	1218	154	0.027683678907732778	0.3343698209262202	0.348301896798146
breast invasive carcinoma	Pperoxisome	1218	101	-0.016863044446034398	0.5565622465422773	0.5679206597370177
breast invasive carcinoma	Oxidative Phosphorylation	1218	182	0.0059838952988384535	0.8347413587344004	0.8347413587344004
cervical & endocervical cancer	Allograft Rejection	310	195	0.8172497515163295	1.0477147578117853e-75	5.238573789058927e-74
cervical & endocervical cancer	Complement	310	195	0.7496094249579315	3.8149695357920585e-57	9.537423839480147e-56
cervical & endocervical cancer	IL-6/JAK/STAT3 Signaling	310	87	0.7481109702393601	8.396563557934657e-57	1.3994272596557763e-55
cervical & endocervical cancer	Interferon Gamma Response	310	196	0.7239866548911758	1.3358936083517982e-51	1.6698670104397478e-50
cervical & endocervical cancer	Inflammatory Response	310	197	0.7060007673538278	4.5417475966995576e-48	4.5417475966995575e-47
cervical & endocervical cancer	IL-2/STAT5 Signaling	310	194	0.6628235196969254	1.3629276505655225e-40	1.1357730421379354e-39
cervical & endocervical cancer	Interferon Alpha Response	310	92	0.6041006099556606	3.2175795028757935e-32	2.2982710734827096e-31
cervical & endocervical cancer	KRAS Signaling Up	310	193	0.5732014263516556	1.8001560053314359e-28	1.1250975033321475e-27
cervical & endocervical cancer	PI3K/AKT/mTOR  Signaling	310	104	0.5370056886899901	1.4812076290606221e-24	8.228931272559011e-24
cervical & endocervical cancer	Apoptosis	310	158	0.5315153828259769	5.2976041826916225e-24	2.648802091345811e-23
cervical & endocervical cancer	TNF-alpha Signaling via NF-kB	310	197	0.45030517923552627	6.949305041487799e-17	3.1587750188580904e-16
cervical & endocervical cancer	Coagulation	310	136	0.3993468429230743	2.688027021117792e-13	1.12001125879908e-12
cervical & endocervical cancer	Apical Surface	310	43	0.3449376298434176	4.339203532778602e-10	1.6689244356840776e-09
cervical & endocervical cancer	Apical Junction	310	194	0.3023573472114946	5.6463076680784876e-08	2.0165384528851743e-07
cervical & endocervical cancer	UV Response Up	310	152	0.30045648489511323	6.896511505764198e-08	2.2988371685880662e-07
cervical & endocervical cancer	heme Metabolism	310	190	0.2708748941363896	1.293323318238113e-06	4.041635369494103e-06
cervical & endocervical cancer	Angiogenesis	310	36	0.2638510890482899	2.4705261899010626e-06	7.266253499709007e-06
cervical & endocervical cancer	p53 Pathway	310	190	0.22743461128292097	5.315370034226706e-05	0.0001476491676174085
