ModelID	CellLineName	CCLEName	OncotreePrimaryDisease	OncotreeSubtype	OncotreeCode	SampleCollectionSite	lineage_silenced_score
ACH-000037	S-117	S117_THYROID	Sarcoma, NOS	Sarcoma, NOS	SARCNOS	soft_tissue	0.2812171944187628
ACH-000058	ML-1	ML1_THYROID	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer	THFO	thyroid	-13.798929418415597
ACH-000163	SW579	SW579_THYROID	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	HNSC	thyroid	0.4633225715847622
ACH-000174	CAL-62	CAL62_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	pleural_effusion	-0.4109111641844694
ACH-000191	BHT-101	BHT101_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	lymph_node	0.6731521227234292
ACH-000456	B-CPAP	BCPAP_THYROID	Poorly Differentiated Thyroid Cancer	Poorly Differentiated Thyroid Cancer	THPD	thyroid	0.0009068374994493
ACH-000716	TT2609-C02	TT2609C02_THYROID	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer	THFO	thyroid	0.8604122401602703
ACH-000897	FTC-238	FTC238_THYROID	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer	THFO	lung	-0.0157532461086603
ACH-000903	FTC-133	FTC133_THYROID	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer	THFO	thyroid	-0.7069123743556218
ACH-001306	8305C	8305C_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	thyroid	0.6984976533099853
ACH-001307	8505C	8505C_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	thyroid	0.8303439587907174
ACH-001321	TT	TT_THYROID	Medullary Thyroid Cancer	Medullary Thyroid Cancer	THME	thyroid	-5.365787011109573
ACH-001350	HTC-C3	HTCC3_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	pleural_effusion	0.5467477377412681
ACH-001356	MB-1	MB1_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	thyroid	-0.198750274755395
ACH-001384	RO82-W-1	RO82W1_THYROID	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer	THFO	thyroid	0.6484566906508501
ACH-001443	ASH-3	ASH3_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	thyroid	0.4839855321823138
ACH-001528	IHH-4	IHH4_THYROID	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer	THPA	lymph_node	-0.5527383200930529
ACH-002041	HOTHC	HOTHC_THYROID	Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	thyroid	0.6240694152564068
ACH-002042	T3M-5	T3M5_THYROID	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	HNSC	thyroid	-1.3267315520252123
ACH-002440	CCLF_THYR_0008_T	CCLFTHYR0008T_THYROID	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer	THPA	pleural_cavity	0.1234871057284097
ACH-003468	CCLF_THYR_0003_T		Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	pleural_cavity	0.7123511374026259
ACH-003469	CCLF_THYR_0004_T		Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	pleural_cavity	0.3008422827929283
ACH-003470	CCLF_THYR_0005_T		Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer	THAP	pleural_cavity	0.6894094389095106
ACH-003471	CCLF_THYR_0006_T		Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer	THPA	pleural_cavity	-3.5545535903033354
ACH-003472	CCLF_THYR_0009_T		Medullary Thyroid Cancer	Medullary Thyroid Cancer	THME	pleural_cavity	-6.0669025244902
