module	n_genes_requested	n_genes_present	genes_present
glutamine_expression_module	13	13	GLS;GLUL;SLC1A5;SLC7A5;SLC3A2;GOT1;GOT2;GLUD1;GLUD2;ASNS;GPT2;MYC;LDHA
glutamine_dependency_module	13	13	GLS;GLUL;SLC1A5;SLC7A5;SLC3A2;GOT1;GOT2;GLUD1;GLUD2;ASNS;GPT2;MYC;LDHA
oxphos_expression_module	10	10	NDUFS1;NDUFS2;NDUFA9;NDUFB8;SDHA;UQCRC1;COX4I1;COX5A;ATP5F1A;ATP5F1B
oxphos_dependency_module	10	10	NDUFS1;NDUFS2;NDUFA9;NDUFB8;SDHA;UQCRC1;COX4I1;COX5A;ATP5F1A;ATP5F1B
glycolysis_expression_module	9	9	SLC2A1;HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
glycolysis_dependency_module	9	9	SLC2A1;HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM;LDHA
