ModelID	lineage_silenced_score	DM1_like_score	is_thyroid_model	cancer_type	OncotreePrimaryDisease	OncotreeSubtype	strict_thyroid_model	GLS_gene_effect	GLS_expression	common_essential_dependency_proxy	nonessential_dependency_proxy	proliferation_expression_proxy
ACH-000001	-2.5471071612979155	-1.1109036669717154	False	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	False	-0.0488937626735356	5.1146255	-1.097741705804717	-0.005710773220692414	0.1752781961580886
ACH-000002	0.8592915007680427	0.3747742119787461	False	Myeloid	Acute Myeloid Leukemia	AML with Myelodysplasia-Related Changes	False		4.4846926			-0.37565794252385826
ACH-000003	-2.904308823978272	-1.2666947710718657	False	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	False		6.811073			0.4970721403283679
ACH-000004	0.1678599627032959	0.073210994393265	False	Myeloid	Acute Myeloid Leukemia	AML, NOS	False	-0.1718906910099229	7.404605	-1.1221652800601996	-0.005551464857981195	0.09899377552858041
ACH-000005	0.4436171950943043	0.1934806576849511	False	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	False	-0.4516054511711058	8.084697	-1.1135544533862427	-0.022235750801253944	0.9031230046102581
ACH-000006	0.2557244298833793	0.1115324911367049	False	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	False		6.1384478			0.6092735612950412
ACH-000007	0.05704822999113	0.0248812020374903	False	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	False	-0.3893363882231557	6.530689	-1.1434800276114192	-0.021658052779776834	-0.11998287884865833
ACH-000008	0.7144158089362924	0.311587652827876	False	Skin	Melanoma	Melanoma	False		6.952322			-0.09145707594864629
ACH-000009	-0.6561535553557105	-0.286176962562405	False	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	False	-0.1772790800018078	7.3914757	-1.129315453141774	-0.0015157178798994807	0.9463745745054855
ACH-000011	0.3467317333404535	0.1512247147964877	False	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	False	-0.5457366470649191	8.21806	-1.0670583533398363	-0.033858317541282615	-0.4478420295823743
ACH-000012	0.5139044560072393	0.2241359740673954	False	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	False	0.026876791249746	8.9019375	-1.1299385017252752	-0.008258620801132445	0.3251663129481241
