module	scope	spearman_lineage	p_value	n
glutamine_expression_module	pan_cancer	-0.02565801748848246	0.2876895500204742	1719
glutamine_expression_module	thyroid_only	0.1101072840203275	0.6256982903977768	22
glutamine_dependency_module	pan_cancer	0.125047001340211	2.2949943592891983e-05	1140
glutamine_dependency_module	thyroid_only	-0.23636363636363636	0.4840911622253965	11
oxphos_expression_module	pan_cancer	0.06336171144859122	0.008594950098997545	1719
oxphos_expression_module	thyroid_only	-0.32919254658385094	0.13465848838788197	22
oxphos_dependency_module	pan_cancer	0.031495261635562814	0.288009027118985	1140
oxphos_dependency_module	thyroid_only	-0.33636363636363636	0.31182431390038634	11
glycolysis_expression_module	pan_cancer	0.19432974668768827	4.3348334254208986e-16	1719
glycolysis_expression_module	thyroid_only	0.3574251835121401	0.10245166957794666	22
glycolysis_dependency_module	pan_cancer	0.027027138452140363	0.3619231548428294	1140
glycolysis_dependency_module	thyroid_only	0.13636363636363638	0.6893090205863619	11
