gene	control_class	spearman_lineage_dependency	p_value	n
AAMP	common_essential	-0.02077569595252884	0.48344386527779853	1140
AARS1	common_essential	0.011001644596363552	0.7105913554791516	1140
AASDHPPT	common_essential	-0.02171583210221809	0.4638677808150189	1140
ABCB7	common_essential	-0.005353246412324515	0.8567212692886392	1140
ABCE1	common_essential	0.028794809216656753	0.3313692916059039	1140
ABCF1	common_essential	0.0228425440219799	0.4409989162723668	1140
ABCG8	nonessential	0.05295637549088523	0.07388809572901502	1140
ABT1	common_essential	-0.11552450126215048	9.253612576754961e-05	1140
ACCSL	nonessential	-0.013708463351509118	0.6438196292410625	1140
ACO2	common_essential	0.008529497418657198	0.7735930215610421	1140
ACTL6A	common_essential	-0.043138982830371854	0.14549784965152587	1140
ACTL7A	nonessential	0.018966206620576607	0.5223495386297633	1140
ACTL7B	nonessential	0.01855648509554425	0.5313768628684682	1140
ACTL9	nonessential	-0.038115165969616296	0.19845297288346805	1140
ACTR10	common_essential	0.0037201434725958583	0.9001521559119056	1140
ACTR3	common_essential	-0.08385077162060638	0.004611160704345665	1140
ACTR6	common_essential	-0.03789804636499008	0.20102354101323117	1140
ACTR8	common_essential	-0.044567123761778994	0.13261851605875696	1140
ADAD1	nonessential	-0.029193733889008117	0.3247112883261324	1140
ADAM18	nonessential	0.027378283204037717	0.3557174027631332	1140
ADAM2	nonessential	0.0042251818486034225	0.8866829534642159	1140
ADAM20	nonessential	-0.018364320557017165	0.5356378407761612	1140
ADAM30	nonessential	-0.022295840972160606	0.45201385383730464	1140
ADAT2	common_essential	-0.045219924315925634	0.12703328007947703	1140
ADGRG7	nonessential	-0.044343386731316034	0.13457586303714525	1140
ADH7	nonessential	0.07727109831976108	0.009053865707381342	1140
ADSL	common_essential	-0.028952574480362994	0.3287257429104831	1140
AFG2A	common_essential	-0.005039813697998586	0.8650273615899349	1140
AFG2B	common_essential	-0.03504157011022955	0.23712449221731777	1140
AFG3L2	common_essential	0.03453822456408721	0.24393278316123204	1140
AFM	nonessential	0.0033487009616448085	0.9100769847177427	1140
AHCY	common_essential	-0.0785248615757225	0.007989990897859437	1140
AICDA	nonessential	0.059100699928451614	0.04604024218814276	1140
AIFM1	common_essential	0.06351185007229558	0.03201531301852404	1140
AIPL1	nonessential	0.016479075063680577	0.5783305207103532	1140
AKIRIN2	common_essential	-9.472557547204541e-05	0.997450926842922	1140
ALDOA	common_essential	-0.059013701432842784	0.04636202867423286	1140
ALG1	common_essential	-0.06818056144524905	0.02132420113770035	1140
ALG11	common_essential	0.03335238509400937	0.260511167781119	1140
ALG13	common_essential	-0.016262579133215223	0.5833336873258345	1140
ALG14	common_essential	-0.03804571944682046	0.19927255443407524	1140
ALG2	common_essential	-0.04729531753134702	0.11048543820981689	1140
ALG8	common_essential	-0.03849360659063215	0.19402998772587632	1140
ALPG	nonessential	-0.00457330170465377	0.8797387665257301	1097
ALPI	nonessential	-0.01908026609503555	0.5198505649853378	1140
ALX3	nonessential	0.05626269090858432	0.05755560738820393	1140
ALYREF	common_essential	0.04578057498788796	0.12238390945205388	1140
AMD1	common_essential	-0.1269616891137392	1.7124055665766878e-05	1140
ANAPC10	common_essential	0.03077533916231084	0.29917647702241595	1140
ANAPC11	common_essential	0.011890752860163629	0.6883820141574523	1140
ANAPC15	common_essential	0.03339087469936577	0.25996113581140934	1140
ANAPC4	common_essential	0.03549948463860168	0.2310481887511797	1140
ANAPC5	common_essential	0.07466655402733338	0.011676001083706386	1140
ANKLE2	common_essential	0.032395701329896054	0.2744413678309969	1140
ANKRD30A	nonessential	0.014994187883298902	0.6130426325407806	1140
ANLN	common_essential	0.09229779825606936	0.0018111246721093629	1140
ANTXRL	nonessential	-0.028100408786013796	0.343167467910059	1140
AP2S1	common_essential	-0.02322224819064634	0.43343992141135623	1140
APOA4	nonessential	0.019336831065420546	0.5142519742072739	1140
APOBEC1	nonessential	0.04164171126308152	0.16000551317520717	1140
APOF	nonessential	-0.06696429153591953	0.02375724052829233	1140
AQP8	nonessential	0.04398322705291159	0.13777344478475415	1140
AQR	common_essential	0.04840958836654919	0.10233014606743063	1140
ARCN1	common_essential	0.02804318465683808	0.3441515440898001	1140
ARGFX	nonessential	-0.008429158775737343	0.7761850943117277	1140
ARGLU1	common_essential	0.059401610561573635	0.04494169571272386	1140
ARL2	common_essential	-0.04505691856933522	0.1284105001707832	1140
ARMC7	common_essential	0.05373104359599829	0.06975647920534743	1140
ARPC4	common_essential	-0.09378859819148264	0.001523426868450148	1140
ART1	nonessential	-0.01230012609962563	0.6782442862905379	1140
ASB17	nonessential	0.022029856092047183	0.45742856726803227	1140
ASCC3	common_essential	0.04398934229955387	0.1377186683099742	1140
ASIC5	nonessential	0.035443734648351655	0.23178200051595535	1140
ASZ1	nonessential	0.000611735255502497	0.9835392914412313	1140
ATIC	common_essential	-0.08076167300350665	0.00636628243194054	1140
ATL2	common_essential	-0.12669800453832297	1.783319114350327e-05	1140
ATOH1	nonessential	0.01494541980378482	0.614198120995415	1140
ATP13A1	common_essential	0.0038278528101441498	0.8972770396423223	1140
ATP1A1	common_essential	-0.05710348467407822	0.05391818026362801	1140
ATP2A2	common_essential	-0.006116712681535248	0.8365570834283541	1140
ATP4B	nonessential	-0.03643821144668066	0.21893904023071492	1140
ATP6AP2	common_essential	0.010966265262147059	0.7114803568781689	1140
ATP6V0B	common_essential	-0.0012739476197131416	0.9657284359788398	1140
ATP6V0C	common_essential	-0.04286297056569798	0.14809377965168768	1140
ATP6V0D1	common_essential	0.029673906295225237	0.3168134224624713	1140
ATP6V1A	common_essential	-0.07818293424194289	0.008268442634585569	1140
ATP6V1D	common_essential	-0.030689588015023746	0.300525629212501	1140
ATP6V1E1	common_essential	0.0033105353428654776	0.9110975793361763	1140
ATP6V1G1	common_essential	-0.06357569162730804	0.031842745525788155	1140
ATP6V1G3	nonessential	0.013210155796640269	0.6559177651711328	1140
ATR	common_essential	0.006848744153105365	0.8173231573125512	1140
ATRIP	common_essential	0.008788289796759576	0.7669192677694188	1140
ATRX	common_essential	-0.08755430268146276	0.003090263267638593	1140
B3GNT6	nonessential	0.005389095527077766	0.8557722445691069	1140
BANF2	nonessential	0.04379262574961888	0.13948915156208372	1140
BARD1	common_essential	-0.017295561736229488	0.5596453439679905	1140
BARHL1	nonessential	-0.020241531183242314	0.49476296891128596	1140
BCAS2	common_essential	0.11914655779853714	5.51136832931795e-05	1140
BCCIP	common_essential	-0.05702151607007846	0.05426414645587044	1140
BCL2L1	common_essential	0.10978739555330853	0.00020399712891331324	1140
BCS1L	common_essential	-0.027242176443008883	0.35811480762013864	1140
BDP1	common_essential	0.020759472324681852	0.48378556913301657	1140
BET1	common_essential	0.08012661881411921	0.006794107796081022	1140
BIRC5	common_essential	-0.01608430551918019	0.5874686113361246	1140
BLM	common_essential	0.07688915054404839	0.009402170358834198	1140
BMP10	nonessential	-0.04612601757602883	0.11958602114215407	1140
BMS1	common_essential	-0.04998668212676615	0.09161340237613819	1140
BNIP1	common_essential	0.008261309429819667	0.7805267446033847	1140
BOD1L1	common_essential	-0.02509975040479086	0.39717975997801336	1140
BORA	common_essential	-0.0008241003571101547	0.9778262040370248	1140
BPIFA1	nonessential	0.0519061811009639	0.07980601564787886	1140
BPIFA3	nonessential	-0.0005017580119146874	0.9864982705895693	1140
BPIFB3	nonessential	0.04368364476475557	0.14047750293429206	1140
BPIFB6	nonessential	0.018689360090466775	0.5284406174621694	1140
BPIFC	nonessential	0.0363595880040892	0.21993543356529752	1140
BPTF	common_essential	-0.057748153165140294	0.05126081507404191	1140
BRCA1	common_essential	-0.03136598289164581	0.2899934398231315	1140
BRCA2	common_essential	-0.000548274384718104	0.9852467050755228	1140
BRD4	common_essential	-0.001410418865641187	0.9620597361677896	1140
BRD8	common_essential	-0.06912112687715292	0.019594176780212823	1140
BRDT	nonessential	0.05875803552520918	0.04731863784605863	1140
BRF1	common_essential	-0.02747891343487694	0.353951402928362	1140
BRIX1	common_essential	-0.0442568094182574	0.1353392358518971	1140
BSND	nonessential	0.03679841972307167	0.21441552121713361	1140
BTAF1	common_essential	0.06228163254082302	0.03550035945538153	1140
BUB1B	common_essential	0.047315501895098734	0.1103332808435081	1140
BUB3	common_essential	0.05127297363506581	0.0835563525744825	1140
BUD13	common_essential	0.04272032737547667	0.14944913317860184	1140
BUD31	common_essential	0.06522552847374258	0.027651420719869813	1140
BYSL	common_essential	-0.029882561750525397	0.31342102033432595	1140
C10ORF120	nonessential	0.02370384613780259	0.42396096132109684	1140
C10ORF53	nonessential	-0.010894486035996288	0.7132852070922275	1140
C16ORF78	nonessential	0.0668353367785796	0.024028785966107	1140
C17ORF78	nonessential	0.025304242632575615	0.393343866392729	1140
C1ORF146	nonessential	-0.03308588993503705	0.2643415478227844	1140
C20ORF173	nonessential	0.07298863564433095	0.01370267413772852	1140
C8A	nonessential	0.014003696119867907	0.6366957883723129	1140
C8B	nonessential	-0.001097099546617234	0.9704836358482422	1140
C9ORF78	common_essential	0.013292521284196937	0.6539117197399396	1140
CABP2	nonessential	0.03758910086475663	0.20472296946775947	1140
CABP5	nonessential	-0.02233415238489962	0.45123693229134093	1140
CABS1	nonessential	0.006310756342209365	0.8314486244387838	1140
CACNG2	nonessential	0.044336736906821585	0.13463437801249736	1140
CACNG3	nonessential	0.0900921624366642	0.0023289874578246387	1140
CACNG5	nonessential	0.03371456158885609	0.25536728099503886	1140
CAD	common_essential	-0.03295785043977736	0.26619560511330925	1140
CARS1	common_essential	0.015063075529249287	0.6114120760805866	1140
CATSPER4	nonessential	0.004245431009670554	0.8861435696827544	1140
CBLIF	nonessential	0.027660370217031726	0.35078095695216416	1140
CCDC172	nonessential	-0.06095617105535509	0.03961192182799973	1140
CCDC83	nonessential	-0.0029068723668244064	0.9219006560549603	1140
CCDC86	common_essential	-0.03804389702232442	0.19929409520696575	1140
CCKAR	nonessential	-0.01105075286178356	0.7093580292319231	1140
CCL1	nonessential	0.06293082064463529	0.03362299975685141	1140
CCNA2	common_essential	0.045943596933807236	0.12105722368802964	1140
CCNH	common_essential	-0.03441900560338835	0.24556523606178088	1140
CCNK	common_essential	-0.07881586631925047	0.007759646289315739	1140
CCP110	common_essential	-0.016123208207422364	0.5865651376613742	1140
CCT2	common_essential	-0.023924902179340263	0.41965093128989533	1140
CCT3	common_essential	-0.028658921146567443	0.3336572347773143	1140
CCT4	common_essential	0.016107835044340196	0.5869220862047937	1140
CCT5	common_essential	-0.06328983017069112	0.03262169278083108	1140
CCT6A	common_essential	-0.05560771964437128	0.06052832534674899	1140
CCT7	common_essential	-0.0014652616934754086	0.9605856407981969	1140
CCT8L2	nonessential	-0.12795154100368045	1.4694143018436473e-05	1140
CD200R1L	nonessential	0.0012337327858338168	0.9668096563570827	1140
CDC123	common_essential	0.002949031120166176	0.9207716695703203	1140
CDC16	common_essential	-0.025829570667972444	0.38359293392498994	1140
CDC20	common_essential	0.07928890292110753	0.007397874895902453	1140
CDC23	common_essential	-0.015582766198205027	0.5991734818756075	1140
CDC37	common_essential	0.07497324782085617	0.011335720869270347	1140
CDC40	common_essential	0.09661593185363535	0.0010900346326727331	1140
CDC45	common_essential	0.028709033770376383	0.33281230825108266	1140
CDC5L	common_essential	0.0563370377283584	0.057225964548191885	1140
CDC6	common_essential	0.06233931835087107	0.03533000043669665	1140
CDC7	common_essential	0.016658272039460274	0.574204626531615	1140
CDC73	common_essential	0.020887001541082657	0.48110306620219606	1140
CDCA5	common_essential	0.054436961749456246	0.06615832106412603	1140
CDCP2	nonessential	-0.0013091244623189642	0.964782719105252	1140
CDIN1	common_essential	-0.07691725637960957	0.009376139123356764	1140
CDIPT	common_essential	-0.10254625505737987	0.0005249195489946462	1140
CDK1	common_essential	0.12886625230673382	1.2743617760697106e-05	1140
CDK12	common_essential	0.009991235758106924	0.7361310152096515	1140
CDK9	common_essential	-0.022167574686296963	0.45462046995905137	1140
CDT1	common_essential	0.03928956871352341	0.18496391950726726	1140
CDX2	nonessential	0.010170035850329703	0.7315893583942549	1140
CEACAM7	nonessential	0.06455846441054024	0.0292850956937128	1140
CEBPZ	common_essential	-0.11479991338218862	0.00010246115764451797	1140
CELA2A	nonessential	-0.006405522416003545	0.8289563488995654	1140
