gene	control_class	spearman_lineage_dependency	p_value	n
CELA3A	nonessential	-0.042084300095477256	0.16364952201449573	1097
CELA3B	nonessential	-0.008750820749120954	0.7678844666074243	1140
CENATAC	common_essential	0.08519952774096594	0.003992585214819821	1140
CENPA	common_essential	0.04077622162075015	0.1688756510254287	1140
CENPH	common_essential	0.06556647574812653	0.026847168420574403	1140
CENPL	common_essential	-0.025216790555758883	0.3949815543048915	1140
CENPM	common_essential	0.04776758466508354	0.10696843440424872	1140
CENPN	common_essential	-0.011912638153444984	0.6878386093616535	1140
CENPW	common_essential	0.05688291461240615	0.054853351557785375	1140
CEP135	common_essential	0.012786251759196492	0.666281100574307	1140
CEP152	common_essential	-0.031564610962385525	0.2869483013666094	1140
CEP192	common_essential	0.015728341466948858	0.5957652002832728	1140
CEP57	common_essential	-0.024194734400056442	0.41442490839795154	1140
CEP85	common_essential	0.020717111079729414	0.4846784029803878	1140
CEP97	common_essential	-0.035364519930257035	0.23282750788708992	1140
CER1	nonessential	-0.041779130169747505	0.15863012153822137	1140
CETN1	nonessential	0.0013212739589592434	0.9644560956462193	1140
CFDP1	common_essential	-0.04428907848133398	0.13505432221341174	1140
CFHR2	nonessential	0.006668486036229466	0.822357603551621	1136
CFHR5	nonessential	0.018714963129720055	0.5278757962610398	1140
CHAF1A	common_essential	0.008209779364736032	0.7818610186440074	1140
CHAF1B	common_essential	0.031362840221848196	0.2900417935793174	1140
CHAT	nonessential	-0.055639794315501624	0.06037984510285119	1140
CHEK1	common_essential	0.03744635237889777	0.20644889555176674	1140
CHERP	common_essential	0.020094570871881497	0.49790173055524095	1140
CHMP2A	common_essential	0.06603132358924804	0.025783199833513747	1140
CHMP3	common_essential	0.01858024141130821	0.5308512946324653	1140
CHMP4B	common_essential	-0.10302774770889855	0.0004938391992082286	1140
CHMP6	common_essential	0.09742428646309971	0.0009889499603686267	1140
CHORDC1	common_essential	0.0017255930078188897	0.953590235016246	1140
CHRNA6	nonessential	0.05297185394960494	0.07380362872941455	1140
CHRNB3	nonessential	0.020072312994036504	0.49837803288243954	1140
CIAO1	common_essential	-0.04300013838276674	0.14679931606159755	1140
CINP	common_essential	0.01615255329164085	0.5858840550538846	1140
CKAP5	common_essential	0.047032621114990895	0.11248087360785572	1140
CLASRP	common_essential	0.12389204589059276	2.732836776141072e-05	1140
CLCA1	nonessential	-0.02869201637541556	0.3330990760945841	1140
CLDN17	nonessential	-0.028450435784220244	0.33718723272914275	1140
CLEC2A	nonessential	-0.0292719118500561	0.3234167697857006	1140
CLEC3A	nonessential	0.015621757982755896	0.5982597215717402	1140
CLEC6A	nonessential	0.07984617603300387	0.006991118417383715	1140
CLNS1A	common_essential	-0.03387122529820029	0.2531642246412584	1140
CLP1	common_essential	0.035868999429419145	0.22622609189029289	1140
CLRN1	nonessential	0.019934043622605695	0.5013423095604542	1140
CLTC	common_essential	0.11317284469245799	0.00012852315937566101	1140
CMPK1	common_essential	0.006430032000559202	0.8283120441661979	1140
CNBD1	nonessential	0.01656075207976096	0.5764482341856038	1140
CNGB3	nonessential	0.010979087030934767	0.7111581299397897	1140
CNOT1	common_essential	0.034800038117020794	0.24037455100818134	1140
CNOT2	common_essential	-0.04784238506606553	0.1064196085850085	1140
CNOT3	common_essential	0.01333441274861262	0.6528923918265226	1140
CNPY1	nonessential	0.007529512848517931	0.7995339417036457	1140
CNTNAP5	nonessential	0.030236905869871364	0.3077148597157018	1140
COA5	common_essential	0.04603395679015321	0.12032672336734887	1140
COASY	common_essential	-0.04557656873996883	0.12406008130585613	1140
COG2	common_essential	0.006051801970818448	0.8382674936299936	1140
COG3	common_essential	-0.0010831519244741932	0.9708587148979653	1140
COG4	common_essential	0.07072818129608482	0.01692052902874276	1140
COG8	common_essential	-0.030336523642657223	0.30612311445422913	1140
COL20A1	nonessential	0.0055528626421243055	0.8514395474300066	1140
COPA	common_essential	0.017911905700790865	0.5457369101906746	1140
COPB1	common_essential	0.07896195996651761	0.007646261687882958	1140
COPB2	common_essential	0.0024298345307404746	0.9346858576836069	1140
COPE	common_essential	0.014484265409641947	0.6251715013608059	1140
COPG1	common_essential	0.09310680893835228	0.0016493402748686378	1140
COPS2	common_essential	0.05497598631739888	0.06351487461845325	1140
COPS3	common_essential	0.050111416958939684	0.09080575791411426	1140
COPS4	common_essential	0.07347932141497412	0.013080101364851729	1140
COPS6	common_essential	0.08210884158963853	0.005537896403224978	1140
COPZ1	common_essential	0.044904766373076783	0.12970645168809117	1140
COQ4	common_essential	-0.01160217801596371	0.6955621687170063	1140
COQ5	common_essential	-0.038369527831277186	0.19547211121174257	1140
COX10	common_essential	-0.004687567391739177	0.8743797893800774	1140
COX15	common_essential	-0.0519530538590021	0.07953392005098406	1140
COX5B	common_essential	0.0047138427031398885	0.8736815363920251	1140
COX6B1	common_essential	-0.05806434786503579	0.04999800597356324	1140
COX7B2	nonessential	0.03276128778346649	0.26905926095724947	1140
CPAP	common_essential	0.041125705941439994	0.16525053462545466	1140
CPSF2	common_essential	0.02060919925057045	0.4869568480867577	1140
CPSF3	common_essential	-0.04259343803256559	0.1506627244550482	1140
CPSF6	common_essential	0.03347710372685404	0.2587318037910719	1140
CRCP	common_essential	-0.018953036566218547	0.5226384830362414	1140
CRLS1	common_essential	-0.006270136525108698	0.8325174147165697	1140
CRNKL1	common_essential	0.09132911078927546	0.0020239477241090985	1140
CRNN	nonessential	0.05073419205705598	0.08685853613113555	1140
CRX	nonessential	0.047704893262419695	0.10743013714409862	1140
CRYGB	nonessential	0.02164027843244441	0.46542453508752546	1140
CSE1L	common_essential	-0.0031413657516462267	0.9156231188284556	1140
CSHL1	nonessential	0.0007622513195467055	0.979489974690215	1140
CSN2	nonessential	-0.0005399884280094335	0.9854696437461304	1140
CSN3	nonessential	0.056970237094592056	0.05448151958973889	1140
CSNK1A1	common_essential	-0.011004981658107415	0.7105075230510722	1140
CSNK2B	common_essential	0.011563040437453159	0.696538087732678	1140
CST11	nonessential	-0.028562599937203306	0.33528514096871115	1140
CST4	nonessential	-0.008301880648933774	0.7794766829972378	1140
CST5	nonessential	-0.009954398484293598	0.7370678608123981	1140
CST8	nonessential	0.04898072810394429	0.09833948781303498	1140
CST9	nonessential	0.02401966825313444	0.41781113993398294	1140
CST9L	nonessential	-0.02506339101117871	0.3978641462736408	1140
CSTF1	common_essential	-0.07068748048233989	0.01698408095616935	1140
CSTF3	common_essential	0.023596250195556275	0.4260681293347656	1140
CSTL1	nonessential	0.0422909965628669	0.15358556231098025	1140
CTC1	common_essential	-0.005256163834504255	0.8592923473965793	1140
CTCF	common_essential	-0.004201295938208633	0.8873192779506478	1140
CTCFL	nonessential	0.048750244053013765	0.09993472256144038	1140
CTDP1	common_essential	0.028222875712147807	0.3410674595124232	1140
CTNNBL1	common_essential	-0.006992845282923506	0.8135494589012268	1140
CTPS1	common_essential	-0.01134305355161983	0.7020328907058694	1140
CTR9	common_essential	0.0516126330628059	0.08152728601411348	1140
CTRB1	nonessential	0.019371394360785072	0.5326170895398649	1040
CTU1	common_essential	-0.07970657021694262	0.007091088811892098	1140
CTU2	common_essential	-0.04915720359247657	0.09713184140748782	1140
CUL1	common_essential	0.05206428655057607	0.07889123006587205	1140
CUL2	common_essential	-0.018717465926027955	0.5278205992929478	1140
CWC22	common_essential	0.06278049897253732	0.03404999190258477	1140
CWF19L2	common_essential	0.001989569171154455	0.9465005347302554	1140
CYLC2	nonessential	-0.03514352058637035	0.23576199482865237	1140
CYP11B1	nonessential	-0.042031515713288246	0.15612736764326454	1140
CYP11B2	nonessential	-0.013562240109611141	0.6473601266314059	1140
CYP26C1	nonessential	0.026526336200628043	0.3708902171947543	1140
CYP2A13	nonessential	-0.08619336466580522	0.003586035068115159	1140
CYP2C19	nonessential	-0.04399569243646451	0.13766180558570082	1140
CYP4A22	nonessential	0.018744996685414825	0.5272136266285185	1140
CYP7A1	nonessential	-0.05170890567418348	0.08095948969842932	1140
DAD1	common_essential	-0.05569694554769749	0.06011602760870722	1140
DAP3	common_essential	0.04966098652049796	0.09374944622681275	1140
DARS1	common_essential	-0.028692178368704097	0.33309634552147976	1140
DARS2	common_essential	-0.03408745393973955	0.2501453159400012	1140
DAZL	nonessential	0.018148893782256155	0.5404349770171981	1140
DBR1	common_essential	-0.04104726069146592	0.16605909346436812	1140
DCAF4L2	nonessential	0.012556018797863196	0.6719366260820608	1140
DCAF7	common_essential	0.15450573861532763	0.1887152148248505	74
DCANP1	nonessential	0.03566081375465575	0.22893397905934088	1140
DCPS	common_essential	-0.016218824745981363	0.5843472825597068	1140
DCTN2	common_essential	-0.03414379520549274	0.24936283969534068	1140
DCTN3	common_essential	0.0160013001581338	0.5893984697070991	1140
DCTN4	common_essential	-0.007715230054161242	0.7946985167566532	1140
DCTN5	common_essential	-0.04214484621794877	0.15501331928414835	1140
DDB1	common_essential	0.08395516819540408	0.00456035502152199	1140
DDI1	nonessential	-0.05544102045080222	0.06130488490383907	1140
DDOST	common_essential	-0.03245986687148558	0.27349145699172195	1140
DDX18	common_essential	-0.01792794303635603	0.5453773093314317	1140
DDX20	common_essential	0.026033933301126373	0.37983991824191043	1140
DDX21	common_essential	-0.1901959879851198	9.550986052563396e-11	1140
DDX23	common_essential	-0.03646305311747782	0.21862489634675383	1140
DDX24	common_essential	-0.028042552883012783	0.3441624186551811	1140
DDX27	common_essential	-0.024457673806345368	0.40936955142998194	1140
DDX39B	common_essential	0.0700166905735012	0.01806202378663276	1140
DDX3X	common_essential	0.047470707664846096	0.10916879727685504	1140
DDX4	nonessential	0.020823419175331856	0.4824394723241967	1140
DDX46	common_essential	0.0172653418882529	0.5603316774115153	1140
DDX47	common_essential	-0.04183760164724496	0.15804761309897136	1140
DDX49	common_essential	-0.04698635583178471	0.11283522431694365	1140
DDX51	common_essential	-0.0937304588002267	0.0015338088171877086	1140
DDX54	common_essential	-0.02398916491690291	0.4184028140852761	1140
DDX55	common_essential	-0.09645107128389117	0.0011117879827860547	1140
DDX56	common_essential	-0.08436931213721352	0.004363758594837554	1140
DDX59	common_essential	0.01009039185002046	0.7336112268933354	1140
DDX6	common_essential	0.032459891170478865	0.2734910976935755	1140
DEFA5	nonessential	0.0521578295750418	0.07835402085995033	1140
DEFA6	nonessential	-0.068368643752905	0.020967994100631663	1140
DEFB118	nonessential	0.05918251463882727	0.0457393452849563	1140
DEFB123	nonessential	0.038723920548609715	0.19137383330731497	1140
DEFB126	nonessential	0.045786617337550406	0.12233453466343432	1140
DEFB127	nonessential	0.0334512090996814	0.25910054947222183	1140
DEFB129	nonessential	0.06556961031825972	0.026839868941242913	1140
DENR	common_essential	0.04153172591982929	0.16111280163467762	1140
DGCR8	common_essential	-0.0032804774881774264	0.9119014657826948	1140
DHDDS	common_essential	0.028601778014035996	0.3346223844629133	1140
DHFR	common_essential	0.0022747965585531746	0.9403663300430339	1084
DHX15	common_essential	0.0522670211511802	0.07773070874882962	1140
DHX33	common_essential	-0.02263309479956591	0.44520062482256456	1140
DHX35	common_essential	0.02208331387726441	0.4563374038485834	1140
DHX36	common_essential	-0.028310902865138852	0.3395630962937353	1140
DHX38	common_essential	0.04126524696018582	0.16381956270849712	1140
DHX8	common_essential	0.05617340020794269	0.05795359153246713	1140
DHX9	common_essential	0.09134558550671967	0.002020144279401778	1140
DIDO1	common_essential	0.005792102430300263	0.8451181874898345	1140
DIMT1	common_essential	-0.014245697893613423	0.6308812634514183	1140
DIS3	common_essential	-0.052704362531908126	0.07527448522683539	1140
DKC1	common_essential	-0.08511649808092626	0.0040283735864544016	1140
DLD	common_essential	-0.06351940705920583	0.03199484435250456	1140
DLST	common_essential	-0.0719805433101004	0.015064267446612135	1140
DMAP1	common_essential	-0.053759133232230624	0.06961029876214662	1140
DMP1	nonessential	-0.05289475324392573	0.0742251554376175	1140
DMRT1	nonessential	0.007050361000018589	0.8120444469309157	1140
DMRTB1	nonessential	-0.042664828474823877	0.14997901435994043	1140
DMRTC2	nonessential	0.034761686205959645	0.24089348508766426	1140
DNAAF10	common_essential	0.08440258555867902	0.0043483014593578605	1140
DNAJA3	common_essential	-0.05051163757759935	0.08825292138657695	1140
DNAJC11	common_essential	-0.035962218467307794	0.2250210119513235	1140
DNAJC2	common_essential	0.008101106167120944	0.7846770048006939	1140
DNAJC9	common_essential	-0.00857532531998433	0.7724099745276803	1140
DNM1L	common_essential	-0.05007513856197181	0.09104006461095332	1140
DNM2	common_essential	-0.010179350464420586	0.7313530157936963	1140
DNMT1	common_essential	-0.06447793754680847	0.0294878113568362	1140
DNTTIP2	common_essential	-0.10777884076873755	0.00026670179403747303	1140
DONSON	common_essential	0.030147971554464515	0.30914051290093997	1140
DPH5	common_essential	-0.07119477866472254	0.01620672313489484	1140
DPRX	nonessential	-0.014977453976593025	0.6134390099994493	1140
DR1	common_essential	-0.05164924354601527	0.08131098573866594	1140
DRD3	nonessential	0.010383324313682024	0.7261839424746468	1140
DRGX	nonessential	-0.010728718303836314	0.7174594631243962	1140
DSG4	nonessential	0.05300990617308231	0.07359631029732355	1140
DSN1	common_essential	0.04634056958703173	0.1178736253272841	1140
DSPP	nonessential	0.005099556822811053	0.8634429664992295	1140
DTL	common_essential	0.004980459357078608	0.8666019828549488	1140
DTX2	nonessential	0.01477557794041814	0.6182297336189101	1140
DTYMK	common_essential	0.011804054052138595	0.6905362944621924	1140
DUXA	nonessential	-0.0062361098348514875	0.8334129645140882	1140
DYNC1H1	common_essential	-0.0008693207836052749	0.9766098120568435	1140
DYNLRB1	common_essential	-0.0503848778293191	0.08905513903606449	1140
E4F1	common_essential	-0.06871291998936839	0.020329372736293167	1140
EBNA1BP2	common_essential	-0.011049481214468544	0.7093899563583151	1140
ECD	common_essential	0.01804518567893473	0.5427519818728536	1140
ECT2	common_essential	-0.017826211251154758	0.5476604018770465	1140
EEF1A1	common_essential	-0.10083771115110005	0.07119847091932634	321
EEF2	common_essential	-0.024114401928270916	0.4159767290864006	1140
EEFSEC	common_essential	0.040243814478644245	0.17451223928490897	1140
EFCAB3	nonessential	0.011445579103934936	0.699470064474615	1140
EFTUD2	common_essential	0.06127786542739642	0.038578631326759316	1140
EGR4	nonessential	0.03274742115796772	0.26926207368902055	1140
EHMT1	common_essential	-0.015333369430837797	0.6050328955426636	1140
EIF1	common_essential	-0.018957224092727227	0.5225466019086673	1140
EIF1AD	common_essential	-0.027919624276006434	0.346282525143043	1140
EIF2B1	common_essential	-0.07920217171442478	0.007463052368225255	1140
EIF2B2	common_essential	0.052689580644329125	0.07535645838398615	1140
EIF2B3	common_essential	0.0032080907871946417	0.9138377899069752	1140
EIF2B4	common_essential	0.10402856654447379	0.00043464117650921543	1140
EIF2B5	common_essential	-0.01544462642140505	0.6024158149613087	1140
EIF2S1	common_essential	-0.006300826153622043	0.8317098792975534	1140
EIF2S3	common_essential	0.04329530635381011	0.14404312197000357	1140
EIF3A	common_essential	-0.00026036371300118853	0.9929936687327777	1140
EIF3B	common_essential	-0.01825896012215266	0.5379813344205583	1140
EIF3D	common_essential	0.037881725541169975	0.20121774580253507	1140
EIF3I	common_essential	-0.016918076875616007	0.5682476279428383	1140
EIF3J	common_essential	-0.07907147552923309	0.007562240670987599	1140
EIF3M	common_essential	0.039175015159534435	0.1862490583719828	1140
EIF4A1	common_essential	-0.06924413648080355	0.01937722842361146	1140
EIF4A3	common_essential	0.023012499280648555	0.4376062287615827	1140
EIF4E	common_essential	0.00738546031668635	0.8032898679258311	1140
EIF4G1	common_essential	-0.03169413269623533	0.2849742757439738	1140
