test	scope	spearman_r	p_value	n	interpretation
GLS_dependency_vs_lineage_silenced	pan_cancer	-0.08813375267455982	0.0028988001189605896	1140	negative supports stronger GLS dependency in lineage-silenced models
GLS_dependency_vs_lineage_silenced	thyroid_only	0.08181818181818183	0.8109903943000459	11	thyroid-only estimate; underpowered if n is small
GLS_dependency_vs_GLS_expression	pan_cancer	0.030894574447456382	0.297307225565916	1140	expression-dependency coupling check
GLS_dependency_vs_GLS_expression	thyroid_only	-0.10909090909090911	0.7495085962341481	11	thyroid-only estimate; underpowered if n is small
GLS_dependency_vs_common_essential_proxy	pan_cancer	0.09718550835579608	0.001017868428803945	1140	artifact/proliferation-like dropout check
GLS_dependency_vs_common_essential_proxy	thyroid_only	0.16363636363636366	0.6306852146425356	11	thyroid-only estimate; underpowered if n is small
GLS_dependency_vs_nonessential_proxy	pan_cancer	-0.06971271826722583	0.018569890661190226	1140	negative-control dependency check
GLS_dependency_vs_nonessential_proxy	thyroid_only	0.09090909090909091	0.7903727377532903	11	thyroid-only estimate; underpowered if n is small
GLS_dependency_vs_proliferation_expression	pan_cancer	-0.025554489864707666	0.38868030904484757	1140	proliferation expression artifact check
GLS_dependency_vs_proliferation_expression	thyroid_only	-0.11818181818181818	0.7292847795197801	11	thyroid-only estimate; underpowered if n is small
GLS_dependency_by_pan_cancer_lineage_label	pan_cancer		3.112225820508697e-22	1140	Kruskal-Wallis tissue/lineage association; significant result means tissue context contributes
GLS_vs_common_essential_lineage_correlation_percentile	pan_cancer	-0.08813375267455982		300	GLS correlation is at 4.3 percentile by more-negative-than-control criterion
GLS_vs_nonessential_lineage_correlation_percentile	pan_cancer	-0.08813375267455982		300	GLS correlation is at 1.3 percentile by more-negative-than-control criterion
