ModelID	lineage_silenced_score	DM1_like_score	is_thyroid_model	cancer_type	OncotreePrimaryDisease	OncotreeSubtype	strict_thyroid_model	glutamine_expression_module	glutamine_dependency_module	oxphos_expression_module	oxphos_dependency_module	glycolysis_expression_module	glycolysis_dependency_module
ACH-000001	-2.5471071612979155	-1.1109036669717154	False	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	False	0.007108429898584055	-0.5735284326105575	0.11065182596427707	0.141034676302665	-0.08929776261087811	-0.5996471091363264
ACH-000002	0.8592915007680427	0.3747742119787461	False	Myeloid	Acute Myeloid Leukemia	AML with Myelodysplasia-Related Changes	False	-0.5550639202276206		-0.16976511399426958		-0.49210540542339687	
ACH-000003	-2.904308823978272	-1.2666947710718657	False	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	False	0.6936860387381276		0.45693114978488936		-0.10268828374349684	
ACH-000004	0.1678599627032959	0.073210994393265	False	Myeloid	Acute Myeloid Leukemia	AML, NOS	False	0.4903632702672508	0.18531403316996256	0.5983927569665333	-0.32511983329404404	-0.28119568819493806	-0.28283440081770306
ACH-000005	0.4436171950943043	0.1934806576849511	False	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	False	0.3486892423818611	-0.3484200085220979	0.7129244720095269	-0.9292677477990215	0.3631540459920579	-0.13883384000768956
ACH-000006	0.2557244298833793	0.1115324911367049	False	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	False	0.4562138975114803		0.33214469192822055		0.05985505846541631	
ACH-000007	0.05704822999113	0.0248812020374903	False	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	False	-0.1589469310119805	0.4680387662239575	0.47536090448128787	0.4959388875469197	-0.354666775778781	-0.14754811953972224
ACH-000008	0.7144158089362924	0.311587652827876	False	Skin	Melanoma	Melanoma	False	-0.05257099438126579		0.5186038855230127		0.48546951619331313	
ACH-000009	-0.6561535553557105	-0.286176962562405	False	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	False	1.1229723128456712	-0.027655765469921992	1.0460015097590885	-0.20488927519464922	0.4368315173753523	0.2709740366805327
ACH-000011	0.3467317333404535	0.1512247147964877	False	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	False	-0.43004492637459113	0.34231653256785494	-0.10861164474573923	-0.6606494241745449	-0.1309522139557528	-0.10970071285541835
