gene	pseudobulk_count	log1p_cpm	n_feature_rows	external_dataset	sample	gsm	label	patient	compartment	tissue_site
AICDA	5.0	0.16917077318674584	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
B2M	570622.0	9.954022865878065	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
C1QA	6885.0	5.540525651279074	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
C1QB	5038.0	5.229627425188425	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CCL19	248.0	2.316723636984865	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CCL21	990.0	3.624229718469531	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CCR7	928.0	3.5613367299387266	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD19	97.0	1.5207933523285457	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD1C	3252.0	4.794825376281221	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD22	109.0	1.6130768261716897	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD27	5884.0	5.384084738063198	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD38	527.0	3.01688585191353	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD3D	17876.0	6.4922236908755515	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD3E	9775.0	5.8898476751936935	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD3G	4989.0	5.219906334571761	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD4	2711.0	4.614522220925154	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD68	3346.0	4.8230883603703285	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD74	258507.0	9.162276036994237	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD79A	1342.0	3.9214211975052846	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD79B	1517.0	4.041706639906019	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD8A	2680.0	4.603136033285072	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CD8B	2670.0	4.599435239916806	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
