external_dataset	sample	gsm	label	patient	compartment	tissue_site	HLA_I_score	HLA_I_raw_log1p_cpm_mean	HLA_I_n_genes	HLA_II_AP_score	HLA_II_AP_raw_log1p_cpm_mean	HLA_II_AP_n_genes	B_TLS_score	B_TLS_raw_log1p_cpm_mean	B_TLS_n_genes	T_IFNG_score	T_IFNG_raw_log1p_cpm_mean	T_IFNG_n_genes	Myeloid_DC_score	Myeloid_DC_raw_log1p_cpm_mean	Myeloid_DC_n_genes	Thyrocyte_score	Thyrocyte_raw_log1p_cpm_mean	Thyrocyte_n_genes	CD74_MIF_axis_score	CD74_MIF_axis_raw_log1p_cpm_mean	CD74_MIF_axis_n_genes	AP_TLS_composite_score	AP_TLS_composite_raw_log1p_cpm_mean	AP_TLS_composite_n_genes
GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor	0.848415796221414	5.742023291763317	14	1.3138384732419601	6.089667660884758	18	0.2950309185742786	3.818669785229093	20	0.9975849992595028	4.727835346444597	14	1.7627928918758122	4.738805572535975	11	-0.8089889091437532	1.3494096630413113	9	0.28216519134158435	7.077174625245879	2	0.8044346959081193	4.954168723056926	38
GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor	0.6320944319634426	5.601079215638178	14	0.9288604206491209	5.7277289629908035	18	0.7615492172173577	4.669485441795135	20	0.09304010399940611	3.651571921079751	14	-0.21143091302407366	2.4419592136113093	11	-0.8956592007131808	1.0504918845326554	9	0.5228851893081103	7.182443523332267	2	0.8452048189332393	5.198607202392969	38
GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor	0.5787491729339924	5.571640177378491	14	0.45521833878326157	5.281010415434389	18	0.7647974759804049	4.776175647448094	20	0.2310837800507925	3.7716288672822196	14	-0.702051580434324	1.8293082061958013	11	-1.1388903705782267	0.5492325543179037	9	0.3908663366067734	6.976397398867707	2	0.6100079073818332	5.0285930314412415	38
GSE184362	GSM5585105_PTC2_P	GSM5585105	PTC2_P	PTC2	Paratumor	Paratumor	0.7353306806960325	5.671249709183854	14	0.12074342281354143	4.926834433197316	18	0.497661223619013	4.33828572118739	20	0.5511272048108992	4.150662489219522	14	-0.15217470795431237	2.6739224581795615	11	-1.0656039723830544	0.632843161524906	9	-0.01776764940566611	6.627647523705602	2	0.3092023232162772	4.632560077192353	38
GSE184362	GSM5585106_PTC2_LeftLN	GSM5585106	PTC2_LeftLN	PTC2	Metastasis	LymphNode	0.012930834537177546	5.2974957505975	14	0.20947696424876888	5.031972185290799	18	0.3154381115257033	3.8874965437449944	20	-0.02082442610640789	3.4075521130932076	14	-1.079940203452919	1.3193435142605836	11	-1.1771015372285598	0.48891634306122544	9	-0.31730480719499377	6.49343295609135	2	0.2624575378872361	4.459734364517897	38
GSE184362	GSM5585107_PTC3_T	GSM5585107	PTC3_T	PTC3	Tumor	Tumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585108_PTC3_P	GSM5585108	PTC3_P	PTC3	Paratumor	Paratumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585109_PTC3_LeftLN	GSM5585109	PTC3_LeftLN	PTC3	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585110_PTC3_RightLN	GSM5585110	PTC3_RightLN	PTC3	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585111_PTC4_SC	GSM5585111	PTC4_SC	PTC4	Metastasis	Subcutaneous			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585112_PTC5_T	GSM5585112	PTC5_T	PTC5	Tumor	Tumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585113_PTC5_P	GSM5585113	PTC5_P	PTC5	Paratumor	Paratumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585114_PTC5_RightLN	GSM5585114	PTC5_RightLN	PTC5	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585115_PTC6_RightLN	GSM5585115	PTC6_RightLN	PTC6	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585116_PTC7_RightLN	GSM5585116	PTC7_RightLN	PTC7	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585117_PTC8_T	GSM5585117	PTC8_T	PTC8	Tumor	Tumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585118_PTC8_P	GSM5585118	PTC8_P	PTC8	Paratumor	Paratumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585119_PTC9_T	GSM5585119	PTC9_T	PTC9	Tumor	Tumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585120_PTC9_P	GSM5585120	PTC9_P	PTC9	Paratumor	Paratumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585121_PTC10_T	GSM5585121	PTC10_T	PTC10	Tumor	Tumor			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585122_PTC10_RightLN	GSM5585122	PTC10_RightLN	PTC10	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585123_PTC11_RightLN	GSM5585123	PTC11_RightLN	PTC11	Metastasis	LymphNode			14	0.0		18			20			14			11			9			2	0.0		38
GSE184362	GSM5585124_PTC11_SC	GSM5585124	PTC11_SC	PTC11	Metastasis	Subcutaneous			14	0.0		18			20			14			11			9			2	0.0		38
GSE191288	GSM5743021_T1L	GSM5743021	T1L	T1	Tumor	Tumor	0.10866997784994077	5.303508028324151	14	-0.32203627024247117	4.339797142127435	18	-0.3800417512869892	2.645156189959823	20	-0.15026452668797444	3.239130402734971	14	-0.08462550660511589	2.746944698379639	11	0.18541788430780348	3.654091116112656	9	-0.8919817879143258	5.896757829008735	2	-0.3510390107647302	3.492476666043629	38
GSE191288	GSM5743022_T1R	GSM5743022	T1R	T1	Tumor	Tumor	0.20047091305383535	5.378193538769196	14	0.2594169173678356	4.959860168277348	18	0.271351314703828	3.936773867852067	20	0.32812448699061997	3.820090471275861	14	0.6405488280674436	3.582785142676582	11	0.49002862135175296	4.165808235843479	9	-0.5627281216409832	6.213926791841878	2	0.2653841160358318	4.448317018064708	38
GSE191288	GSM5743023_T2L	GSM5743023	T2L	T2	Tumor	Tumor	0.38809335931340244	5.489213123270153	14	-0.06442079765452631	4.662580361971397	18	-0.1943968024398349	2.91913384010821	20	0.6406857259823389	4.271466848038166	14	0.5501472717534415	3.4701286052170732	11	0.6740498493387725	4.675744613451514	9	0.22842049560688976	6.678088317960685	2	-0.1294088000471806	3.7908571010398036	38
GSE191288	GSM5743024_T2R	GSM5743024	T2R	T2	Tumor	Tumor	0.2545187091384976	5.392680075828061	14	0.5276716778730796	5.281970400906111	18	1.061151540151915	4.993834943111049	20	0.554639592559594	4.178899790894255	14	0.7781483388240303	3.698343571247568	11	0.2969677520915795	3.7263154603254915	9	0.4261034292635958	6.911667044145371	2	0.7944116090124973	5.137902672008581	38
