external_dataset	contrast	module	n_pairs	mean_delta	median_delta	wilcoxon_p	patients	boundary	BH_FDR_wilcoxon_all_tests
GSE184362	paired_Tumor_minus_Paratumor	HLA_I	6				PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	paired_Tumor_minus_Paratumor	HLA_II_AP	6	0.1199088280937599	0.0	0.5	PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	paired_Tumor_minus_Paratumor	B_TLS	6				PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	paired_Tumor_minus_Paratumor	T_IFNG	6				PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	paired_Tumor_minus_Paratumor	Myeloid_DC	6				PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	paired_Tumor_minus_Paratumor	CD74_MIF_axis	6				PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	paired_Tumor_minus_Paratumor	AP_TLS_composite	6	0.043339243523406006	0.0	1.0	PTC1,PTC2,PTC3,PTC5,PTC8,PTC9	paired scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
