bundle	n	n_pos	n_neg	AUPRC	AUROC	top10_precision	dominant_expert	dominant_share
cedar_partial	909	851	58	0.9969470172777875	0.9580412496454476	1.0	v3_blend_soft_score	1.0
dbpepneo2_mhci	467	467	0			1.0	v3_blend_soft_score	1.0
itsndb	319	136	183	0.7849399421445155	0.8537849566055931	1.0	v3_blend_soft_score	1.0
mcpas	82	82	0			1.0	v3_blend_soft_score	1.0
neodb	552	552	0			1.0	v3_blend_soft_score	1.0
nepdb	560	140	420	0.9583498230772591	0.9849829931972789	1.0	v3_blend_soft_score	1.0
tesla_mmc4	605	37	568	0.8622510539201402	0.9880091358964598	1.0	v3_blend_soft_score	1.0
tesla_mmc7	310	4	306	1.0	1.0	0.4	v3_blend_soft_score	1.0
