generation	pulls_jitter	pulls_swap	pulls_boost	pulls_drop	pulls_temperature	pulls_feature_focus	reward_jitter	reward_swap	reward_boost	reward_drop	reward_temperature	reward_feature_focus
0	13	10	14	20	3	12	0.007581618325078088	0.010412691430867649	0.014331996306588768	0.050950570528872086	0.0	0.0021495877031119104
1	25	21	28	30	14	26	0.016772701804774637	0.030807470287617544	0.015991286862672482	0.0525503626318069	0.0037113295585736727	0.0032141865698449568
2	37	38	38	45	19	39	0.021210024694980012	0.03835082693028824	0.016971891649193216	0.05986010445706724	0.0037688234019374045	0.006353247066220091
3	47	49	51	54	40	47	0.02684296979205647	0.04019842212282221	0.017080510963244255	0.05986010445706724	0.005316669512732797	0.006353247066220091
4	60	61	59	62	59	59	0.027522127838825683	0.04019842212282221	0.018074353059624015	0.06019657070743367	0.008768818791546562	0.013979067588686167
5	72	73	71	74	70	72	0.02961324176383806	0.04019842212282221	0.021462901194672535	0.06452331819941681	0.01240677605730256	0.01792691739851182
6	84	86	83	87	82	82	0.03147868360145256	0.042131340571851306	0.023720759355148058	0.06463901024644803	0.013957626810090051	0.017952008521285867
7	96	97	95	99	95	94	0.03278176802173427	0.04243654833642008	0.025680176158329293	0.0657809748002598	0.014265868721427766	0.01851897050495155
8	108	109	107	112	106	106	0.033058495357662476	0.04258872747042086	0.02596257953614156	0.06600854928766764	0.01472918619116892	0.01851897050495155
9	120	120	119	125	118	118	0.033222424697850084	0.04258872747042086	0.026473114345480164	0.06610349150310224	0.014941842445905129	0.018780478132674916
10	132	133	131	136	130	130	0.03329113211110213	0.04258872747042086	0.026644046947098876	0.06613380164143978	0.014997690917487705	0.018838083730357336
11	145	145	143	147	142	142	0.03332818429557449	0.04258938844334903	0.026649421164123055	0.06614596300814257	0.015053882764779258	0.018883813885445355
12	156	157	155	160	154	154	0.03335166859475902	0.04258938844334903	0.026682148328318833	0.06614977279231804	0.015073883861184911	0.018914804271149777
