source	ancestry	tag	phenocode	description	n_cases	n_controls	build	url	tabix_url
FinnGen_R12	FIN(EUR)	AI-HYPER	AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism (umbrella)	2469	370637	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_HYPERTHYROIDISM.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_HYPERTHYROIDISM.gz.tbi
FinnGen_R12	FIN(EUR)	GD-OPHT	E4_GRAVES_OPHT_STRICT	Graves ophthalmopathy, strict	753	499595	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_GRAVES_OPHT_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_GRAVES_OPHT_STRICT.gz.tbi
FinnGen_R12	FIN(EUR)	GD	E4_GRAVES_STRICT	Graves disease, strict definition	3962	496386	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_GRAVES_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_GRAVES_STRICT.gz.tbi
FinnGen_R12	FIN(EUR)	HT-AI-DX	E4_HYTHY_AI_DX	Autoimmune hypothyroidism, diagnosed	133	499660	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_HYTHY_AI_DX.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_HYTHY_AI_DX.gz.tbi
FinnGen_R12	FIN(EUR)	HT-AI	E4_HYTHY_AI_STRICT	Autoimmune hypothyroidism, strict (HT proxy)	54752	362639	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_HYTHY_AI_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_HYTHY_AI_STRICT.gz.tbi
FinnGen_R12	FIN(EUR)	THYR-ANY	E4_THYROID	Any thyroid disorder (umbrella)	76140	424208	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_THYROID.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_THYROID.gz.tbi
FinnGen_R12	FIN(EUR)	AITD-ICD	E4_THYROIDITAUTOIM	Autoimmune thyroiditis (Hashimoto-equivalent ICD)	688	424208	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_THYROIDITAUTOIM.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_THYROIDITAUTOIM.gz.tbi
FinnGen_R12	FIN(EUR)	THYR-CHRON	E4_THYROIDITCHRON	Chronic thyroiditis	141	424208	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_THYROIDITCHRON.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_E4_THYROIDITCHRON.gz.tbi
FinnGen_R12	FIN(EUR)	GD-OPHT-BROAD	GRAVES_OPHT	Graves ophthalmopathy (broad)	858	499490	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_GRAVES_OPHT.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_GRAVES_OPHT.gz.tbi
FinnGen_R12	FIN(EUR)	HT-REIMB	HYPOTHY_REIMB	Hypothyroidism, drug reimbursement	16150	111954	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_HYPOTHY_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_HYPOTHY_REIMB.gz.tbi
