phenocode	tag	ancestry	n_cases	n_controls	top_neglog10p_MHC	eur_top_neglog10p	ratio_to_EUR
phecode:244	HYPOTHY-EUR	EUR	18404	399034	119.400	119.400	1.000
phecode:244	HYPOTHY-EUR	EAS	71	2598	3.646	119.400	0.031
phecode:244	HYPOTHY-EUR	CSA	512	8290	3.618	119.400	0.030
phecode:244	HYPOTHY-EUR	AFR	144	6389	5.535	119.400	0.046
phecode:244.4	HYPOTHY-NOS-EUR	EUR	17562	399034	121.600	121.600	1.000
phecode:244.4	HYPOTHY-NOS-EUR	EAS	62	2598	3.561	121.600	0.029
phecode:244.4	HYPOTHY-NOS-EUR	CSA	494	8290	3.813	121.600	0.031
phecode:244.4	HYPOTHY-NOS-EUR	AFR	126	6389	5.542	121.600	0.046
icd10:E03	ICD10-E03-OTHER-HYPOTHY	EUR	17592	402939	120.200	120.200	1.000
icd10:E03	ICD10-E03-OTHER-HYPOTHY	EAS	62	2647	3.494	120.200	0.029
icd10:E03	ICD10-E03-OTHER-HYPOTHY	CSA	495	8381	3.817	120.200	0.032
icd10:E03	ICD10-E03-OTHER-HYPOTHY	AFR	127	6509	5.334	120.200	0.044
icd10:E05	ICD10-E05-THYROTOX	EUR	2250	418281	34.540	34.540	1.000
icd10:E05	ICD10-E05-THYROTOX	CSA	57	8819	5.338	34.540	0.155
icd10:E05	ICD10-E05-THYROTOX	AFR	76	6560	4.561	34.540	0.132
categorical:20002:1226	SELF-HYPER	EUR	20563	399910	165.400	165.400	1.000
categorical:20002:1226	SELF-HYPER	CSA	543	8306	6.982	165.400	0.042
categorical:20002:1226	SELF-HYPER	AFR	135	6489	4.496	165.400	0.027
categorical:20002:1225	SELF-HYPOTHY-MYXOEDEMA	EUR	3197	417276	107.500	107.500	1.000
categorical:20002:1225	SELF-HYPOTHY-MYXOEDEMA	CSA	63	8786	4.098	107.500	0.038
categorical:20002:1225	SELF-HYPOTHY-MYXOEDEMA	AFR	71	6553	4.024	107.500	0.037
prescriptions:levothyroxine	RX-LEVO	EUR	13915	406616	80.260	80.260	1.000
prescriptions:levothyroxine	RX-LEVO	CSA	454	8422	4.298	80.260	0.054
prescriptions:levothyroxine	RX-LEVO	AFR	86	6550	3.725	80.260	0.046
