tag	phenocode	ancestry	n_cases	h2_liability	h2_liability_se
GD-EUR-EUR	phecode:242.1	EUR	554	1.4769e-01	1.8126e-01
HYPOTHY-EUR-EUR	phecode:244	EUR	18404	1.8520e-01	2.4725e-02
HYPOTHY-EUR-EAS	phecode:244	EAS	71	2.7300e+00	9.7198e-01
HYPOTHY-EUR-CSA	phecode:244	CSA	512	6.3433e-01	1.7897e-01
HYPOTHY-EUR-AFR	phecode:244	AFR	144	2.1088e+00	6.6923e-01
HYPOTHY-NOS-EUR-EUR	phecode:244.4	EUR	17562	1.9326e-01	2.5967e-02
HYPOTHY-NOS-EUR-EAS	phecode:244.4	EAS	62	2.8400e+00	1.1328e+00
HYPOTHY-NOS-EUR-CSA	phecode:244.4	CSA	494	7.0866e-01	2.0502e-01
HYPOTHY-NOS-EUR-AFR	phecode:244.4	AFR	126	1.4152e+00	6.8765e-01
CHRONIC-LYMPHOCYTIC-THY-EUR-EUR	phecode:245.21	EUR	249	4.1967e-01	3.1475e-01
CHRONIC-THY-EUR-EUR	phecode:245.2	EUR	265	4.7277e-01	2.8615e-01
ICD10-E03-OTHER-HYPOTHY-EUR	icd10:E03	EUR	17592	1.9174e-01	2.5598e-02
ICD10-E03-OTHER-HYPOTHY-EAS	icd10:E03	EAS	62	2.0229e+00	9.8704e-01
ICD10-E03-OTHER-HYPOTHY-CSA	icd10:E03	CSA	495	7.0619e-01	2.0171e-01
ICD10-E03-OTHER-HYPOTHY-AFR	icd10:E03	AFR	127	1.2306e+00	5.8304e-01
ICD10-E05-THYROTOX-EUR	icd10:E05	EUR	2250	1.6696e-01	6.9943e-02
ICD10-E05-THYROTOX-CSA	icd10:E05	CSA	57	3.2492e+00	9.1963e-01
ICD10-E05-THYROTOX-AFR	icd10:E05	AFR	76	4.7330e+00	1.0721e+00
ICD10-E06-THYROIDITIS-EUR	icd10:E06	EUR	344	3.8588e-01	2.2944e-01
SELF-HYPER-EUR	categorical:20002:1226	EUR	20563	2.3285e-01	2.9899e-02
SELF-HYPER-CSA	categorical:20002:1226	CSA	543	7.3762e-01	1.6646e-01
SELF-HYPER-AFR	categorical:20002:1226	AFR	135	2.9111e+00	7.1938e-01
SELF-HYPOTHY-MYXOEDEMA-EUR	categorical:20002:1225	EUR	3197	2.9197e-01	1.0133e-01
SELF-HYPOTHY-MYXOEDEMA-CSA	categorical:20002:1225	CSA	63	2.2093e+00	8.5786e-01
SELF-HYPOTHY-MYXOEDEMA-AFR	categorical:20002:1225	AFR	71	4.6484e+00	1.0036e+00
RX-LEVO-EUR	prescriptions:levothyroxine	EUR	13915	1.6338e-01	2.4683e-02
RX-LEVO-CSA	prescriptions:levothyroxine	CSA	454	6.1390e-01	1.8521e-01
RX-LEVO-AFR	prescriptions:levothyroxine	AFR	86	9.4488e-01	8.3761e-01
RX-CARBIM-EUR	prescriptions:carbimazole	EUR	966	3.1488e-01	1.5079e-01
