query_label	query	epmc_id	source	year	title	authors	abstract_snippet	doi
P3_V600E_TROP2	(V600E AND TROP2) AND SRC:PPR	PPR1053101	PPR	2025	A clinically relevant morpho-molecular classification of lung neuroendocrine tumours	Sexton-Oates A, Mathian É, Candeli N, Lim Y, Voegele C, Di Genova A, Mangé L, Li Z, van Weert T, Hillen LM, Blázquez-Enc	Lung neuroendocrine tumours (NETs, also known as carcinoids) are rapidly rising in incidence worldwide but have unknown aetiology and limited therapeutic options beyond surgery. We conducted multi-omic analyses on over 300 lung NETs including whole-genome sequencing (WGS), transcriptome profiling, methylation arrays, spatial RNA sequencing, and spatial proteomics. The integration of multi-omic dat	10.1101/2025.07.18.25331556
P7_BRAF_topotecan_thyroid	(BRAF AND topotecan AND thyroid) AND SRC:PPR	PPR940980	PPR	2024	Connectivity Map and perturbation-based sensitivity analysis identifies MEK inhibitors as senolytics in human lung fibroblasts	Nayeri Rad A, Sperger S, Marsh LM, Hoetzenecker K, Lämmermann I, Grillari J.	Recently, the elimination of the disease-associated accumulation of senescent cells using senolytics has been shown to exert health benefits in animal studies. However, due to the heterogeneity of cell senescence and its unrecognized master regulators, drug development faces a complexity that must be handled. Bioinformatic elucidation of genes and pathways involved in senolysis and prediction of s	10.1101/2024.11.16.623933
P8_PRISM_BRAF_thyroid	(PRISM AND BRAF AND thyroid) AND SRC:PPR	PPR1088126	PPR	2025	Repurposing passenger amplifications as Trojan horses identifies MPZL1 as a potent target for solid cancers	Jiménez-Vázquez S, Patsis C, Mitstorfer M, Grimm M, Butthof L, Wendler-Link L, Böse L, Wiethoff H, Hofmann I, Breuhahn K	Personalized cancer therapies focus mostly on targeting driver alterations, such as oncogenic point mutations or oncogenic driver events within large somatic copy number alterations. However, these alterations are often not actionable or only present in a small subset of patients. We hypothesized that passenger events, specifically in amplified regions, could be therapeutically exploited by provid	10.1101/2025.09.17.675062
P8_PRISM_BRAF_thyroid	(PRISM AND BRAF AND thyroid) AND SRC:PPR	PPR967561	PPR	2025	Lung tumoroids as a testing platform for precision CAR T-cell therapy	Schmueck-Henneresse M, Ehlen L, Farrera-Sal M, Szyska M, Arndt J, Schallenberg S, Scholz C, Yang M, Vollbrecht C, Löwa A	<title>Abstract</title>  <p>Lung cancer, the leading cause of cancer-related mortality, presents major challenges for both standard-of-care therapies and innovative treatments like CAR T cells due to tumor heterogeneity and resistance. To aid in personalized treatment decisions, preclinical models that incorporate these patient-specific factors are essential. In this study, we developed a platform	10.21203/rs.3.rs-5418471/v1
P8_PRISM_BRAF_thyroid	(PRISM AND BRAF AND thyroid) AND SRC:PPR	PPR383419	PPR	2021	Leveraging sequences missing from the human genome to diagnose cancer	Georgakopoulos-Soares I, Barnea OY, Mouratidis I, Chan CS, Bradley R, Mahajan M, Sims J, Cintron DL, Easterlin R, Kim JS	Cancer diagnosis using cell-free DNA (cfDNA) has potential to improve treatment and survival but has several technical limitations. Here, we show that tumor-associated mutations create neomers, DNA sequences 13-17 nucleotides in length that are predominantly absent from genomes of healthy individuals, that can accurately detect cancer, including early stages, and distinguish subtypes and features.	10.1101/2021.08.15.21261805
