gene	alias_used	n_probes	best_probe	probes_all
DIO1	DIO1	1	206457_s_at	206457_s_at
DIO2	DIO2	5	203699_s_at	203699_s_at,203700_s_at,210819_x_at,211215_x_at,231240_at
DNMT1	DNMT1	1	201697_s_at	201697_s_at
DNMT3B	DNMT3B	1	220668_s_at	220668_s_at
DUOX1	DUOX1	3	219597_s_at	1565795_at,215800_at,219597_s_at
DUOX2	DUOX2	1	219727_at	219727_at
FOSL1	FOSL1	1	204420_at	204420_at
FOXE1	FOXE1	2	206912_at	206912_at,208239_at
GLIS3	GLIS3	2	230258_at	229435_at,230258_at
HHEX	HHEX	2	215933_s_at	204689_at,215933_s_at
IYD	IYD	1	231070_at	231070_at
JUNB	JUNB	1	201473_at	201473_at
NKX2-1	NKX2-1,TITF1	2	211024_s_at	210673_x_at,211024_s_at
PAX8	PAX8	8	121_at	121_at,207921_x_at,207923_x_at,207924_x_at,209552_at,213917_at,214528_s_at,221990_at
SLC26A4	SLC26A4	1	206529_x_at	206529_x_at
SLC5A5	SLC5A5	1	211123_at	211123_at
STAT3	STAT3	4	208991_at	208991_at,208992_s_at,225289_at,243213_at
TACSTD2	TACSTD2	4	202286_s_at	202285_s_at,202286_s_at,202287_s_at,227128_s_at
TFF3	TFF3	1	204623_at	204623_at
TG	TG	1	203673_at	203673_at
TPO	TPO	1	210342_s_at	210342_s_at
TSHR	TSHR	3	215442_s_at	210055_at,215442_s_at,215443_at
