method	testset	fold	in_master	AUROC	AUROC_lo95	AUROC_hi95	AUPRC	Brier	ECE	n	n_pos
groupdro	in_domain_5fold	0	NA	0.8489517819706498	0.8070832671731483	0.8896563899656587	0.7948820833736447	0.14464029631238656	0.05927458828802433	409	144.0
groupdro	in_domain_5fold	1	NA	0.8197255574614066	0.7764014328127543	0.8651606909229751	0.704478005377594	0.16201761667174389	0.05919980358642835	408	143.0
groupdro	in_domain_5fold	2	NA	0.7848001055548225	0.7379206149894079	0.8299650753342028	0.6942699937988119	0.17461456282810048	0.06748131385264808	408	143.0
groupdro	in_domain_5fold	3	NA	0.7747064256498218	0.7232505709532078	0.8218802019345416	0.6905412862788292	0.17841330280759612	0.09903779989519322	408	143.0
groupdro	in_domain_5fold	4	NA	0.8591502836785856	0.8215993016783603	0.8954519469835606	0.8075743721465302	0.1402995285206096	0.06490639919944692	408	143.0
groupdro	loso_CEDAR	NA	NA	0.6124423663874278	0.5396838721539947	0.6850849454276071	0.9346283955571293	0.46284241090001976	0.5921929219930556	589	531.0
groupdro	loso_NEPdb	NA	NA	0.5957202431439073	0.5391841003443848	0.6486831983339925	0.32267889489717816	0.2600118887045843	0.1823028912698396	537	144.0
groupdro	loso_TESLA_mmc4	NA	NA	0.6757232584697374	0.5866321341973137	0.761273398139618	0.10472761221695509	0.35034728951669425	0.4796696220455337	605	37.0
groupdro	loso_TESLA_mmc7_validation	NA	NA	0.4665032679738562	0.22697852309502795	0.6140015793110256	0.01448087431693989	0.3163554125518214	0.4460295809342736	310	4.0
groupdro	ITSNdb_main	NA	mixed	0.5348671726755218	0.45226743626743626	0.6145746063203428	0.6920814553019079	0.2856178614318059	0.21544776566831084	192	124.0
groupdro	ITSNdb_Val	NA	mixed	0.7492625368731564	0.45217391304347826	0.9911658330126972	0.4718442932728647	0.06547024546057309	0.1399515601297637	119	6.0
groupdro	ITSNdb_combined	NA	mixed	0.7585635359116023	0.7036316543517769	0.8107887661067041	0.6593769132395308	0.2013813138415271	0.08929359203749532	311	130.0
groupdro	ITSNdb_no_overlap	NA	False	0.3758802816901408	0.2612042079784015	0.4929597651428637	0.2613378119574971	0.319606062493999	0.2863120984069063	103	32.0
groupdro	ITSNdb_in_master	NA	True	0.9186456400742115	0.8797012981460033	0.9522249773369594	0.9079689899669675	0.14283732772996646	0.1384439634141297	208	98.0
groupdro	venus_ext_venus_test_top10	NA	NA	0.802	0.693	0.893				78	
groupdro	venus_ext_venus_valid_top10	NA	NA	0.736	0.619	0.843				78	
miro	in_domain_5fold	0	NA	0.8357704402515723	0.7945566325547216	0.8775972239593077	0.7802822419489063	0.16661017105106735	0.11838246348216072	409	144.0
miro	in_domain_5fold	1	NA	0.8172714078374456	0.7754915196330857	0.8635446862070405	0.7142344256270677	0.1744857394130737	0.12510933199276525	408	143.0
miro	in_domain_5fold	2	NA	0.7722126929674099	0.7210201174861188	0.8190296923040122	0.6895056801300333	0.18333809486249542	0.09162619065347255	408	143.0
miro	in_domain_5fold	3	NA	0.7842855257949597	0.7349633517722478	0.8297449942130647	0.6999537633106033	0.1803929831782782	0.10613638397269681	408	143.0
miro	in_domain_5fold	4	NA	0.8526850507982583	0.81435205360061	0.89015965092309	0.800874968742692	0.16510203706211768	0.14207584591691985	408	143.0
miro	loso_CEDAR	NA	NA	0.5824079485680889	0.5009326060173174	0.6593669976741052	0.9266286639688108	0.38792034230758426	0.5373712161679219	589	531.0
miro	loso_NEPdb	NA	NA	0.5993780039581567	0.5493240502856404	0.650430946177076	0.32804531213991656	0.23526854657875018	0.16011624296284255	537	144.0
miro	loso_TESLA_mmc4	NA	NA	0.6806242862580891	0.5930785760698041	0.7672303311019393	0.10681694144590193	0.2965789577934508	0.46398435714077363	605	37.0
miro	loso_TESLA_mmc7_validation	NA	NA	0.4844771241830065	0.19013313936940637	0.6379690854290087	0.01528045658026209	0.2554942540219656	0.44948637004821534	310	4.0
miro	ITSNdb_main	NA	mixed	0.5379506641366224	0.4534536477001195	0.6188234000452284	0.6984173406771869	0.25504850347178726	0.13981750258244577	192	124.0
miro	ITSNdb_Val	NA	mixed	0.8466076696165192	0.613255323868678	1.0	0.6273470839260312	0.0965856956460295	0.2572552581169024	119	6.0
miro	ITSNdb_combined	NA	mixed	0.7765830854228644	0.7230777798330029	0.8273301367987084	0.67586612886178	0.19441482459312112	0.08428996535455296	311	130.0
miro	ITSNdb_no_overlap	NA	False	0.36355633802816906	0.25539617978958085	0.48036883494886384	0.2614879161367341	0.27874254477112675	0.2521491803011848	103	32.0
miro	ITSNdb_in_master	NA	True	0.9423933209647495	0.9101423308502523	0.9694963749915727	0.9353863848930888	0.15265638623574332	0.20666661117082608	208	98.0
miro	venus_ext_venus_test_top10	NA	NA	0.773	0.654	0.866				78	
miro	venus_ext_venus_valid_top10	NA	NA	0.736	0.616	0.844				78	
mole	in_domain_5fold	0	NA	0.8402777777777777	0.7997597132241119	0.8811420306134274	0.7819085841407364	0.16690927622871204	0.12491142345378335	409	144.0
mole	in_domain_5fold	1	NA	0.8052117693627129	0.7600282707077419	0.8526129901704029	0.6965222187790475	0.17862273586272726	0.12374337618330529	408	143.0
mole	in_domain_5fold	2	NA	0.7792320886660509	0.7329849841897107	0.8256559170504234	0.6931828531268938	0.1815661133987886	0.08579971416689017	408	143.0
mole	in_domain_5fold	3	NA	0.7761050270484233	0.7233689450040335	0.820966087103284	0.703881712642611	0.18310480916021768	0.1088345834401016	408	143.0
mole	in_domain_5fold	4	NA	0.8491225755376699	0.8080151734380024	0.887199698972516	0.79624484100333	0.16706660907321444	0.14990336148470057	408	143.0
mole	loso_CEDAR	NA	NA	0.5763685953633355	0.4995358448378905	0.6521379374189819	0.9277679386233233	0.4083776788853245	0.5515837315501604	589	531.0
mole	loso_NEPdb	NA	NA	0.5964623975120158	0.5468235365536136	0.6466146607287165	0.31766235963512524	0.2344995318060184	0.1606001492235914	537	144.0
mole	loso_TESLA_mmc4	NA	NA	0.6629234868671489	0.5750320795444108	0.7489278693019468	0.10040722099691606	0.29562520669048903	0.46322137378464057	605	37.0
mole	loso_TESLA_mmc7_validation	NA	NA	0.4656862745098039	0.1898877821207918	0.6141365107384524	0.014635824437036992	0.26802885628758466	0.46264307633523016	310	4.0
mole	ITSNdb_main	NA	mixed	0.5448292220113852	0.4648764805796056	0.6252001414977676	0.6971433033096965	0.25688857550333694	0.15686904677810765	192	124.0
mole	ITSNdb_Val	NA	mixed	0.8023598820058998	0.4908984028393967	1.0	0.5912405422086086	0.09806868550132593	0.24548626296660475	119	6.0
mole	ITSNdb_combined	NA	mixed	0.7745431364215895	0.7213227796297615	0.826075413024556	0.6706164006014391	0.19611826389485043	0.08265996789050638	311	130.0
mole	ITSNdb_no_overlap	NA	False	0.40272887323943657	0.2856833007175473	0.5236368631368631	0.26567269101375707	0.2697474522116843	0.20075310708828342	103	32.0
mole	ITSNdb_in_master	NA	True	0.9330241187384045	0.9014326467498774	0.9609313064848581	0.9233335806654498	0.15965765621872594	0.2106545504469138	208	98.0
mole	venus_ext_venus_test_top10	NA	NA	0.789	0.673	0.881				78	
mole	venus_ext_venus_valid_top10	NA	NA	0.755	0.642	0.854				78	
