gene	mean_DM1	mean_DM2	cohens_d	t	pval	fdr	abs_d	direction
ICAM1	0.6210346120829681	-1.688141032365636	4.632333037685606	13.535113283988844	5.668884380534732e-13	1.351300068194322e-09	4.632333037685606	up_in_DM1
LAMB3	0.6581303696973232	-1.54373432956003	4.294410339932794	15.225384136819429	5.309472939227238e-18	2.657815963918371e-13	4.294410339932794	up_in_DM1
PTPRE	0.32998158276235035	-1.7132147121842993	4.260398373347524	12.339369572431021	6.168439260671509e-12	9.960636532603045e-09	4.260398373347524	up_in_DM1
RUNX2	0.5870375818882969	-1.65035968236547	4.039325542587589	13.824804415183971	2.1522939537791216e-16	5.386976536913763e-12	4.039325542587589	up_in_DM1
PDLIM4	0.29892504505334067	-1.7548050117942666	3.9727273271519032	12.858998008350499	1.4783215335966333e-14	9.250227416097534e-11	3.9727273271519032	up_in_DM1
KCNQ3	0.22101172536113356	-1.435280346311257	3.877273584301526	13.407067788823284	4.528889209027712e-16	7.55690453418364e-12	3.877273584301526	up_in_DM1
PLEKHN1	0.4557898009871681	-1.4690229740814504	3.852313642726004	12.292757630169124	9.431960157189381e-14	4.6111622950833073e-10	3.852313642726004	up_in_DM1
COL8A2	0.5231118807951949	-1.6826680630721593	3.786989396418386	11.61345082865218	2.154629376074547e-12	4.148324511828449e-09	3.786989396418386	up_in_DM1
MTMR11	0.5586043289881588	-1.526243609024138	3.710121652383914	10.813476405767515	7.516883956194893e-11	6.069035114180709e-08	3.710121652383914	up_in_DM1
KCNN4	0.6450313078727514	-1.382183620486047	3.6280735733816583	13.784752373021863	1.0223220161028422e-15	1.2793848870519019e-11	3.6280735733816583	up_in_DM1
MVP	0.6737611025075447	-1.2245354364438465	3.6220390267189884	10.673225236434185	6.671395734177875e-11	5.5659454610246007e-08	3.6220390267189884	up_in_DM1
CXCL16	0.6201051267181982	-1.3946970120639113	3.520420473264179	10.777376282483026	1.3401831201082245e-11	1.636265527472622e-08	3.520420473264179	up_in_DM1
ICAM5	0.44420235477908754	-1.5283633539494954	3.497407927007596	10.526517794177536	4.230228745438059e-11	4.152093932139968e-08	3.497407927007596	up_in_DM1
TMC6	0.525574355269262	-1.5657157068694014	3.4692462692331207	9.904886316520452	8.365846576677351e-10	3.4609714705397917e-07	3.4692462692331207	up_in_DM1
PARP9	0.5417022407048245	-1.149738488021111	3.424189263807012	9.573417504726462	2.8588034384422875e-09	8.779508130156075e-07	3.424189263807012	up_in_DM1
NR2F1-AS1	0.5206451146184761	-1.422547441699378	3.4232719190003147	12.934593711684302	5.00162463639142e-15	4.172855434141362e-11	3.4232719190003147	up_in_DM1
PLAU	0.9121594034308528	-1.5096198963651415	3.422101344082349	13.126469126704842	7.542429148600515e-15	5.3936988331520654e-11	3.422101344082349	up_in_DM1
FN1	0.4171837725431917	-1.3191923537103136	3.4003874662815785	11.45411962938869	1.0132802997705937e-13	4.6111622950833073e-10	3.4003874662815785	up_in_DM1
PHF19	0.7596579391025705	-1.508509187517852	3.3994780710098036	10.213637802251691	8.702252821734795e-11	6.772215911585993e-08	3.3994780710098036	up_in_DM1
PDZK1IP1	0.6755704732611636	-1.4130661410797107	3.3980812479885385	11.345832256215532	1.6953001304333076e-13	6.061666709230751e-10	3.3980812479885385	up_in_DM1
TMC8	0.7137947003763843	-1.709333451434144	3.3934815972001617	10.591823368169175	1.0000916323540668e-11	1.3293462447070364e-08	3.3934815972001617	up_in_DM1
