drug	moa	n_drug_genes	n_intersection	spearman_r	spearman_p	connectivity_score	fdr_pass_intersection	intersection_genes	verdict
IFNG-proxy	IFN-γ signaling activator (IFN-γ / TLR3 / TLR9 agonist)	28	28			1.0	27	B2M;CIITA;CXCL10;CXCL11;CXCL9;HLA-A;HLA-B;HLA-C;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;ICAM1;IFIT1;IFIT3;IRF1;IRF7;ISG15;JAK3;PARP9;PSMB8;PSMB9;STAT1;STING1;TAP1;TAP2	reverser
TLR3-agonist	TLR3 agonist (poly-I:C-like)	11	11			1.0	10	B2M;CIITA;CXCL10;HLA-A;ICAM1;IFIT1;IFIT3;IRF7;ISG15;JAK3;STAT1	reverser
anti-PD1	PD-1 immune checkpoint blockade	10	10	-0.058025885318565944	0.8734948923712951	0.8132600513797186	10	B2M;CIITA;CXCL10;CXCL9;HLA-A;HLA-DRA;ICAM1;IFNG;MYC;STAT1	reverser
decitabine	DNMT inhibitor	27	19	-0.4134491152973615	0.07848411688495968	0.1888537058387358	18	AICDA;B2M;CIITA;CXCL10;CXCL9;DIO2;FN1;HLA-A;HLA-B;HLA-DPA1;HLA-DRA;HLA-DRB1;HMGA2;ICAM1;LCN2;MYC;STAT1;TACSTD2;TMPRSS4	reverser
azacitidine	DNMT inhibitor	22	14	-0.16641005886756877	0.5696366374617076	0.14765169032708583	14	B2M;CIITA;CXCL10;DIO2;FN1;HLA-A;HLA-DRA;HLA-DRB1;HMGA2;ICAM1;LCN2;MYC;STAT1;TMPRSS4	reverser
vorinostat	pan-HDAC inhibitor	30	22	-0.34533267784137256	0.1154691461079227	-0.050741983169717925	21	B2M;CCND1;CIITA;CXCL10;DIO2;FN1;HLA-A;HLA-B;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;HMGA2;ICAM1;LCN2;MYC;PLAU;S100A4;STAT1;TACSTD2;TIMP1;TMPRSS4	neutral
JQ1	BET bromodomain inhibitor (MYC-axis)	19	16	0.1960392117639214	0.46682484902655064	-0.14934658933479047	13	B2M;CCND1;CIITA;FN1;FOSL1;HLA-A;HLA-DRA;HMGA2;ICAM1;LCN2;MYC;PHLDA1;PLAU;S100A4;STAT1;TMPRSS4	opposing
dabrafenib	BRAF V600E inhibitor	37	29	0.06795295885835005	0.7261537007892495	-0.21170626266362685	23	B2M;CCND1;CIITA;CXCL10;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;HLA-B;HLA-DRA;HMGA2;ICAM1;IFNG;JAK3;LCN2;MYC;PHLDA1;S100A4;SPRY2;SPRY4;STAT1;TIMP1;TMPRSS4	opposing
vemurafenib	BRAF V600E inhibitor	40	32	-0.044793777267210726	0.8076703903690385	-0.21239870139284317	26	B2M;CCND1;CIITA;CXCL10;CXCL9;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;HLA-B;HLA-C;HLA-DRA;HLA-DRB1;HMGA2;ICAM1;IFNG;LCN2;MYC;PHLDA1;S100A4;SPRY2;SPRY4;STAT1;TACSTD2;TIMP1;TMPRSS4	opposing
romidepsin	class-I HDAC inhibitor	21	14	-0.17902871850985821	0.5402791516420627	-0.2510301316845242	13	B2M;CCND1;CIITA;DIO2;FN1;HLA-A;HLA-DRA;HMGA2;ICAM1;LCN2;MYC;PLAU;S100A4;TMPRSS4	opposing
