drug_h9	h9_cohens_d_DM1high_vs_low	h9_mapk_class	h17_connectivity_score	h17_verdict
encorafenib	-0.6022123523343953	BRAF/RAF	-0.30021145708321945	opposing
AZD-0364	-0.0887461319584389	MEK	-0.4044730063730908	opposing
