panel	model	n_DM1	n_DM2	d	p
HT13	raw	87	25	1.4219038265016506	1.5681200173468577e-09
HT13	leuko_resid	87	25	0.8786191291634	2.086877337203219e-05
HT13	nonmalig_resid	85	25	1.4749027146057914	8.959156414030717e-10
HT13	totimmune_resid	85	25	1.477832427705476	6.39980777395178e-09
FA12	raw	87	25	-0.9051557006821116	0.00027212276458561186
FA12	leuko_resid	87	25	-0.7940997664900338	0.0012763849369750353
FA12	nonmalig_resid	85	25	-0.5506650631321447	0.02803116856259848
FA12	totimmune_resid	85	25	-0.8857210391809824	0.00047408224732344977
MAPK_OUTPUT	raw	87	25	1.6584176686811776	3.6916360672734997e-09
MAPK_OUTPUT	leuko_resid	87	25	1.7973002323199323	1.107453205942529e-09
MAPK_OUTPUT	nonmalig_resid	85	25	1.1367638501101993	7.4891259846203324e-06
MAPK_OUTPUT	totimmune_resid	85	25	1.6730720905340573	4.5451944604632676e-09
TIS_AYERS	raw	87	25	1.3586726316161055	4.559171406927275e-09
TIS_AYERS	leuko_resid	87	25	0.7178947728293633	6.050706658230204e-05
TIS_AYERS	nonmalig_resid	85	25	1.4011217482113603	2.588887127389609e-09
TIS_AYERS	totimmune_resid	85	25	1.3994743570358714	6.132894605854281e-09
