proxy	panel	tertile	n_DM1	n_DM2	d	p
leuko_frac	HT13	T1_low_purity	38	0		
leuko_frac	HT13	T2_mid	30	6	1.013400765215293	0.03306307860387557
leuko_frac	HT13	T3_high_purity	19	19	0.9403868070028842	0.0004594114259800221
leuko_frac	FA12	T1_low_purity	38	0		
leuko_frac	FA12	T2_mid	30	6	-1.2898817248334118	0.005496480116973475
leuko_frac	FA12	T3_high_purity	19	19	-0.9077254453308566	0.01108705352151141
leuko_frac	MAPK_OUTPUT	T1_low_purity	38	0		
leuko_frac	MAPK_OUTPUT	T2_mid	30	6	2.7339970321579923	4.517936206740761e-05
leuko_frac	MAPK_OUTPUT	T3_high_purity	19	19	1.6940910349932696	1.554486253131294e-05
leuko_frac	TIS_AYERS	T1_low_purity	38	0		
leuko_frac	TIS_AYERS	T2_mid	30	6	0.9539726578474678	0.022952142733926414
leuko_frac	TIS_AYERS	T3_high_purity	19	19	0.7001235547624224	0.0026378859572006716
nonmalig_frac	HT13	T1_low_purity	36	1		
nonmalig_frac	HT13	T2_mid	32	4	1.2778476890045394	0.0012902130549189371
nonmalig_frac	HT13	T3_high_purity	17	20	3.081733769221365	7.331654929866389e-07
nonmalig_frac	FA12	T1_low_purity	36	1		
nonmalig_frac	FA12	T2_mid	32	4	-1.0274955318157106	0.08240387063916475
nonmalig_frac	FA12	T3_high_purity	17	20	-0.7765095334375655	0.06978127016578495
nonmalig_frac	MAPK_OUTPUT	T1_low_purity	36	1		
nonmalig_frac	MAPK_OUTPUT	T2_mid	32	4	1.8279730786868498	0.006586877175112469
nonmalig_frac	MAPK_OUTPUT	T3_high_purity	17	20	0.8476392394854027	0.009168501285614451
nonmalig_frac	TIS_AYERS	T1_low_purity	36	1		
nonmalig_frac	TIS_AYERS	T2_mid	32	4	1.1991428473724233	0.010016127663186486
nonmalig_frac	TIS_AYERS	T3_high_purity	17	20	3.200739907918496	1.001142461929737e-06
