model	n	events	HR_DM1	HR_DM1_low	HR_DM1_high	p_DM1	note
DM1_only	363	41	0.8426831089435498	0.4546869504918107	1.5617664446509256	0.5866224429922721	
DM1_adj_age_stage_sex	335	21	0.8785450109446712	0.4082558236033863	1.8905825505274443	0.7405236787767148	
DM1_adj_leuko	363	41	0.8398227113502322	0.45155128271933015	1.5619536772261786	0.58136464544875	
DM1_adj_leuko_age_stage_sex	335	21	0.896834905311579	0.41496356283085584	1.9382734279083593	0.7818507942352976	
DM1_adj_nonmalig	110	12	0.44403101424360064	0.14753696816330614	1.336367041187696	0.14868887120415178	
