model	n	auc
HT13_raw	112	0.88
HT13_resid_leuko	112	0.7728735632183908
HT13_plus_leuko	112	0.8804597701149425
HT13_resid_nonmalig	110	0.891764705882353
HT13_plus_nonmalig	110	0.8823529411764706
HT13_resid_totimmune	110	0.8710588235294118
HT13_plus_totimmune	110	0.8804705882352941
