target	target_mode	feature_set	n	n_features	pooled_rho	sample_centered_rho	median_sample_rho	samples_rho_gt_0_1
DM1_low_RAI_score	raw_smoothed	all_HE_features	15489	52	0.6256736081076587	0.6443833433548072	0.5860014395945401	4
DM1_low_RAI_score	raw_smoothed	radius48_only	15489	26	0.553153426236298	0.5295552471861629	0.46000962778538995	4
DM1_low_RAI_score	raw_smoothed	radius96_only	15489	26	0.6263263962004766	0.6450501875607895	0.5885602426081206	4
DM1_low_RAI_score	raw_smoothed	rgb_distribution	15489	24	0.4826166267818341	0.41702869900191625	0.4105035556376615	3
DM1_low_RAI_score	raw_smoothed	hsv_gray_summary	15489	16	0.617897578634737	0.6177713735157555	0.5258644290480319	4
DM1_low_RAI_score	raw_smoothed	density_texture	15489	10	0.5184615345778891	0.5150842529566076	0.4961909688003121	3
DM1_low_RAI_score	raw_smoothed	stain_proxy_only	15489	4	0.4348208129169856	0.2834279258972527	0.3346947156379669	3
DM1_low_RAI_score	raw_smoothed	color_means_only	15489	14	0.488454234047584	0.4064871850247003	0.4201639178007692	3
DM1_low_RAI_score	coord_qc_residual_target	all_HE_features	15489	52	0.21620785860053024	0.2322668209810756	0.19468203920934166	4
DM1_low_RAI_score	coord_qc_residual_target	radius48_only	15489	26	0.2038490805800405	0.21588171791230448	0.19331834165970657	4
DM1_low_RAI_score	coord_qc_residual_target	radius96_only	15489	26	0.2292888170690575	0.24586470062137092	0.21042744880526118	4
DM1_low_RAI_score	coord_qc_residual_target	rgb_distribution	15489	24	0.1430033978922596	0.14261321346801017	0.12175784278229923	2
DM1_low_RAI_score	coord_qc_residual_target	hsv_gray_summary	15489	16	0.2094049410878372	0.23884875920003223	0.21299358464069673	4
DM1_low_RAI_score	coord_qc_residual_target	density_texture	15489	10	0.17712221528175864	0.17373823741690708	0.16528402171637788	3
DM1_low_RAI_score	coord_qc_residual_target	stain_proxy_only	15489	4	0.15753123819983797	0.16706964328720897	0.14933667974443737	3
DM1_low_RAI_score	coord_qc_residual_target	color_means_only	15489	14	0.1772909337278837	0.19665162256141747	0.16557218133528862	4
MAPK_output_score	raw_smoothed	all_HE_features	15489	52	0.4345992384517805	0.2962986801181106	0.2515746404609691	3
MAPK_output_score	raw_smoothed	radius48_only	15489	26	0.39432824454633775	0.22617852505921918	0.18594987796072543	2
MAPK_output_score	raw_smoothed	radius96_only	15489	26	0.4341892797306076	0.28533399174160873	0.242964618340188	3
MAPK_output_score	raw_smoothed	rgb_distribution	15489	24	0.3890330204065614	0.2146702443743523	0.15416202687374606	3
MAPK_output_score	raw_smoothed	hsv_gray_summary	15489	16	0.43407201314207905	0.28051761358337374	0.21541794322498525	3
MAPK_output_score	raw_smoothed	density_texture	15489	10	0.2860409410606627	0.15661122159493857	0.10087883130370774	2
MAPK_output_score	raw_smoothed	stain_proxy_only	15489	4	0.2207461507591574	0.031311683164645075	0.08924848630552432	2
MAPK_output_score	raw_smoothed	color_means_only	15489	14	0.3283392086502478	0.11912470431871186	0.12105624924126146	2
MAPK_output_score	coord_qc_residual_target	all_HE_features	15489	52	0.04070931908745649	0.060654999774918957	0.04238348741752779	1
