arm	call	class6_call_pct	other_call_pct	odds_ratio	fisher_p	bh_q
7q	Gain	10.0	0.2949852507374631	37.55555555555556	1.2251009606107256e-06	9.55578749276366e-05
7p	Gain	9.90990990990991	0.29411764705882354	37.29	1.292400792322414e-06	5.0403630900574146e-05
2q	Loss	8.108108108108109	0.0		2.574025965740628e-06	6.692467510925632e-05
2p	Loss	8.108108108108109	0.0		2.574025965740628e-06	5.019350633194225e-05
16p	Gain	9.00900900900901	0.29411764705882354	33.56435643564357	5.173644026378729e-06	8.070884681150818e-05
12q	Gain	7.207207207207207	0.0		1.107081070702037e-05	0.00014392053919126482
16q	Gain	8.108108108108109	0.29411764705882354	29.91176470588235	2.039420572856036e-05	0.00022724972097538687
21q	Loss	7.207207207207207	0.29411764705882354	26.33009708737864	7.904508863725831e-05	0.0007706896142132685
12p	Gain	5.454545454545454	0.0		0.00019203598572562264	0.0016643118762887296
17q	Gain	7.207207207207207	0.8823529411764706	8.724919093851133	0.000913013651961843	0.007121506485302376
1p	Loss	3.6036036036036037	0.0		0.0035208904029861163	0.024966313766628823
6q	Loss	3.6036036036036037	0.0		0.0035208904029861163	0.022885787619409754
15q	Loss	5.405405405405405	0.5882352941176471	9.657142857142857	0.003572465455073113	0.021434792730438676
17p	Gain	5.405405405405405	0.5899705014749262	9.628571428571428	0.003616518784902311	0.020149176087312877
19q	Gain	4.545454545454546	0.29411764705882354	16.142857142857142	0.003923020851252005	0.020399708426510423
5q	Gain	5.405405405405405	0.8823529411764706	6.419047619047619	0.008565176169049086	0.04175523382411429
9p	Loss	6.306306306306306	1.4792899408284024	4.482692307692307	0.01227378098084594	0.056314995088587255
10q	Loss	3.7735849056603774	0.29411764705882354	13.294117647058824	0.01245135683931069	0.053955879637012996
19p	Gain	3.7735849056603774	0.2949852507374631	13.254901960784315	0.012557588261905546	0.05155220444361224
10p	Loss	3.6363636363636362	0.29411764705882354	12.79245283018868	0.013866447497584105	0.05407914524057801
14q	Gain	3.6036036036036037	0.29411764705882354	12.672897196261681	0.014233219145852157	0.05286624254173659
8q	Loss	2.727272727272727	0.0		0.014305599745466118	0.05071985364301623
3q	Loss	2.7027027027027026	0.0		0.014605175004979447	0.04953059349514769
1q	Loss	2.7027027027027026	0.0		0.014605175004979447	0.0474668187661832
8p	Loss	2.7027027027027026	0.0		0.014605175004979447	0.045568146015535875
17p	Loss	2.7027027027027026	0.0		0.014702977516173504	0.04410893254852051
9q	Loss	8.108108108108109	2.941176470588235	2.911764705882353	0.027563595068572293	0.07962816353143107
20q	Gain	3.6036036036036037	0.5882352941176471	6.317757009345795	0.03458904562472876	0.09635519852603013
20p	Gain	3.6036036036036037	0.5882352941176471	6.317757009345795	0.03458904562472876	0.0930326054734084
13q	Loss	4.545454545454546	1.1869436201780417	3.9642857142857144	0.04423886778137141	0.11502105623156568
18p	Loss	2.727272727272727	0.29411764705882354	9.504672897196262	0.04694925017136195	0.11813037139891071
18q	Loss	2.7027027027027026	0.2949852507374631	9.38888888888889	0.048154718308004496	0.11737712587576096
3p	Loss	1.8518518518518516	0.0		0.057964908056700876	0.13700796449765662
4p	Gain	1.8018018018018018	0.0		0.06016260162601626	0.13802008608321378
4q	Gain	1.8018018018018018	0.0		0.06016260162601626	0.13407665505226482
6p	Loss	1.8018018018018018	0.0		0.06016260162601626	0.13035230352303526
11p	Gain	1.8018018018018018	0.0		0.06016260162601626	0.12682926829268296
21q	Gain	1.8018018018018018	0.0		0.06016260162601626	0.12349165596919129
22q	Gain	1.8018018018018018	0.0		0.06043058648849294	0.12086117297698588
5p	Gain	5.405405405405405	1.7751479289940828	3.1619047619047618	0.08090799631551113	0.1577705928152467
1q	Gain	1.8018018018018018	6.470588235294119	0.2652210175145955	0.08451504716725736	0.16078472387917253
13q	Gain	1.8181818181818181	0.2967359050445104	6.222222222222222	0.15123310777109317	0.2808614858606016
10q	Gain	0.9433962264150944	0.0		0.23766816143497757	0.43111899050995933
19q	Loss	0.9090909090909091	0.0		0.24444444444444446	0.4333333333333334
10p	Gain	0.9090909090909091	0.0		0.24444444444444446	0.4237037037037038
17q	Loss	0.9009009009009009	0.0		0.24611973392461195	0.4173334618721681
1p	Gain	0.9009009009009009	0.0		0.24611973392461195	0.4084540265131858
6p	Gain	0.9009009009009009	0.0		0.24611973392461195	0.3999445676274944
6q	Gain	0.9009009009009009	0.0		0.24611973392461195	0.3917824335942802
4q	Loss	0.9009009009009009	0.0		0.24611973392461195	0.38394678492239465
11q	Gain	0.9009009009009009	0.0		0.24611973392461195	0.376418416590583
14q	Loss	0.9009009009009009	0.0		0.24611973392461195	0.3691796008869179
4p	Loss	0.9009009009009009	0.0		0.24611973392461195	0.36221394803999496
3q	Gain	0.9009009009009009	0.0		0.24611973392461195	0.3555062823355506
18p	Gain	0.9090909090909091	0.29411764705882354	3.110091743119266	0.42954714179658493	0.6091759465478841
18q	Gain	0.9009009009009009	0.2949852507374631	3.0727272727272728	0.43290274684484037	0.6029716831053135
16q	Loss	0.0	1.1764705882352942	0.0	0.5762937453659382	0.7886124936586523
11p	Loss	1.8018018018018018	0.8823529411764706	2.0611620795107033	0.6007018797212561	0.8078404589354824
11q	Loss	2.7027027027027026	2.0588235294117645	1.3214285714285714	0.7131839769186263	0.9428533932144552
22q	Loss	13.513513513513514	15.339233038348082	0.8623798076923077	0.7589519275307608	0.9866375057899891
