arm	call	DM1_pct	DM2_pct	or	p	bh_q
16p	Gain	0.0	22.22222222222222	0.0	7.908952159087452e-05	0.006168982684088213
16q	Gain	0.0	20.0	0.0	0.0002180305730343028	0.008503192348337808
2q	Loss	0.0	20.0	0.0	0.0002180305730343028	0.005668794898891872
2p	Loss	0.0	20.0	0.0	0.0002180305730343028	0.004251596174168904
7q	Gain	1.5384615384615385	22.727272727272727	0.0546875	0.0005101835906324815	0.007958864013866711
7p	Gain	1.5384615384615385	22.22222222222222	0.05625	0.0005880814922252156	0.007645059398927803
12q	Gain	0.0	17.77777777777778	0.0	0.0005909776058561365	0.006585179036682665
12p	Gain	0.0	13.636363636363635	0.0	0.00380281242029166	0.037077421097843684
5q	Gain	0.0	13.333333333333334	0.0	0.004136843240992957	0.03585264142193896
5p	Gain	0.0	13.333333333333334	0.0	0.004136843240992957	0.03226737727974506
15q	Loss	0.0	13.333333333333334	0.0	0.004136843240992957	0.029333979345222784
17p	Gain	0.0	13.333333333333334	0.0	0.004136843240992957	0.02688948106645422
17q	Gain	1.5384615384615385	15.555555555555555	0.08705357142857142	0.008470679017271292	0.050824074103627756
19q	Gain	0.0	11.363636363636363	0.0	0.009982382603265607	0.05561613164676553
9p	Loss	1.5384615384615385	13.333333333333334	0.10416666666666667	0.019502260993252505	0.10141175716491303
19p	Gain	0.0	10.0	0.0	0.020385732604087613	0.09938044644492712
6q	Loss	0.0	8.88888888888889	0.0	0.02724743091715569	0.1250176242081261
14q	Gain	0.0	8.88888888888889	0.0	0.02724743091715569	0.11807220064100798
20q	Gain	0.0	8.88888888888889	0.0	0.02724743091715569	0.11185787429148125
20p	Gain	0.0	8.88888888888889	0.0	0.02724743091715569	0.10626498057690718
9q	Loss	3.076923076923077	15.555555555555555	0.17687074829931973	0.031933363281999375	0.11860963504742623
18p	Loss	0.0	6.8181818181818175	0.0	0.06574923547400612	0.2331109257714762
8q	Loss	0.0	6.666666666666667	0.0	0.06574923547400612	0.2229756681292381
1q	Loss	0.0	6.666666666666667	0.0	0.06843540788494919	0.22241507562608487
3q	Loss	0.0	6.666666666666667	0.0	0.06843540788494919	0.21351847260104148
8p	Loss	0.0	6.666666666666667	0.0	0.06843540788494919	0.20530622365484757
18q	Loss	0.0	6.666666666666667	0.0	0.06843540788494919	0.19770228944540877
11q	Loss	0.0	6.666666666666667	0.0	0.06843540788494919	0.19064149339378703
3p	Loss	0.0	4.761904761904762	0.0	0.15628245067497404	0.42034590181544745
13q	Loss	1.5384615384615385	9.090909090909092	0.16015625	0.1565984447844353	0.40715595643953173
4q	Gain	0.0	4.444444444444445	0.0	0.16953316953316955	0.42656732979313633
6p	Loss	0.0	4.444444444444445	0.0	0.16953316953316955	0.4132371007371008
11p	Loss	0.0	4.444444444444445	0.0	0.16953316953316955	0.400714764351128
11p	Gain	0.0	2.2222222222222223	0.0	0.16953316953316955	0.38892903598785955
4p	Gain	0.0	4.444444444444445	0.0	0.16953316953316955	0.37781677781677786
10q	Loss	1.5873015873015872	7.142857142857142	0.21505376344086022	0.30125833133710034	0.6527263845637175
10p	Loss	1.5384615384615385	6.8181818181818175	0.21875	0.30284582946848226	0.6384317486092329
1p	Loss	1.5384615384615385	6.666666666666667	0.22395833333333334	0.3050464977070482	0.6261480742407832
10q	Gain	0.0	2.380952380952381	0.0	0.4056603773584906	0.8113207547169812
19q	Loss	0.0	2.272727272727273	0.0	0.409090909090909	0.7977272727272726
10p	Gain	0.0	2.272727272727273	0.0	0.409090909090909	0.7782705099778269
14q	Loss	0.0	2.2222222222222223	0.0	0.4144144144144144	0.7696267696267696
6p	Gain	0.0	2.2222222222222223	0.0	0.4144144144144144	0.7517284726587051
3q	Gain	0.0	2.2222222222222223	0.0	0.4144144144144144	0.7346437346437346
17q	Loss	0.0	2.2222222222222223	0.0	0.4144144144144144	0.7183183183183183
4q	Loss	0.0	2.2222222222222223	0.0	0.4144144144144144	0.7027027027027026
4p	Loss	0.0	2.2222222222222223	0.0	0.4144144144144144	0.6877515813686026
1p	Gain	0.0	2.2222222222222223	0.0	0.4144144144144144	0.6734234234234234
6q	Gain	0.0	2.2222222222222223	0.0	0.4144144144144144	0.6596800882515168
11q	Gain	0.0	2.2222222222222223	0.0	0.4144144144144144	0.6464864864864864
17p	Loss	1.5384615384615385	4.444444444444445	0.34375	0.5686495503009266	0.8696993122249465
22q	Loss	12.307692307692308	15.555555555555555	0.7819548872180451	0.77974780317913	1.0
16p	Loss	0.0	0.0		1.0	1.0
20q	Loss	0.0	0.0		1.0	1.0
1q	Gain	1.5384615384615385	2.2222222222222223	0.703125	1.0	1.0
20p	Loss	0.0	0.0		1.0	1.0
19p	Loss	0.0	0.0		1.0	1.0
18q	Gain	1.5384615384615385	0.0		1.0	1.0
18p	Gain	1.5384615384615385	0.0		1.0	1.0
16q	Loss	0.0	0.0		1.0	1.0
12p	Loss	0.0	0.0		1.0	1.0
15q	Gain	0.0	0.0		1.0	1.0
12q	Loss	0.0	0.0		1.0	1.0
13q	Gain	1.5384615384615385	2.272727272727273	0.6875	1.0	1.0
5q	Loss	0.0	0.0		1.0	1.0
5p	Loss	0.0	0.0		1.0	1.0
3p	Gain	0.0	0.0		1.0	1.0
2q	Gain	0.0	0.0		1.0	1.0
21q	Loss	7.6923076923076925	6.666666666666667	1.1944444444444444	1.0	1.0
21q	Gain	1.5384615384615385	2.2222222222222223	0.703125	1.0	1.0
22q	Gain	1.5384615384615385	2.2222222222222223	0.703125	1.0	1.0
2p	Gain	0.0	0.0		1.0	1.0
8p	Gain	0.0	0.0		1.0	1.0
7q	Loss	0.0	0.0		1.0	1.0
7p	Loss	0.0	0.0		1.0	1.0
8q	Gain	0.0	0.0		1.0	1.0
9p	Gain	0.0	0.0		1.0	1.0
9q	Gain	0.0	0.0		1.0	1.0
