gene	n_probes	probes
SLC5A5	1	TC1900007352.hg.1
TPO	1	TC0200006480.hg.1
TSHR	1	TC1400007804.hg.1
TG	1	TC0800008946.hg.1
PAX8	1	TC0200013925.hg.1
NKX2-1	1	TC1400010734.hg.1
FOXE1	1	TC0900008168.hg.1
DIO1	1	TC0100008366.hg.1
