gene	d	p	n_a	n_b	cohort	stratum	contrast
HLA-DRA	1.663296927617369	1.003452272727479e-18	110	69	TCGA-THCA	all	DM1_vs_DM2
HLA-DRB1	1.7975323999666004	4.028665992428306e-23	110	69	TCGA-THCA	all	DM1_vs_DM2
HLA-DPA1	1.571691367627231	5.45273833635979e-19	110	69	TCGA-THCA	all	DM1_vs_DM2
HLA-DPB1	1.6672844241558344	8.731992888924116e-21	110	69	TCGA-THCA	all	DM1_vs_DM2
HLA-DQA1	1.7783967562058511	9.781595376730783e-22	110	69	TCGA-THCA	all	DM1_vs_DM2
HLA-DQB1	1.5920047514713802	3.230581964973071e-18	110	69	TCGA-THCA	all	DM1_vs_DM2
CD79A	0.8113876770716363	1.379504628565172e-08	110	69	TCGA-THCA	all	DM1_vs_DM2
CD79B	0.8123991508248273	3.1362632196956256e-09	110	69	TCGA-THCA	all	DM1_vs_DM2
MS4A1	0.978163131436572	9.10195037080979e-12	110	69	TCGA-THCA	all	DM1_vs_DM2
AICDA	0.5925601903941217	4.430744337907812e-06	110	69	TCGA-THCA	all	DM1_vs_DM2
CXCL13	0.9191371742288841	5.61620354770706e-11	110	69	TCGA-THCA	all	DM1_vs_DM2
CCR6	0.6424921841329237	3.464304204683307e-06	110	69	TCGA-THCA	all	DM1_vs_DM2
IFNG	0.8366879617473829	7.473747676817809e-10	110	69	TCGA-THCA	all	DM1_vs_DM2
HLA-DRA	3.5227449185973025	2.15560082090048e-06	9	9	GSE286332	all	PTC+HT_vs_PTC
HLA-DRB1	2.9556065802303153	1.3681920330171398e-05	9	9	GSE286332	all	PTC+HT_vs_PTC
HLA-DPA1	2.5619364964030455	5.553392118111079e-05	9	9	GSE286332	all	PTC+HT_vs_PTC
HLA-DPB1	3.6974893590335194	7.179538301880497e-07	9	9	GSE286332	all	PTC+HT_vs_PTC
HLA-DQA1	2.3810845363206563	0.00015863458421324787	9	9	GSE286332	all	PTC+HT_vs_PTC
HLA-DQB1	1.845716843773725	0.0013750026939821816	9	9	GSE286332	all	PTC+HT_vs_PTC
CD79A	4.689516717789244	1.9411453369210198e-07	9	9	GSE286332	all	PTC+HT_vs_PTC
CD79B	3.8162755110584774	2.2936052426134815e-06	9	9	GSE286332	all	PTC+HT_vs_PTC
MS4A1	4.128047004481129	1.984544651831371e-07	9	9	GSE286332	all	PTC+HT_vs_PTC
AICDA	2.303204438838316	0.0012007132923700144	9	9	GSE286332	all	PTC+HT_vs_PTC
CXCL13	5.09125131458817	2.2114443006306876e-07	9	9	GSE286332	all	PTC+HT_vs_PTC
CCR6	2.2306685420864487	0.0005253040609059467	9	9	GSE286332	all	PTC+HT_vs_PTC
IFNG	3.045254451890966	2.987581786878483e-05	9	9	GSE286332	all	PTC+HT_vs_PTC
HLA-DRA	1.7575036387361525	1.7814797695285347e-05	20	17	GSE76039	all	ATC_vs_PDTC
HLA-DRB1	1.8442686974601115	1.5744828884353892e-05	20	17	GSE76039	all	ATC_vs_PDTC
HLA-DPA1	1.629822094961903	9.106777172162827e-05	20	17	GSE76039	all	ATC_vs_PDTC
HLA-DPB1	1.3462717130209827	0.00034137939639964884	20	17	GSE76039	all	ATC_vs_PDTC
HLA-DQA1	1.7957415151989988	2.0580527248534748e-05	20	17	GSE76039	all	ATC_vs_PDTC
HLA-DQB1	1.9000975435687861	8.269812135391225e-06	20	17	GSE76039	all	ATC_vs_PDTC
CD79A	0.7867406239764099	0.017786588113674912	20	17	GSE76039	all	ATC_vs_PDTC
CD79B	0.6522765752894529	0.04938772567718893	20	17	GSE76039	all	ATC_vs_PDTC
MS4A1	0.6152840512619445	0.05882294110798604	20	17	GSE76039	all	ATC_vs_PDTC
AICDA			20	17	GSE76039	all	ATC_vs_PDTC
CXCL13	2.254783514063768	4.188207559499492e-08	20	17	GSE76039	all	ATC_vs_PDTC
CCR6	0.7935471351407947	0.017479592825728345	20	17	GSE76039	all	ATC_vs_PDTC
IFNG	1.011235285594898	0.003502994269428336	20	17	GSE76039	all	ATC_vs_PDTC
HLA-DRA	0.2201534828671732	0.081774627949925	113	177	Mun2025_protein	all	ATC_vs_PTC
HLA-DRB1	0.04535537066303589	0.7190415505886335	113	177	Mun2025_protein	all	ATC_vs_PTC
HLA-DPA1	0.523178551077646	6.0422733704613556e-05	113	177	Mun2025_protein	all	ATC_vs_PTC
HLA-DPB1	-0.34344903220989265	0.0071766421156171266	113	177	Mun2025_protein	all	ATC_vs_PTC
HLA-DQA1	0.26763490079295066	0.036937638052865096	113	177	Mun2025_protein	all	ATC_vs_PTC
HLA-DQB1	-0.026414038842000997	0.8317626992287216	113	177	Mun2025_protein	all	ATC_vs_PTC
CD79A	0.1789412396959709	0.14693076011061404	113	177	Mun2025_protein	all	ATC_vs_PTC
CD79B			0	0	Mun2025_protein	all	ATC_vs_PTC
MS4A1	-0.0604919591240216	0.5951034033438737	113	177	Mun2025_protein	all	ATC_vs_PTC
AICDA			0	0	Mun2025_protein	all	ATC_vs_PTC
CXCL13	0.28554886402476815	0.05187196694057879	113	177	Mun2025_protein	all	ATC_vs_PTC
CCR6			0	0	Mun2025_protein	all	ATC_vs_PTC
IFNG			0	0	Mun2025_protein	all	ATC_vs_PTC
HLA-DRA	-0.35334451354382723	0.12667312026461514	46	177	Mun2025_protein	all	PDTC_vs_PTC
HLA-DRB1	-0.19931024015806334	0.4007559585403702	46	177	Mun2025_protein	all	PDTC_vs_PTC
HLA-DPA1	0.1574146644866678	0.522810861295305	46	177	Mun2025_protein	all	PDTC_vs_PTC
HLA-DPB1	-0.5604667782659427	0.006072583244876148	46	177	Mun2025_protein	all	PDTC_vs_PTC
HLA-DQA1	-0.16770105498548418	0.30188018648079323	46	177	Mun2025_protein	all	PDTC_vs_PTC
HLA-DQB1	-0.3428030285372896	0.0609884523149247	46	177	Mun2025_protein	all	PDTC_vs_PTC
CD79A	-0.26795458055643917	0.009466420598383997	46	177	Mun2025_protein	all	PDTC_vs_PTC
