cohort	stratum	contrast	n_high	n_low	mean_d_HT13	p	sign
TCGA-THCA	all_primary_tumor	DM1_vs_DM2	110	69	1.4754678970161847	4.896788055586081e-21	+
TCGA-THCA	subtype=BRAF_like	DM1_vs_DM2	87	25	1.4219038265016506	3.1354770838564126e-12	+
TCGA-THCA	subtype=RAS_like	DM1_vs_DM2	18	39	1.6346148524812874	3.149018970408992e-05	+
TCGA-THCA	subtype=unknown	DM1_vs_DM2	5	5	1.0335383862128518	0.16697398154240078	+
GSE286332	Korean_PTC_HT_overlap	PTC+HT_vs_PTC	9	9	3.8334639325017275	1.356139039008456e-06	+
GSE76039	Landa_dediff	ATC_vs_PDTC	20	17	2.024189237274584	5.627917960059524e-07	+
Mun2025_protein	ATC_proteomics	ATC_vs_PTC	113	177	0.2298637469091238	0.07184064181750445	+
Mun2025_protein	ATC_proteomics	PDTC_vs_PTC	46	177	-0.39049138563424957	0.069203239549284	-
GSE151179	RAI_axis	post-RAI_vs_pre-RAI	17	35	0.3854178630588734	0.16309203184950938	+
