gene	cohen_d	abs_d	rank	in_TIERA67	in_8gene	in_top5000_MAD
SYT12	-4.1251265828136106	4.1251265828136106	1	False	False	True
PDLIM4	-4.008469406606851	4.008469406606851	2	False	False	True
EVA1A	-3.8069570655865657	3.8069570655865657	3	False	False	True
FN1	-3.801837028403595	3.801837028403595	4	False	False	True
KCNN4	-3.7449437343751444	3.7449437343751444	5	False	False	True
SERPINA1	-3.7417951048037947	3.7417951048037947	6	False	False	True
TACSTD2	-3.678509943306257	3.678509943306257	7	False	False	True
LAMB3	-3.674661507385094	3.674661507385094	8	False	False	True
GABRB2	-3.655567511758993	3.655567511758993	9	False	False	True
SDC4	-3.652353200685932	3.652353200685932	10	False	False	True
PTPRE	-3.546874992606545	3.546874992606545	11	False	False	True
RUNX2	-3.375503548936422	3.375503548936422	12	False	False	True
COL8A2	-3.362613469636502	3.362613469636502	13	False	False	True
KCNQ3	-3.2554864319339467	3.2554864319339467	14	False	False	True
PROS1	-3.250319508446786	3.250319508446786	15	False	False	True
AF131216.3	3.2399999001135797	3.2399999001135797	16	False	False	True
BID	-3.2343087746931407	3.2343087746931407	17	False	False	True
LGALS3	-3.2156500756587008	3.2156500756587008	18	False	False	True
PLCD3	-3.2129307676928693	3.2129307676928693	19	False	False	True
RUNX1	-3.151848176593629	3.151848176593629	20	False	False	True
SLC27A6	-3.1357568518357986	3.1357568518357986	21	False	False	True
CREB5	-3.1100907320836364	3.1100907320836364	22	False	False	True
SLC22A31	-3.0891899129826066	3.0891899129826066	23	False	False	True
SLC35F2	-3.087327240270143	3.087327240270143	24	False	False	True
GJB3	-3.0699412023965307	3.0699412023965307	25	False	False	True
MET	-3.063495597569325	3.063495597569325	26	True	False	True
LY6E	-3.048879850700264	3.048879850700264	27	False	False	True
NR2F1-AS1	-3.037031492316029	3.037031492316029	28	False	False	True
SLC34A2	-3.0312467851588174	3.0312467851588174	29	False	False	True
PDE5A	-3.0135663289245347	3.0135663289245347	30	False	False	True
TMPRSS4	-2.9997924275514323	2.9997924275514323	31	False	False	True
CYP2S1	-2.972420413710584	2.972420413710584	32	False	False	True
DCSTAMP	-2.9713676903137016	2.9713676903137016	33	False	False	True
CYP1B1	-2.9660470551152045	2.9660470551152045	34	False	False	True
B3GNT3	-2.9536860549890207	2.9536860549890207	35	False	False	True
ITGB8	-2.9524203807406177	2.9524203807406177	36	False	False	True
TIMP1	-2.942288025957194	2.942288025957194	37	False	False	True
MACC1	-2.9127365890399477	2.9127365890399477	38	False	False	True
NECTIN4	-2.879457505412643	2.879457505412643	39	False	False	True
IL1RAP	-2.8713756809022075	2.8713756809022075	40	False	False	True
ANXA1	-2.8486394757469524	2.8486394757469524	41	False	False	True
HGD	2.844914250412336	2.844914250412336	42	False	False	True
STAC	-2.8329604654563436	2.8329604654563436	43	False	False	True
DUSP5	-2.8180452925862607	2.8180452925862607	44	True	False	True
ICAM1	-2.8128705682334494	2.8128705682334494	45	False	False	True
TMPRSS6	-2.811392931950633	2.811392931950633	46	False	False	True
MRO	2.7995648947620637	2.7995648947620637	47	False	False	True
PLEKHA6	-2.7987842764380653	2.7987842764380653	48	False	False	True
SFTPB	-2.792691855668617	2.792691855668617	49	False	False	True
RSPO4	-2.7868592471234677	2.7868592471234677	50	False	False	True
CLCNKA	2.785739936367116	2.785739936367116	51	False	False	True
PLEKHN1	-2.778812231875046	2.778812231875046	52	False	False	True
ETHE1	-2.7776427321947508	2.7776427321947508	53	False	False	True
FAM20C	-2.7710492601002135	2.7710492601002135	54	False	False	True
DTX4	-2.7668347510416855	2.7668347510416855	55	False	False	True
PRICKLE1	-2.7634141871037436	2.7634141871037436	56	False	False	True
ITGA3	-2.7534424971072426	2.7534424971072426	57	False	False	True
SYTL5	-2.7463559197358394	2.7463559197358394	58	False	False	True
KRT19	-2.743663791577831	2.743663791577831	59	False	False	True
EPHB3	-2.7430952349725386	2.7430952349725386	60	False	False	True
MVP	-2.7411608086198123	2.7411608086198123	61	False	False	True
C11orf80	-2.733946879942739	2.733946879942739	62	False	False	False
ANXA2	-2.731133846193083	2.731133846193083	63	False	False	True
NGEF	-2.728630358055988	2.728630358055988	64	False	False	True
SLC4A4	2.723404228065967	2.723404228065967	65	False	False	True
