subgroup	label_id	n	events	HR	CI_low	CI_high	p	note
Overall (BRAF-cPTC, H6 main)	A1_main_DM2vNot_PFI_replicate	254	17	5.906038949733345	1.7892203961461393	19.49524840589752	0.0035590980070543464	
Stage-stratified	B1_stage_strata_DM2vNot_PFI	268	31	3.7481536506427964	1.3275394987477604	10.582476681167467	0.012596467114749299	
T-stratified	B2_T_strata_DM2vNot_PFI	268	31	2.2029501736559505	0.7961084919585973	6.0958895887059175	0.12829078016087983	
Stage I	B3_within_stage_I_DM2vNot_PFI	144	13	4.870631991506931	0.7970477856755143	29.76365585983656	0.08646673469453729	
Stage II	B3_within_stage_II_DM2vNot_PFI	23	1					insufficient n/events
Stage III	B3_within_stage_III_DM2vNot_PFI	66	11	4.677512181581031	1.1541769734519238	18.956469165558428	0.030711416976568155	
Stage IV	B3_within_stage_IV_DM2vNot_PFI	35	6					fit_failed: ConvergenceError: delta contains nan value(s). Convergence halted. Please see the following tips i
T1	C1_T1only_DM2vNot_PFI	73	0					insufficient n/events
T2-T4	C2_T2to4_DM2vNot_PFI	180	17	4.914494941914283	1.4025925811916555	17.219726425175505	0.012817222187520393	
ETE neg	D_ETE_neg_DM2vNot_PFI	144	5	28.500075964127927	5.176870584785498	156.90064425180483	0.00011847784965785613	n_events<10 (CI non-deployable)
ETE pos	D_ETE_pos_DM2vNot_PFI	90	10	5.921141043800288	1.2509021693574738	28.027700422475803	0.024949065200219913	cell main_var=1 sparse (n=2, ev=1)
N0	D_N_N0_DM2vNot_PFI	112	7	10.332909500187263	1.3266904018310721	80.47772004056084	0.025754925017731915	n_events<10 (CI non-deployable)
N1 (LN+)	D_N_N1_DM2vNot_PFI	122	8	1.1588120162637715e-05	7.895210213139397e-07	0.00017008353834613703	1.1095862662631611e-16	cell main_var=1 sparse (n=1, ev=0); n_events<10 (CI non-deployable); fit-pathology (extreme HR/CI - drop)
M0	D_M_M0_DM2vNot_PFI	156	10	16.543143663851403	2.632015125193634	103.97949451855557	0.002773324374505497	
M1 (mets+)	D_M_M1_DM2vNot_PFI	2	1					insufficient n/events
Unifocal	D_multifocal_uni_DM2vNot_PFI	137	8	18.40366732581555	2.1397570752915924	158.28664615731472	0.007982220479015874	n_events<10 (CI non-deployable)
Multifocal	D_multifocal_multi_DM2vNot_PFI	113	9	2.0650462008053836	0.27882784948265543	15.294081345794757	0.47781857076495804	cell main_var=1 sparse (n=8, ev=1); n_events<10 (CI non-deployable)
Dx <=2010	E_era_le2010_DM2vNot_PFI	130	11	7.955009692860753	1.2646288782848347	50.04011872584755	0.027092493295372132	
Dx >2010	E_era_post2010_DM2vNot_PFI	124	6	5.864545977919663	1.1583776066727547	29.690577000984618	0.03254691644392986	n_events<10 (CI non-deployable)
Cluster by TSS (robust)	G1_cluster_TSS_DM2vNot_PFI	254	17	5.906038949733345	2.951033796523283	11.820025957297485	5.250279646948108e-07	
