feature	label	n	events	HR	CI_low	CI_high	interaction_p	note
T_small_(T1)	C3_interaction_DM2_x_T1	253	17	0.3138666885052258	0.0575931486207231	1.710486412229073	0.1804133796665427	cell main_var=1 sparse (n=7, ev=0)
ETE	D_interaction_DM2_x_ETE	234	15	0.4127103301965068	0.019439473669079773	8.762059073741002	0.5702358129326728	cell main_var=1 sparse (n=2, ev=1)
N	D_interaction_DM2_x_N	234	15	4.5206426770023113e-07	2.672372652630248e-08	7.647215740297504e-06	4.3152053906374196e-24	cell main_var=1 sparse (n=1, ev=0); fit-pathology (extreme HR/CI - drop)
M	D_interaction_DM2_x_M	158	11					fit_failed: ConvergenceError: delta contains nan value(s). Convergence halted. Please see the following tips i
multifocal	D_interaction_DM2_x_multifocal	250	17	0.17852604340668765	0.013010384960089418	2.4497006254784544	0.19724083895159936	cell main_var=1 sparse (n=8, ev=1)
era_post2010	E_interaction_DM2_x_post2010	254	17	1.718148313178004	0.16732141614382376	17.642891711715812	0.6487723187275243	
DM1_x_era_post2010	F_interaction_DM1_x_post2010	104	8	0.7501179875703321	0.022669706342579008	24.82065655256089	0.8720558504164767	cell main_var=1 sparse (n=38, ev=1); n_events<10 (CI non-deployable)
