pool	n_pool	n_panels_drawn	mean_auc	median_auc	p95_auc	p99_auc	max_auc	ht13_observed_auc	p_ht13_vs_pool
all_coding	50112	1000	0.8268025641025643	0.8512820512820514	0.9717948717948719	0.9974358974358974	1.0	0.9256410256410257	0.208
immune_like	1332	1000	0.8980307692307693	0.9128205128205129	0.9871794871794872	0.9974358974358974	1.0	0.9256410256410257	0.437
