method	comp	var_explained	pooled_oof_auc	corr_with_HT13_mean
PCA	PC1	0.2911971430263741	0.4282051282051282	0.03734632074537308
PCA	PC2	0.13998291641802324	0.8923076923076924	-0.17694316718910555
PCA	PC3	0.06578327561320987	0.8923076923076924	0.5553193711236635
PCA	PC4	0.048089006368595776	0.7846153846153846	0.570671377456121
PCA	PC5	0.04156412747255265	0.6564102564102565	-0.05811285550105732
NMF	NMF1		0.5897435897435898	0.021266605148409133
NMF	NMF2		0.9102564102564104	-0.6968731728316877
NMF	NMF3		0.49743589743589745	-0.08550403737969572
NMF	NMF4		0.8641025641025641	0.4630114448437836
NMF	NMF5		0.7153846153846155	0.5593749549102136
