gene	rf_importance	p_vs_null_max	null_max_mean	null_max_p95	null_max_p99
TMEM255A	0.01926820853552658	0.088	0.01409684390395071	0.021302549650104186	0.024969823028844675
ADAM1B	0.014517894736842106	0.376	0.01409684390395071	0.021302549650104186	0.024969823028844675
PLP2	0.013782493368700266	0.458	0.01409684390395071	0.021302549650104186	0.024969823028844675
LINC00857	0.012953618414873476	0.561	0.01409684390395071	0.021302549650104186	0.024969823028844675
TMC8	0.011385087209527685	0.767	0.01409684390395071	0.021302549650104186	0.024969823028844675
FAM234B	0.011042047600184856	0.813	0.01409684390395071	0.021302549650104186	0.024969823028844675
TMEM92-AS1	0.011016175453780334	0.816	0.01409684390395071	0.021302549650104186	0.024969823028844675
RASSF5	0.01091313264172599	0.824	0.01409684390395071	0.021302549650104186	0.024969823028844675
SRGAP2	0.010797973245603536	0.842	0.01409684390395071	0.021302549650104186	0.024969823028844675
ARSI	0.010477062134345416	0.881	0.01409684390395071	0.021302549650104186	0.024969823028844675
COPZ1	0.010353252866379352	0.896	0.01409684390395071	0.021302549650104186	0.024969823028844675
PLAU	0.010209183673469388	0.915	0.01409684390395071	0.021302549650104186	0.024969823028844675
IGFBP6	0.009464509931847264	0.972	0.01409684390395071	0.021302549650104186	0.024969823028844675
SLCO4A1	0.009228344671201814	0.982	0.01409684390395071	0.021302549650104186	0.024969823028844675
NLGN2	0.008563005911783701	0.992	0.01409684390395071	0.021302549650104186	0.024969823028844675
LINC02237	0.008478195865437245	0.993	0.01409684390395071	0.021302549650104186	0.024969823028844675
HSD11B1	0.008461051156276064	0.993	0.01409684390395071	0.021302549650104186	0.024969823028844675
BMP7	0.008294047462910207	0.996	0.01409684390395071	0.021302549650104186	0.024969823028844675
SLC27A4	0.007692469758904541	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
CLDN1	0.007345234870899007	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
RGN	0.007195195270744721	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
CD300LB	0.007122180462394748	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
APOA1	0.007106167524426038	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
CALHM1	0.00702176381816918	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
SIRPA	0.006897295130205044	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
S100A9	0.0068839306345081005	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
C10orf55	0.006742905982905983	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
PTGER4	0.00667430889237119	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
HLA-DQA1	0.006655013596782961	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
TLR2	0.0060851784633998785	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
AL121932.2	0.005934510625921762	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
LRRK1	0.005931056559315097	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
EMILIN2	0.005922895290995977	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
AD000864.1	0.00581605260665161	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
ANKRD22	0.005782493368700265	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
CA5A	0.005724007896602156	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
AC006230.1	0.005598976187211482	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
LASTR	0.005592414963332813	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
S1PR2	0.005500387434286366	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
PODNL1	0.00549830356970968	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
NR2E1	0.005495911408615582	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
TREM1	0.005360994008714597	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
CD58	0.005245079365079365	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
KCTD12	0.005222286245679911	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
SULF2	0.005157966433117164	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
MIMT1	0.005117839951088032	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
CNTNAP1	0.0051004183329584635	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
IRAK2	0.0050220969089390145	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
FBXO25	0.005003675247591915	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
LILRB2	0.0049278538804098364	1.0	0.01409684390395071	0.021302549650104186	0.024969823028844675
