gene_set	size	overlap	top_n	odds_ratio	pval	overlap_genes	fdr
HALLMARK_MAPK_SIGNALING_OUTPUT	19	2	100	60.01800720288115	0.0006593799212131932	DUSP4,DUSP5	0.007912559054558317
HALLMARK_IL6_JAK_STAT3_SIGNALING	19	1	100	28.05499438832772	0.037248333907217254	JAK3	0.18018722373837387
HALLMARK_TNFA_SIGNALING_VIA_NFKB	29	1	100	18.03174603174603	0.05629757878713012	ICAM1	0.18018722373837387
HALLMARK_INFLAMMATORY_RESPONSE	31	1	100	16.82895622895623	0.060062407912791285	ICAM1	0.18018722373837387
HALLMARK_INTERFERON_GAMMA_RESPONSE	45	1	100	11.47107438016529	0.08600309480933185	ICAM1	0.20640742754239644
HALLMARK_ALLOGRAFT_REJECTION	44	0	100	0.0	1.0		1.0
HASHIMOTO_BCELL_TLS_LIKE	26	0	100	0.0	1.0		1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	22	0	100	0.0	1.0		1.0
B_CELL_RECEPTOR_SIGNALING	18	0	100	0.0	1.0		1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	35	0	100	0.0	1.0		1.0
HALLMARK_FATTY_ACID_METABOLISM	26	0	100	0.0	1.0		1.0
HALLMARK_THYROID_DIFFERENTIATION_SCORE_16	8	0	100	0.0	1.0		1.0
