evidence	pred_decile	n	mean_obs_group_centered	median_obs_group_centered	mean_pred
GSE250521 UNI raw DM1/RAI	1	320	-0.566314546536867	-0.46274926926265325	-0.7569666634313762
GSE250521 UNI raw DM1/RAI	2	320	-0.4499353460084922	-0.4017983164933613	-0.5003142767120152
GSE250521 UNI raw DM1/RAI	3	320	-0.3494603483088207	-0.26751145926789566	-0.3542402933693666
GSE250521 UNI raw DM1/RAI	4	320	-0.16958052446048247	-0.11413898873186415	-0.22134192758276186
GSE250521 UNI raw DM1/RAI	5	320	-0.08042557715628726	-0.097857965600089	-0.10284355151961791
GSE250521 UNI raw DM1/RAI	6	320	-0.038604026986859476	-0.0034021018854380105	0.008185598014460994
GSE250521 UNI raw DM1/RAI	7	320	0.0037025375866293177	0.1365969805146746	0.12640142916643526
GSE250521 UNI raw DM1/RAI	8	320	0.19280059030651925	0.14729582912208053	0.2777128525165608
GSE250521 UNI raw DM1/RAI	9	320	0.5448331648484726	0.33326029697127935	0.4664217014567839
GSE250521 UNI raw DM1/RAI	10	320	0.9129840767161879	0.7075606591431618	0.8243885741831036
GSE250521 UNI coord+QC residual DM1/RAI	1	320	-0.05514844827993191	-0.03771948750080015	-0.5862000133682159
GSE250521 UNI coord+QC residual DM1/RAI	2	320	-0.04230488141995891	-0.030653613883016156	-0.35111367263743887
GSE250521 UNI coord+QC residual DM1/RAI	3	320	-0.03449116112259816	-0.022323728477645854	-0.21758427037057118
GSE250521 UNI coord+QC residual DM1/RAI	4	320	-0.019446160591951665	-0.021136461289588696	-0.12253242951592258
GSE250521 UNI coord+QC residual DM1/RAI	5	320	-0.01954285906017574	-0.013643527858590236	-0.04440188170701731
GSE250521 UNI coord+QC residual DM1/RAI	6	320	0.006438580912807515	-0.0007281996411672207	0.03646253069746308
GSE250521 UNI coord+QC residual DM1/RAI	7	320	0.01280582659793233	0.011039116950355412	0.13178120753655093
GSE250521 UNI coord+QC residual DM1/RAI	8	320	0.02071176522603993	0.011465875315687057	0.23257368041886367
GSE250521 UNI coord+QC residual DM1/RAI	9	320	0.05800190137634	0.03190030396138931	0.37263996412839334
GSE250521 UNI coord+QC residual DM1/RAI	10	320	0.07297543636149659	0.047414069948463214	0.6415860998682092
GSE230424 H&E raw DM1/low-RAI	1	1547	-0.3108506263297197	-0.30474427586645453	-0.9316977661334368
GSE230424 H&E raw DM1/low-RAI	2	1549	-0.2691991428836435	-0.27530371265447307	-0.6868770729757822
GSE230424 H&E raw DM1/low-RAI	3	1549	-0.22546658051187057	-0.23404368316485638	-0.5250408271662009
GSE230424 H&E raw DM1/low-RAI	4	1548	-0.14188429562234006	-0.16306628479729018	-0.36915846342228015
GSE230424 H&E raw DM1/low-RAI	5	1551	-0.06887441138894244	-0.07196230212614727	-0.19726303433381687
GSE230424 H&E raw DM1/low-RAI	6	1548	0.025212871384123748	0.009235607046607267	-0.02120442274089067
GSE230424 H&E raw DM1/low-RAI	7	1548	0.12364827425402802	0.1350479059666113	0.16476705446592266
GSE230424 H&E raw DM1/low-RAI	8	1549	0.19711263448439806	0.2432493467616413	0.3659606168095682
GSE230424 H&E raw DM1/low-RAI	9	1549	0.2817901386092898	0.3391219090282287	0.6037285006589399
GSE230424 H&E raw DM1/low-RAI	10	1551	0.38770262874879335	0.4281128910398731	1.0271516526351268
GSE230424 H&E coord+QC residual DM1/low-RAI	1	1547	-0.08613364309173428	-0.08518685686530172	-0.5473386148492412
GSE230424 H&E coord+QC residual DM1/low-RAI	2	1549	-0.05717913742434081	-0.058445245310405784	-0.33195056529108313
GSE230424 H&E coord+QC residual DM1/low-RAI	3	1549	-0.058434435404348416	-0.056970506785958684	-0.21933287203708404
GSE230424 H&E coord+QC residual DM1/low-RAI	4	1548	-0.02610845659124045	-0.029964737537042367	-0.12176878644197767
GSE230424 H&E coord+QC residual DM1/low-RAI	5	1551	-0.005413624172047604	-0.013040767907322401	-0.03200821018974228
GSE230424 H&E coord+QC residual DM1/low-RAI	6	1548	0.02806412511971592	0.014448872338344448	0.0553491578066345
GSE230424 H&E coord+QC residual DM1/low-RAI	7	1548	0.0340625985010343	0.027639054314739245	0.1379661296408922
GSE230424 H&E coord+QC residual DM1/low-RAI	8	1549	0.03948890742192057	0.0315542281123113	0.22466203803702783
GSE230424 H&E coord+QC residual DM1/low-RAI	9	1549	0.059061337206481504	0.04267808616187039	0.3320997727930457
GSE230424 H&E coord+QC residual DM1/low-RAI	10	1551	0.07241785620523694	0.0510428056068487	0.5524820571125971
