evidence	n	decile_obs_spearman	decile_obs_p	top_minus_bottom	monotonic_increases	top_decile_mean_obs	bottom_decile_mean_obs	group
GSE250521 UNI raw DM1/RAI	3200	0.4071003484935601	5.102743086445529e-128	1.479298623253055	9	0.9129840767161879	-0.566314546536867	NA
GSE250521 UNI raw DM1/RAI	200	0.54999371860875	3.304702859320269e-17	2.4099081463167655	8	1.5056644486580277	-0.9042436976587378	GSM7980860_N-1
GSE250521 UNI raw DM1/RAI	200	0.40110555554258	3.957483174945207e-09	1.8141574433425913	7	1.2733382796343256	-0.5408191637082657	GSM7980861_N-2
GSE250521 UNI raw DM1/RAI	200	0.26255936087084014	0.00017265926841504722	0.7212130676927887	5	0.4069065301974832	-0.3143065374953055	GSM7980862_N-3
GSE250521 UNI raw DM1/RAI	200	0.3129726878547681	6.414764393564206e-06	1.7421580787215074	6	1.2334751612272856	-0.5086829174942219	GSM7980863_N-4
GSE250521 UNI raw DM1/RAI	200	0.465388577749359	3.826705951116443e-12	2.5284966926761996	6	0.5769647922094349	-1.9515319004667646	GSM7980864_PTC-1
GSE250521 UNI raw DM1/RAI	200	0.6088796202831587	1.120680600286777e-21	2.2359787423068447	7	1.658985227101748	-0.5769935152050966	GSM7980865_PTC-2
GSE250521 UNI raw DM1/RAI	200	0.18443679495256424	0.008937148990411713	0.6272871083122239	3	0.4967333463501304	-0.1305537619620935	GSM7980866_PTC-3
GSE250521 UNI raw DM1/RAI	200	0.34924495601365885	4.0069902816493616e-07	1.357652257268247	5	1.1755044155567658	-0.18214784171148127	GSM7980867_PTC-4
GSE250521 UNI raw DM1/RAI	200	0.4854393327997849	3.2062851357775173e-13	1.9097755289134168	7	1.459464252976333	-0.45031127593708387	GSM7980868_LPTC-1
GSE250521 UNI raw DM1/RAI	200	0.6549511296321072	6.981008609104775e-26	2.07026531949181	6	0.5899370668223654	-1.4803282526694443	GSM7980869_LPTC-2
GSE250521 UNI raw DM1/RAI	200	0.5260534185936551	1.250663524799174e-15	2.148937527200638	5	0.9530501024861403	-1.1958874247144977	GSM7980870_LPTC-3
GSE250521 UNI raw DM1/RAI	200	0.3174954145578717	4.627469071378229e-06	1.5910312276009797	5	1.4185474559792444	-0.1724837716217354	GSM7980871_LPTC-4
GSE250521 UNI raw DM1/RAI	200	0.03016247393276493	0.6715770588691298	0.025169357912504207	5	-0.014459969871209922	-0.03962932778371413	GSM7980872_ATC-1
