gene	normal_mean	normal_sd
MIR1302-2HG	0.0	0.05
FAM138A	0.0	0.05
OR4F5	0.0	0.05
OR4F29	0.0	0.05
LINC00115	0.0033307724991064997	0.06010919666263519
OR4F16	0.0	0.05
LINC01409	0.01504869021418379	0.12814893012131795
FAM87B	0.00018622814410924955	0.05
LINC01128	0.044197379787240344	0.2356119712374071
FAM41C	0.013818121394320596	0.12077049891037
LINC02593	0.010111744926383939	0.12004302010509367
SAMD11	0.0241405547170352	0.1793351226460803
NOC2L	0.16455819756756906	0.42714614137762114
KLHL17	0.020053986824612884	0.15320197138441555
PLEKHN1	0.004050943435742643	0.07363858591091285
PERM1	0.0006435757569695401	0.05
HES4	0.20854407814257023	0.49531169135626335
ISG15	0.21969929751177994	0.49949190243654573
AGRN	0.4536676606833022	0.6553722673181843
RNF223	5.606623525565675e-05	0.05
C1orf159	0.04716857879910022	0.232479264873026
LINC01342	0.0	0.05
TTLL10-AS1	0.0	0.05
TTLL10	0.002360633679033209	0.05325839312756427
TNFRSF18	0.00325284974214484	0.06272726650852951
TNFRSF4	0.02457093254493629	0.17205503289436463
SDF4	0.8150919049388194	0.8262794314477973
B3GALT6	0.11838376116545814	0.3672352257512376
C1QTNF12	0.005936350317076069	0.08111787674063736
UBE2J2	0.2336921587488918	0.5049125113988094
LINC01786	8.978268793400734e-05	0.05
SCNN1D	0.018690477148096313	0.14924008652939286
ACAP3	0.10845947448376829	0.35249861221551704
PUSL1	0.03620971359210335	0.20441715868687085
INTS11	0.34015149324901855	0.5939869336842558
CPTP	0.12882743531983684	0.38574411368626976
TAS1R3	0.00209462267922678	0.05382677354535974
DVL1	0.17791172844150432	0.44329770875691615
MXRA8	0.5650764203695244	0.7308530547058978
AURKAIP1	0.7784160338216212	0.8052285211886373
CCNL2	0.3158617956967542	0.5634673528067229
MRPL20-AS1	0.06598632091408671	0.27341602356144956
MRPL20	0.7179371361994709	0.7886477226710339
ANKRD65	0.02302079670966164	0.17629145536381444
TMEM88B	0.0	0.05
LINC01770	0.00045732355662423313	0.05
VWA1	0.3845072525914877	0.6567673779649854
ATAD3C	0.24246507259725653	0.5203437501653232
ATAD3B	0.08749224782460897	0.31758662282556815
ATAD3A	0.09942409178569696	0.33923953895954784
TMEM240	0.021733679995784416	0.15815083822718545
SSU72	0.7998984029921237	0.816235395159545
FNDC10	0.09531321119612003	0.3289319475643625
MIB2	0.24470377012412092	0.5166519242845733
MMP23B	0.036014474815939834	0.22432820304207007
CDK11B	0.029960653501055107	0.19676949994324078
SLC35E2B	0.09560748973519777	0.3336158320019287
CDK11A	0.04253493778539254	0.22967413697882136
SLC35E2A	0.13038486931993162	0.37402739407254776
NADK	0.15945570245421647	0.41924303494846593
GNB1	0.5496198773357927	0.7202823064988204
CALML6	0.002635531833806177	0.058171690952643136
TMEM52	0.0064918635029375575	0.0845636266559418
CFAP74	0.000671844656068104	0.05
GABRD	0.00456916593677383	0.07517487529773964
PRKCZ	0.24484270988845486	0.5063324264111775
PRKCZ-AS1	0.0045649128519281755	0.07565843869410595
FAAP20	0.6348786333107012	0.754142527113079
SKI	0.1529121080806941	0.4311999335685953
MORN1	0.09277584628318054	0.327672496915616
RER1	0.5362411385173956	0.7100982496460194
PEX10	0.1331433068967028	0.3890033925074243
PLCH2	0.014792278013226898	0.13475821881367583
PANK4	0.06391987337310871	0.2737356284390854
HES5	0.00385465554860313	0.07296241172776192
TNFRSF14-AS1	0.022585185235921998	0.16025880009822074
TNFRSF14	0.217781751285554	0.4948420193655758
