lineage	n	HLAG_median	HLAG_mean	HLAG_p90	HLAE_median	HLAF_median
kidney clear cell carcinoma	533	9.06	8.994577861163226	11.326	14.15	11.59
diffuse large B-cell lymphoma	48	8.135	8.349375	10.312000000000001	14.41	12.445
kidney papillary cell carcinoma	290	7.8100000000000005	7.729206896551723	9.85	12.75	10.68
thyroid carcinoma	505	7.73	7.684356435643564	10.358	12.95	10.27
head & neck squamous cell carcinoma	520	7.4	7.3963269230769235	9.633000000000001	13.815000000000001	11.41
skin cutaneous melanoma	103	7.37	7.298543689320389	9.786	13.62	10.9
pancreatic adenocarcinoma	178	7.345	7.402696629213484	9.077000000000002	13.375	11.195
lung adenocarcinoma	515	6.98	7.1453009708737865	9.160000000000002	13.47	11.11
uveal melanoma	80	6.859999999999999	6.899125	8.854	13.11	9.635000000000002
stomach adenocarcinoma	415	6.74	6.686457831325302	9.066	13.33	11.3
lung squamous cell carcinoma	505	6.61	6.562019801980198	8.43	13.13	10.34
colon adenocarcinoma	452	6.59	6.639092920353982	8.329	13.21	11.065000000000001
rectum adenocarcinoma	160	6.58	6.6696875	8.431	13.085	10.995000000000001
mesothelioma	87	6.48	6.751724137931034	9.384	13.51	11.05
cervical & endocervical cancer	305	6.41	6.683737704918033	9.174000000000001	13.29	11.65
testicular germ cell tumor	150	6.365	6.472133333333334	8.362	12.515	10.46
sarcoma	259	6.36	6.4583011583011585	8.932	12.86	10.36
ovarian serous cystadenocarcinoma	303	6.31	6.368118811881188	8.874	12.64	9.82
liver hepatocellular carcinoma	371	6.28	6.3895956873315365	8.58	13.06	11.22
thymoma	120	6.28	6.378583333333334	8.397000000000002	12.71	10.28
bladder urothelial carcinoma	408	6.27	6.460686274509804	8.805	13.04	10.35
esophageal carcinoma	184	6.2	6.002554347826087	8.454	13.09	10.695
pheochromocytoma & paraganglioma	179	6.19	6.227262569832402	8.122	11.9	9.94
cholangiocarcinoma	36	6.08	6.293888888888889	8.38	12.850000000000001	11.065000000000001
kidney chromophobe	66	6.015000000000001	6.250151515151515	8.51	12.739999999999998	10.02
uterine corpus endometrioid carcinoma	532	5.925	6.00686090225564	8.23	12.6	9.805
adrenocortical cancer	79	5.84	5.946962025316456	8.64	12.31	9.62
breast invasive carcinoma	1097	5.78	5.852771194165907	8.024	12.52	9.95
prostate adenocarcinoma	497	5.68	5.616659959758551	7.2780000000000005	12.28	9.59
uterine carcinosarcoma	57	5.34	5.483333333333333	7.518	11.67	9.21
brain lower grade glioma	516	4.6	4.723682170542636	6.585	12.055	8.57
glioblastoma multiforme	160	3.9050000000000002	3.84375	5.71	12.745000000000001	9.195
