contrast	n_ref	n_cur	MW_p	cohens_d_TripleNeg_minus_other
TripleNeg vs BRAF	168	294	1.4755163007931706e-16	-0.8800446896524237
TripleNeg vs RAS	168	54	3.116902044624488e-08	0.9087269528156117
