gene	class	n	spearman_rho	rho_lo	rho_hi	spearman_p
HLA-A	classical	527	0.4038277531563816	0.3297886858828337	0.4729295081595157	4.32803247455967e-22
HLA-B	classical	527	0.4841681844611151	0.4159556289770775	0.5469629430954864	2.521781690937358e-32
HLA-C	classical	527	0.43316420958423724	0.3611103653989757	0.5000765218407877	1.628257131851892e-25
HLA-E	nonclassical	527	0.2412213675356899	0.1590847463341727	0.3200416692589879	2.0531943551589946e-08
HLA-F	nonclassical	527	0.3361384399297028	0.25813541239431814	0.4097873799392921	2.1890083691353137e-15
HLA-G	nonclassical	527	0.42825925617434285	0.3558621463483681	0.49554677314629003	6.426530899720432e-25
