spec	n	events	HR_DM1_use	p_DM1_use	HR_HLA-G	p_HLA-G	HR_DM1xHLAG	p_DM1xHLAG
DM1 only	482	50	1.3636841953075172	0.009512193011474357				
HLA-G only	482	50			1.0355735239403747	0.760359694227651		
DM1 + HLA-G	482	50	1.3767059062320708	0.00879687269843183	0.9582504519503691	0.7216519634209662		
DM1 + HLA-G + interaction	482	50	1.3970431027299213	0.007300333984360483	0.9478659504849081	0.6560637124765396	1.0853011764438385	0.5067034409075717
