gene	n	rho_meth_gene	p	class
HLA-E	523	0.5525496219096196	3.850022779855252e-43	nonclassical
HLA-F	523	0.6259810372172453	3.018855049457464e-58	nonclassical
HLA-G	523	0.5619193308451568	7.324250993262232e-45	nonclassical
HLA-A	523	0.6078438914567907	3.80812443106582e-54	classical
HLA-B	523	0.677112916832451	2.0790096953598814e-71	classical
HLA-C	523	0.663540666004426	1.1628927508364463e-67	classical
