lineage	n	rho_DM1_HLAG	p_DM1_HLAG	rho_DM1_HLAE	p_DM1_HLAE	rho_DM1_HLAF	p_DM1_HLAF
thyroid carcinoma	505	0.4383264024884952	3.9992289040224263e-25	0.23480971703542394	9.37536061564854e-08	0.33553430015911256	9.392139558700523e-15
testicular germ cell tumor	150	0.27858944271874925	0.0005563063223290262	0.5427526018101378	7.242878731608044e-13	0.4543644305435659	5.209405123748726e-09
thymoma	120	0.24826589952968642	0.006255221914065834	0.26577440920590745	0.0033473650979368693	0.06100887406073908	0.5080093637207889
brain lower grade glioma	516	0.1904298727517625	1.3296961796830724e-05	0.27590105538225984	1.8148868598834088e-10	0.332226996613001	9.215004705617825e-15
glioblastoma multiforme	160	0.18687209030302	0.01797589097733794	0.13602519203165148	0.08632911636497335	0.15247237859589868	0.05425594424518874
pheochromocytoma & paraganglioma	179	0.1794092646317162	0.01625908934262602	0.26016959377661897	0.00043610433111107317	0.16174868199049935	0.030529364025326793
kidney chromophobe	66	0.17935871747394927	0.14958724548724708	0.1861945873053675	0.13442601554254072	0.008558962911662018	0.9456216356258492
uveal melanoma	80	0.17575526716602743	0.11889522566286569	0.26090014713927673	0.019414490529467462	0.3852992720634142	0.000416682432090164
sarcoma	259	0.15144263810537817	0.014706114042154087	0.20769440508872303	0.0007707107109333414	0.23042913684431568	0.0001833368434195353
breast invasive carcinoma	1097	0.15101119461417867	5.040101155629708e-07	0.28339109434775833	1.044469312375182e-21	0.2513303361682423	2.8924305642621364e-17
head & neck squamous cell carcinoma	520	0.12890476989214145	0.0032326633452646474	0.36820090543161343	3.8555559207606096e-18	0.30386031298839883	1.4363095913305033e-12
esophageal carcinoma	184	0.12887453916203678	0.08124560461366191	0.06619064273219764	0.3720101709555374	0.2795740145918728	0.00012133799046090392
adrenocortical cancer	79	0.1208296311527712	0.2888119852371553	0.35545168245235265	0.0013060945429798913	0.2797134706072316	0.01254007853832715
bladder urothelial carcinoma	408	0.11147728156908984	0.024332051510437113	0.2329599586217715	1.967572714592509e-06	0.18186715647392432	0.00022152799813227714
lung adenocarcinoma	515	0.10960480376505245	0.01281797234626554	0.12785403194392417	0.0036566538772303055	0.1152186548478786	0.008868169470745948
ovarian serous cystadenocarcinoma	303	0.10041240227157239	0.0809750028778186	0.20262543171957922	0.0003861254713778713	0.1826959091309658	0.0014034166658818857
rectum adenocarcinoma	160	0.0814838579422672	0.3056835126314739	0.12809324421901655	0.10648004720234926	0.1381898248431968	0.08139586882885773
liver hepatocellular carcinoma	371	0.07213416594029703	0.1655880566794531	-0.004266685216790128	0.9347220916926092	0.03906959037427064	0.4530857656368924
pancreatic adenocarcinoma	178	0.06612373918958177	0.3805161785665018	0.20612153098659866	0.005774220741014284	0.1253324851060298	0.09552579458284667
lung squamous cell carcinoma	505	0.04555903149752631	0.30687298972203697	0.09151607610287818	0.039803014407678854	0.12161768170713841	0.006211376915937452
prostate adenocarcinoma	497	0.03685905836446969	0.41225780687991154	0.07608372994761331	0.09019726938934043	0.05675344717124013	0.2065657755685428
cervical & endocervical cancer	305	0.032254234083021915	0.5747095659872119	0.08402015174086253	0.1432176110760358	0.0359178813857372	0.5320335213790572
colon adenocarcinoma	452	0.02337166929315331	0.6201905451691619	0.15984360386620222	0.0006475661954674126	0.0919305962644365	0.05079625091628718
kidney papillary cell carcinoma	290	-0.019816746147874913	0.7368387893932917	0.045008123021372255	0.44514293437244934	0.06891961280090997	0.24200844006359917
cholangiocarcinoma	36	-0.027027027027027032	0.875664467025937	-0.13090487944713886	0.4466608661874381	-0.1884412423899816	0.2710525369479044
uterine corpus endometrioid carcinoma	532	-0.03945660274897192	0.3637278944596945	0.014024993043716133	0.7468897356737697	-0.14932265520687021	0.0005494035195045945
kidney clear cell carcinoma	533	-0.05177211509073814	0.2327729385258937	0.27973060488209295	4.877726507501287e-11	0.05599924077661705	0.19676587342791504
stomach adenocarcinoma	415	-0.09915670162101686	0.04350171387199299	0.03822321717445351	0.43739401630057234	0.015032821520324808	0.7601107052726701
uterine carcinosarcoma	57	-0.10251174855489179	0.4479706889326446	0.012542537682814771	0.9262215261935381	-0.17926943979992127	0.18210302306881124
mesothelioma	87	-0.10678549949829826	0.32489875230014525	-0.1066287546203611	0.32561352584077735	-0.17979176643232894	0.09564593321459137
skin cutaneous melanoma	103	-0.14535030595815204	0.1429391214214131	-0.16478121446356456	0.09624680612429123	-0.005892383012186334	0.9528948921055056
diffuse large B-cell lymphoma	48	-0.17955816125892668	0.22201864198272211	-0.1688741731806518	0.25120898729080554	-0.13846821927796915	0.3479464020333426
