x	y	n	spearman_rho	spearman_p
HLA-A	HLA-E	527	0.7447375766540028	2.865525381645488e-94
HLA-A	HLA-F	527	0.8987227286568064	4.274510796649691e-190
HLA-A	HLA-G	527	0.6164268273333139	1.8053426815248507e-56
HLA-B	HLA-E	527	0.8089015129931695	3.425850903685571e-123
HLA-B	HLA-F	527	0.9140369428934259	7.068817174899111e-208
HLA-B	HLA-G	527	0.6484123762262648	3.485604469542822e-64
HLA-C	HLA-E	527	0.8008337122749648	5.541531565904126e-119
HLA-C	HLA-F	527	0.8789632854576293	5.844381467781035e-171
HLA-C	HLA-G	527	0.6200786677102316	2.6346048784004136e-57
