comparison	n	rho	p
DM1 vs mean_8g_beta	523	0.4905476370696974	5.0948206366841346e-33
DM1 vs HLA-G	523	0.4305631808913139	5.115045440153207e-25
mean_8g_beta vs HLA-G	523	0.5619193308451568	7.324250993262232e-45
HLA-G vs DM1 partial | mean_8g_beta	523	0.22105506509753847	3.280732395054916e-07
