generation	best_fitness	mean_fitness	best_train_ap	best_train_auc	best_source_balanced_ap	best_lowrisk_ap	best_top96_precision	best_diversity
0	0.7858671737816222	0.7454112388955721	0.9146728924450858	0.9035638513140628	0.6705249119891643	0.6631267245407075	1.0	0.0801736847658594
1	0.7927438901325256	0.7745038784203895	0.9150511139376474	0.9054340761089513	0.6726345309791399	0.7249368092534629	0.96875	0.10946988415063375
2	0.7979860207805339	0.7832028665896528	0.9252539201927982	0.9083643504494671	0.6799593925253414	0.7009423457988704	1.0	0.08884419353163575
3	0.8008487922337832	0.7883058459779012	0.9267703727354744	0.9113789382028672	0.6794647903088231	0.7113880537660293	1.0	0.10210761901488175
4	0.8021594769473274	0.7920393649903238	0.9229765760534728	0.911209544891527	0.6820923713425681	0.7241240401608715	1.0	0.10007701564719929
5	0.8059639287536728	0.7948043252497214	0.9290160949907917	0.9157731999852836	0.6875258934796803	0.7235161865780935	1.0	0.10545757802545863
6	0.8096166986705086	0.7986707607868425	0.922255533876963	0.916371825216762	0.694620397851076	0.7447613791621912	1.0	0.11867099297291472
7	0.8108093195771277	0.8012138994974148	0.9285216441300597	0.9160108105125029	0.6909884013079162	0.7534368246525858	1.0	0.09778242523984892
8	0.811061805600745	0.8032403935079815	0.9301858520395481	0.9214635888694032	0.6926995690563489	0.7406494910157415	1.0	0.1117475037098361
9	0.8156184345190566	0.8058222074880111	0.9287774517249734	0.9245341300695356	0.6968465827981535	0.772532180436408	0.9895833333333334	0.12005626459223062
10	0.8156184345190566	0.8068385865750868	0.9287774517249734	0.9245341300695356	0.6968465827981535	0.772532180436408	0.9895833333333334	0.12005626459223062
11	0.8156184345190566	0.8084528531843537	0.9287774517249734	0.9245341300695356	0.6968465827981535	0.772532180436408	0.9895833333333334	0.12005626459223062
12	0.8156184345190566	0.809488536717062	0.9287774517249734	0.9245341300695356	0.6968465827981535	0.772532180436408	0.9895833333333334	0.12005626459223062
13	0.8158433104465906	0.8101369874415468	0.9294475074283597	0.9231038679927888	0.6926047462747588	0.7773237472294057	1.0	0.09897845531406446
14	0.8170733655907546	0.8115729433708002	0.9317512735321949	0.9279741173152156	0.7011023037788612	0.7670483296006372	0.9895833333333334	0.11960492829527503
15	0.8189548867924696	0.8121806106231814	0.9338924171917843	0.9268105922174121	0.6966040388605063	0.7786229665299158	1.0	0.10323295437158475
16	0.8189548867924696	0.8134579761106592	0.9338924171917843	0.9268105922174121	0.6966040388605063	0.7786229665299158	1.0	0.10323295437158475
17	0.8189548867924696	0.8135998051894147	0.9338924171917843	0.9268105922174121	0.6966040388605063	0.7786229665299158	1.0	0.10323295437158475
18	0.8189548867924696	0.8141599545184146	0.9338924171917843	0.9268105922174121	0.6966040388605063	0.7786229665299158	1.0	0.10323295437158475
19	0.8200447054754169	0.8152731510080177	0.9321091867497782	0.9272520879066972	0.6975884822097635	0.7872245229608992	1.0	0.1041188332647599
20	0.8206664717172636	0.8156622387224998	0.9350707080647456	0.92978302326437	0.7005132548555335	0.7734075377788846	1.0	0.12055025181373646
21	0.8206664717172636	0.8157669408643774	0.9350707080647456	0.92978302326437	0.7005132548555335	0.7734075377788846	1.0	0.12055025181373646
22	0.8213439025351212	0.8167864497479836	0.9330291043195775	0.9297109736206326	0.7000318331928811	0.7852778407537588	1.0	0.11328878931801234
23	0.8213439025351212	0.8165747704836109	0.9330291043195775	0.9297109736206326	0.7000318331928811	0.7852778407537588	1.0	0.11328878931801234
24	0.8216657819024329	0.8176186178639746	0.9357311910423681	0.928533651782539	0.7024376007409976	0.773790950604532	1.0	0.1283003327107879
25	0.8227158142599679	0.8188109936143227	0.93461863816567	0.9297446989857865	0.7038138607943235	0.7819724185159047	1.0	0.12212849871443154
26	0.8227158142599679	0.8188101904916901	0.93461863816567	0.9297446989857865	0.7038138607943235	0.7819724185159047	1.0	0.12212849871443154
27	0.8227158142599679	0.818904645189216	0.93461863816567	0.9297446989857865	0.7038138607943235	0.7819724185159047	1.0	0.12212849871443154
28	0.8229829532974974	0.8194173040803663	0.9345679030106843	0.9300942164064703	0.7039253687847442	0.7853764736338156	1.0	0.11630695024773341
