node	type	layer	role	column	evolved_weight	evolved_transform
CROSS-Neo_KG_GA	architecture	controller				
known_label_hit_yield	objective	fitness				
source_balanced_robustness	objective	fitness				
low_leakage_generalization	objective	fitness				
wetlab_hit_fail_interpretability	objective	fitness				
public_immunogenicity_prior	concept	atomic	presentation_immunogenicity			
BigMHC_IM	feature	atomic		bigmhc_im_score	0.09061025786409703	identity
public_presentation_prior	concept	atomic	hla_presentation			
BigMHC_EL	feature	atomic		bigmhc_el_score	0.0187561827984047	square
internal_ranker	concept	atomic	candidate_ranking			
CROSS_core	feature	atomic		crossneo_core_score_norm	0.004140965091744603	square
stress_guarded_ranker	concept	atomic	robust_candidate_ranking			
CROSS_stress	feature	atomic		stress_guarded_discovery_score	0.002867415541831324	square
bayesian_model_average	concept	atomic	ensemble_stability			
CROSS_BMA	feature	atomic		bma_v2_discovery_score	0.03168408824205987	square
experiment_priority	concept	atomic	wetlab_priority			
CROSS_finetuned	feature	atomic		finetuned_experiment_priority_score	0.006049863269653097	square
translation_impact	concept	atomic	product_value			
Impact_portfolio	feature	atomic		impact_portfolio_score	0.22	sigmoid
tcr_recognition	concept	atomic	pmhc_tcr_likelihood			
TCR_expert	feature	atomic		tcr_recognition_score_norm	0.17985225090669443	sqrt
mutant_foreignness	concept	atomic	self_nonself_gap			
Foreignness	feature	atomic		fitness_foreignness_proxy	0.17754639573494418	sigmoid
structure_control_readiness	concept	atomic	claim_safety			
MD_control	feature	atomic		md_control_score_norm	0.2667639717783259	square
fixed_integrated_score	concept	meta	legacy_controller			
Fixed_integrated	feature	meta		immunogenicity_discovery_score	0.0008643043861223713	sqrt
fixed_claim_safe_score	concept	meta	legacy_claim_guard			
Fixed_claimsafe	feature	meta		immunogenicity_claim_safe_score	0.0008643043861223713	sigmoid
transform:identity	transform	architecture_gene				
transform:sqrt	transform	architecture_gene				
transform:square	transform	architecture_gene				
transform:sigmoid	transform	architecture_gene				
presentation_x_tcr	synergy	architecture_gene				
immunogenicity_x_foreignness	synergy	architecture_gene				
stress_x_presentation	synergy	architecture_gene				
ranker_x_tcr	synergy	architecture_gene				
claim_safety_x_foreignness	synergy	architecture_gene				
claimsafe_x_public_im	synergy	architecture_gene				
high_leakage_penalty	guardrail	claim_safety				
medium_leakage_penalty	guardrail	claim_safety				
low_presentation_gate	guardrail	claim_safety				
claim_blocker_penalty	guardrail	claim_safety				
single_concept_dominance_cap	guardrail	claim_safety				
sparse_proxy_guard	guardrail	claim_safety				
A_clean_discovery	assay_arm	wetlab				
B_mechanism_TCR_MD	assay_arm	wetlab				
C_label_rescue	assay_arm	wetlab				
D_specificity_moat	assay_arm	wetlab				
E_positive_QC_control	assay_arm	wetlab				
F_model_boundary	assay_arm	wetlab				
