stage	n	positive	negative	unknown	positive_fraction
00_all_candidates	649	161	488	0	0.2480739599383667
01_supported_peptide_length	491	161	330	0	0.3279022403258655
02_main_dl_broad_pass	280	113	167	0	0.4035714285714286
03_bayesian_dropout_pass	97	56	41	0	0.5773195876288659
04_robust_main_dl_pass	97	56	41	0	0.5773195876288659
05_source_compatible_tcr_after_dl	90	50	40	0	0.5555555555555556
06_paired_tcr_after_dl	9	8	1	0	0.8888888888888888
07_tcr_branch_supported_after_dl	18	11	7	0	0.6111111111111112
08_baker_structure_supported	1	1	0	0	1.0
09_md_supported_or_complete	1	1	0	0	1.0
10_tcr_rescue_reviews	1	1	0	0	1.0
11_md_escalation_after_cheap_gates	2	2	0	0	1.0
12_wetlab_shortlist_after_dl	1	1	0	0	1.0
