group	level	n	n_pos	n_neg	auc	ci_lo	ci_hi
overall	all	59	29	30	0.7459770114942529	0.6071366995073891	0.8566218469560998
stage_bucket	Stage I	33	22	11	0.8057851239669421	0.5988324175824176	0.9711030762167125
stage_bucket	Stage II	10	0	10			
stage_bucket	Stage III	11	5	6	0.4666666666666667	0.125	0.8763888888888892
stage_bucket	Stage IV	2	2	0			
stage_bucket	other	1	0	1			
stage_bucket	unknown	2	0	2			
driver_bucket	other	2	1	1			
driver_bucket	unknown	57	28	29	0.7302955665024631	0.5955536703601109	0.8531262543331508
molecular_subtype	BRAF_like	41	26	15	0.5923076923076922	0.3999826388888889	0.7717948717948718
molecular_subtype	RAS_like	16	3	13	1.0	0.9999999999999999	1.0
molecular_subtype	unknown	2	0	2			
histology_subtype	FVPTC	16	3	13	1.0	0.9999999999999999	1.0
histology_subtype	cPTC	41	26	15	0.5923076923076922	0.3999826388888889	0.7717948717948718
histology_subtype	unknown	2	0	2			
tds_group	high	30	5	25	0.736	0.5307129629629629	0.907395905221992
tds_group	low	11	10	1	0.9	0.6666666666666666	1.0
tds_group	mid	18	14	4	0.6964285714285714	0.35294117647058826	1.0
sex	Female	46	24	22	0.8333333333333334	0.6971385281385282	0.9384623015873016
sex	Male	13	5	8	0.35000000000000003	0.0	0.7251136363636362
tss	BJ	13	3	10	0.36666666666666664	0.0	0.9166666666666667
tss	CE	5	5	0			
tss	DE	3	1	2			
tss	DJ	7	6	1	1.0	1.0	1.0
tss	EL	4	4	0			
tss	EM	13	2	11	0.6363636363636364	0.25	0.9999999999999999
tss	ET	4	2	2			
tss	FK	3	2	1			
tss	FY	3	0	3			
tss	H2	1	1	0			
tss	J8	1	1	0			
tss	KS	2	2	0			
