pmid	year	journal	title	authors	query
41845488	2026	Diagnostic pathology	Immunohistochemical expression of Stomatin-Like protein 2 and trophoblast cell surface antigen 2 in papillary thyroid carcinoma in comparison to other thyroid lesions.	Elmetwally AA; Khashaba MH; Wagih HM	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
41786211	2026	Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc	Primary Angiosarcomas of the Thyroid: New Insights Into the Genetic Background and Potentially Targetable Therapeutic Markers of an Ultrarare Disease.	Ingenwerth M; Pretzell I; Bednaric E	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
41575262	2026	Molecular pharmaceutics	Trop2-Targeted [(18)F]AlF-RESCA-RT4 ImmunoPET/CT in Guiding Clinical Surgeries of Thyroid Cancers: A Proof-of-Concept Study.	Yin X; Jia W; Xu L	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
41686301	2026	World journal of urology	TROP2 expression is associated with early stage and favorable prognosis in upper tract urothelial carcinoma.	Kobayashi G; Sekino Y; Hayashi T	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
41384708	2026	Histopathology	Molecular pathology of bladder cancer.	Lopez-Beltran A; Blanca A; Downes MR	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
41413112	2025	Scientific reports	METTL3-mediated m6A modification of TACSTD2 mRNA inhibits papillary thyroid cancer progression by activating the TNF signaling and blocking epithelial-mesenchymal transition.	Man J; Zhang Z; Cui T	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
41426858	2025	Cureus	Diagnostic Significance of Trophoblast Cell Surface Antigen-2 Expression in Benign and Malignant Thyroid Lesions.	Jeneffar AQ; Anitharani S	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
40520228	2025	Frontiers in genetics	Integrative transcriptomics and single-cell transcriptomics analyses reveal potential biomarkers and mechanisms of action in papillary thyroid carcinoma.	Cao W; Gao K; Zhao Y	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
40342104	2025	European journal of nuclear medicine and molecular imaging	[(68)Ga]Ga-NOTA-T4 ImmunoPET imaging for evaluating TROP2 expression in patients with solid tumors.	Jiang D; Chu Z; Wu Y	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
40888912	2025	World journal of urology	TROP-2 overexpression in papillary renal cell carcinoma supports its potential as a therapeutic target for antibody-drug-conjugate therapy.	Kessler C; von Brandenstein M; Klümper N	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
40717183	2025	Annals of nuclear medicine	Recent advances in theranostics and oncology PET: emerging radionuclides and targets.	Watabe T; Hirata K; Iima M	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
41480246	2025	Qatar medical journal	Evaluation of the diagnostic utility of galectin-1 and TROP-2 in thyroid tumors: A retrospective analysis.	Al-Kaabi MM; Al-Hindawi MM; Hasan IA	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
41373672	2025	International journal of molecular sciences	Advances in Targeted Therapy for Non-Small-Cell Lung Cancer: Current Progress and Future Directions.	Peshin S; Takrori E; Yazji JH	(TROP2[tiab] OR TACSTD2[tiab]) AND BRAF[tiab]
