agent_query	nct	title	phase	status	start	sponsor	conditions	thyroid_relevant
sacituzumab govitecan	NCT06065371	Sacituzumab Govitecan in Combination With Capecitabine for Advanced Gastrointestinal Cancers After Progression on Standard Therapy	PHASE1	RECRUITING	2024-11-20	Henry Ford Health System	Gastrointestinal Cancer	False
sacituzumab govitecan	NCT05627960	First in Human Phase 1 Study of AG01 Anti-Progranulin/GP88 Antibody in Advanced Solid Tumor Malignancies	PHASE1	RECRUITING	2022-02-14	A&G Pharmaceutical Inc.	Triple Negative Breast Cancer; Hormone-Resistant Breast Cancer; Non Small Cell Lung Cancer; Mesothelioma	False
sacituzumab govitecan	NCT04381832	Adenosine Receptor Antagonist Combination Therapy for Metastatic Castrate Resistant Prostate Cancer	PHASE1,PHASE2	COMPLETED	2020-07-07	Arcus Biosciences, Inc.	Prostatic Neoplasms, Castration-Resistant; Androgen-Resistant Prostatic Neoplasms; Castration Resistant Prostatic Neoplasms; Prostatic Cancer, Castration-Resistant	False
sacituzumab govitecan	NCT06462092	Sacituzumab Govitecan and Intrathecal Chemotherapy for Treating Leptomeningeal Metastases From Her2-negative Breast Cancer	PHASE1,PHASE2	RECRUITING	2026-01-01	Guangzhou Medical University	Leptomeningeal Metastases	False
sacituzumab govitecan	NCT02161679	Phase II Study of IMMU-132 Alone or in Combination With Carboplatin in Patients With Triple-Negative Breast Cancer	PHASE2	WITHDRAWN	2016-08	Gilead Sciences	Triple-negative Breast Cancer	False
sacituzumab govitecan	NCT04617522	Study of Sacituzumab Govitecan in Participants With Advanced or Metastatic Solid Tumor and Moderate Liver Impairment	PHASE1	RECRUITING	2021-04-06	Gilead Sciences	Advanced or Metastatic Solid Tumor; Liver Failure	False
sacituzumab govitecan	NCT03424005	A Study Evaluating the Efficacy and Safety of Multiple Treatment Combinations in Patients With Metastatic or Locally Advanced Breast Cancer	PHASE1,PHASE2	RECRUITING	2018-03-30	Hoffmann-La Roche	Metastatic Breast Cancer	False
sacituzumab govitecan	NCT06102824	Organoid-based Functional Precision Therapy for Advanced Breast Cancer	PHASE2	RECRUITING	2024-10-01	Guangdong Provincial People's Hospital	HER2-negative Breast Cancer; Advanced Breast Cancer	False
sacituzumab govitecan	NCT04448886	Sacituzumab Govitecan +/- Pembrolizumab In HR+ / HER2 - MBC	PHASE2	ACTIVE_NOT_RECRUITING	2020-09-23	Ana C Garrido-Castro, MD	Invasive Breast Cancer; Metastatic Breast Cancer; HR-Positive Breast Cancer; HER2-negative Breast Cancer	False
sacituzumab govitecan	NCT06243393	Sacituzumab Govitecan in Metastatic Colorectal Cancer	PHASE2,PHASE3	RECRUITING	2024-04-19	University Hospital Heidelberg	Metastatic Colorectal Cancer	False
